"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Piccolo gioiello napoletano ","Una piccola osteria dalla cucina tradizionale napoletana. Il menù è ristretto ma a prezzi bassi e la qualità è eccellente. I proprietari molto gentili. Piccola peculiarità che ho trovato molto carina: per entrare bisogna suonare il campanello e ti aprono i proprietari!"
"ui_bubble_rating bubble_50","Deliziosa Osteria","Locale con pochi coperti infatti conviene prenotare, carino e curato. Proprietari disponibili e gentilissimi.Validissimo per assaggiare la cucina locale, piatti ottimi e conto economico.Complimenti! Una delle piacevoli scoperte di Napoli!"
"ui_bubble_rating bubble_50","Ottimo! ","La signora è l'anima dell'osteria in cucina ed in sala. Cortesia, efficienza e, soprattutto, grande qualità in tutti i piatti."
"ui_bubble_rating bubble_50","Serata in famiglia","Consigliato da un collega è un da un suo amico napoletano ci siamo recati in questa ristorante piccolo ma molto accogliente. Abbiamo mangiato in otto provando diversi piatti (ziti allardiati, linguine alla cetarese,risotto provola e pomodoro, baccalà con ceci e crema di latte , bistecca ammollicata, polpette alla napoletana oltre a antipasto della chitarra e tagliere di salumi). Siamo rimasti tutti estremamente soddisfatti; cibo gustoso e bilanciato nei sapori. Il servizio è impeccabile: abbiamo trovato un ambiente dove si assapora la tradizione napoletana e si apprezza la simpatia dei titolari, presenti ma non invadenti di cui serberemo un ricordo speciale. Cena allietata da buon vino ( Falanghina del Sannio) e per concludere dolce super ( torta di mele Annurca, soffice e profumata). Rapporto qualità prezzo eccezionale.Ristorante da non perdere!"
"ui_bubble_rating bubble_50","Consigliatissimo","È un locale molto piccolo per cui la prenotazione è obbligatoria. Il posto e i gestori sono molto accoglienti, il cibo è preparato e presentato con cura e tutto ciò che abbiamo assaggiato era molto buono!Non c’è davvero nulla per cui non consigliare questo posto che ti lascia solo la voglia di tornarci.Inoltre i prezzi sono più che corretti per la qualità del cibo."
"ui_bubble_rating bubble_50","serata tipica","dopo aver letto varie recensioni sono andata a cena una sera con mia figlia.La signora ci ha accolte con cortesia e gentilezza e ci ha fatto assaggiare le sue specialità tra le quali la zuppa maritata che merita una menzione speciale.Tutto ottimo compreso il vino della casa.Prezzo nella norma.Da provare assolutamente."
"ui_bubble_rating bubble_50","odori e sapori di casa","Siamo stati in questo ristorante nel ns ultimo soggiorno a napoli. Appena entrati ci siamo sentiti avvolti da un aria familiare ,fatta di gentilezza e semplicita'. Il menu' rispecchia l'atmosfera : pochi piatti,fatti benissimo . Abbiamo preso un antipasto della casa pieno di sapori napoletani e un primo di una difficolta' incredbile data dalla assoluta semplicita' degli ingredienti e dal giusto dosaggio degli stessi (pasta aglio,olio pperoncino ,pomodori a pezzetti e colatura di alici); abbiamo chiuso con due fette di torta una al limoncello e una alle mele buone da intronare. Se aggiungete il costo dei vini (cosa strana oramai) assolutamente onesto ,il risultato sara' una cena veramente top che ha coronato il giorno del mio compleanno. Grazie ai gestori!!!"
"ui_bubble_rating bubble_50","napoli dic 2018","questo ristorante ci è stato consigliato dal personale dell'hotel.ristorante molto carino e soprattutto una nota speciale va alla proprietara molto gentile.cucina tipica napoletana.piatti ben cucinati, nota particolare va al Baccalà con ceci veramente buono.prezzi moderati lo consiglio a tutti"
"ui_bubble_rating bubble_50","Una coccola di osteria ","Consigliamo la prenotazione per questo locale perché ha pochi posti a sedere (sala unica).Abbiamo ordinato come antipasto i due taglieri presenti nel listino( totalmente diversi tra loro),per continuare le polpette alla napoletana e salsiccia velata che consigliamo( ingredienti ottimo) Proprietari molto cordiali e disponibili. Qualità prezzo nella media. "
