"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Il conto ... una delusione!","Abbiamo scelto piatti molto semplici: crostino con le alici e al pomodoro, calamaro fritto, salmone alla griglia e dessert facilmente reperibili in altri ristoranti. Pagare 30 euro a persona per un secondo , due antipati condivisi in 4 e 4 dessert senza vino mi pare veramente troppo. Non discuto sul cibo che era buono , ma il rezzo lho trovato francamente eccessivo"
"ui_bubble_rating bubble_40","Ottimo ","Mangiato decisamente bene , pochi tavoli , servizio presente e attento , conto alto ma giusto per l’ottima qualità , buonissima impepata di cozze , buone le bruschette , buona là tartare, ottimi i primi uno scialatiello con le vongole Buono per la qualità della materia prima e un ottimo primo con i ricci .Per chi vuole mangiare pesce un ottimo posto complimenti "
"ui_bubble_rating bubble_50","COMPLEANNO","Ottima cucina e ottimo servizio, pesce fresco e accoglienza straordinaria.Grazie. E buon lavoro.Franco, Annamaria e Girolamo"
"ui_bubble_rating bubble_30","Peccato il servizio","Buona la cucina di questo piccolo locale in zona Mergellina, ben conditi i scialatelli alle vongole, squisita la spigola fritta, croccante e con cottura perfetta, ottima la frittura di paranza, peccato che il servizio si sia dimostrato alquanto deficitario, eravamo in sei e il contitolare si e’ degnato di noi dopo un quarto d’ora - era impegnato a chiacchierare con un cliente, si vede molto importante - nonostante fossimo gli unici clienti.Speriamo sia stata una disattenzione, ma il locale merita una visita, da bonus anche i prodotti che si possono acquistare, tipo pasta artigianale e pomodori pelati in scatola."
"ui_bubble_rating bubble_40","buono ma....","ristorante piccolino, consigliato da un conoscente del posto. sicuramente tutto viene preparato al momento e oltre alle proposte alla carta vi è anche un menù del giorno (vedi foto) con il pescato fresco. tutto abbastanza buono se non fosse che il polpo alla Luciana era un tantino crudo; ok croccante ma crudo no. per il resto ho trovato il conto un po' alto anche se ripeto tutti gli ingredienti erano freschi e di qualità. vero anche che abbiamo cenato in locali nella stessa zona ed in altre zone della città dove comunque si è mangiato altrettanto bene ad un costo più basso."
"ui_bubble_rating bubble_30","Buono,ma prezzo un tantino alto.","Piccolissima trattoria con buona ristorazione,ma prezzo un tantino esagerato per quello che offre.Buona la paranza(composta da sole triglie e alici) e buoni i primi,spaghetti al nero di seppia e gnocchetti ma non c'è un buon rapporto qualità prezzo,soprattutto in considerazione al fatto che stiamo parlando pur sempre di un localino di pochi mq con un modesto arredo.Albertop "
"ui_bubble_rating bubble_20","Caretto e poco professionale","Sono stata a cena con la mia famiglia in questo carinissimo locale,curato e pulito,piccolino(solo 5 tavoli) ma Non claustrofobico...entriamo che il ristorante aveva solo un tavolo occupato e quindi ci viene detto di accomodarci dove vogliamo..qua il primo neo....su un tavolo c'era un tablet in carica...ci giriamo e su un altro c'era un cellulare in carica..quindi ci mettiamo su un tavolo libero purtroppo molto traballante..ordianimo una insalata di mare come antipasto da dividere in due,un polipo alla Luciana ,scialatielli con le cozze e per il bimbo una pasta al pomodoro.Arriva l'antipasto e purtroppo anziché un'insalata di mare è una semplice insalata di polpo..niente di speciale ..Arrivano i primi:il polpo alla Luciana è molto buono e saporito,i miei scialatielli invece quasi immangiabili da quanto salati..la pasta del bimbo nn era al dente ma appena scottata e di pomodoro aveva solo 2 ciliegini tagliati a metà..fatta pagare 7 euro!!!abbiamo preso 2 calici di vino bianco da 5€ l'uno...giusto un paio di sorsi ed era finito..mah!Il tutto condito da cuochi che uscivano dalla cucina per andare a controllare il tablet o il cellulare in carica e che si mettevamo la tranquillamente in sala a farsi i loro affari,mi è parso poco professionale.Paghiamo perché nn vogliamo provare ad ordinare altro e ci troviamo un conto di 62€...mi sembra un pò caretto per un antipasto e 3 piatti..poi guardiamo e anziché mettere il coperto loro si fanno un rincaro alla americana del 10% sul totale...mi dispiace ma non avete soddisfatto le aspettative!"
"ui_bubble_rating bubble_50","Ottima scoperta ","a Napoli con delle amiche per un convegno, ci siamo fermate in questo piccolo locale cercato tramite Trip e abbiamo mangiato benissimo, ottimo pesce fresco e cucinato davvero bene, è un locale piccolo e gestito da giovani che merita davvero ! Quando ritorno a Napoli sarà sicuramente incluso fra le mie tappe "
"ui_bubble_rating bubble_50","Bellissima scoperta","Locale piccolo, pochi tavoli gestito da giovani con una cucina di qualità ! Ottimo pesce, fresco e ben cucinato quando tornerò a Napoli sarà un piacere mangiare di nuovo qui !"
"ui_bubble_rating bubble_40","Pesce ottimo e fresco","Ristorante intimo con pochi coperti ma che offre un ottimo pasto. Io e mia moglie abbiamo cenato con una frittura mista ed un tonno alla griglia, per concludere abbiamo preso il tortino al cioccolato. Tutto squisito e di qualità, anche il prezzo onestissimo. Più che consigliato."
"ui_bubble_rating bubble_50","Che scoperta","Locale piccolo ma tanto accogliente, cucina a base di pesce tutto più che buono, una frittura ottima, gnocchi di semola con vongole da leccarsi i baffi e scialatielli con vongole alti livelli, personale gentile e cortese."
