"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Festa 40 anni","Sono rimasta folgorata dalla bellezza del posto, dalle straordinarie eccellenze enogastronomiche proposte dallo chef stellato e soprattutto dall'elegante, coinvolgente, raffinata musica della Raoul & Swing Orchestra. È stata una festa strepitosa, sicuramente ritornerò con calma con la mia famiglia perché ne vale Decisamente la pena. Il mio 2019 è iniziato alla grande. Complimenti ancora."
"ui_bubble_rating bubble_50","Alta Qualità e servizio professionale","Cena prenotata in tempo,all’arrivo ci viene servito un aperitivo di Franciacorta di livello ed un vassoietto con tre prelibatezze.La cena è’ stata all’altezza del locale,lo chief ci ha accompagnato nelle scelte,molto gradevole la presentazione di antipasti,primi,secondi e dolci da parte dello staff preparato e gentile.Ampia scelta di vini a prezzi medio alti ma assolutamente in linea con l’alta qualità proposta.Sala ampia con tavoli vista mare di grande effetto."
"ui_bubble_rating bubble_20","Sotto le aspettative","In vacanza a Napoli, sono andato in questo locale con la mia fidanzata perché indicatomi da un amico partenopeo. Nonostante abbia provato a prenotare un tavolo vista mare, non è stato possibile perché contro la policy del locale. Ci è stato indicato di venire il prima possibile per fare aperitivo in modo da ‘bloccare’ il posto vista mare. Una volta arrivati un po’ prima (avevano chiamato poco prima per avere conferma della prenotazione) hanno riferito che lo spazio in cui fare aperitivo era occupato da una festa privata. In più ero con un amico che con noi avrebbe fatto solo l’aperitivo e poi avrebbe lasciato me e la mia ragazza soli per la cena. Morale della favola, non abbiamo nè fatto aperitivo nello spazio dedicato, nè cenato vicino al mare, perlopiù accolti con un atteggiamento poco cortese. Quanto alla cena, il servizio era confuso, quasi da osteria. I piatti serviti sono all’altezza della stella Michelin, ma il resto davvero da bocciare."
"ui_bubble_rating bubble_40","Lo spettacolo della vista sul mare non ha prezzo ....","Se volete un ristorante raffinato elegante e romantico l’avete trovato . Aperitivo molto consigliato e di grande livello con vista mare , poi lasciatevi coccolare dal servizio eccellente dei camerieri . Il cibo è comunque di livello e il conto per quanto non sia basso per Napoli è giustificato dall’eccellenza del servizio e dalla bellezza della location . Adatto per una serata romantica o con amici ."
"ui_bubble_rating bubble_20","Supponenza e normalità ","Solito copione si inizia con la prenotazione telefonica nella quale l’operatore non manca di rilevare: ...sapete come funziona da noi?; bha! Si prosegue al tavolo con il cameriere che ne sa più di te e si consente di dissentire sulle scelte e sugli abbinamenti: chissà in quali altri ristoranti stellati li mandano come ospiti!; bha! Ma tornando al pratico le pietanze non creano nessun sconvolgimento sensoriale tutto nella normalità; la mise en place è molto casual non chic; la location versione invernale lascia molto a desiderare; buona la cantina."
"ui_bubble_rating bubble_30"," Perchè...vivere di certezze?","Perchè il tavolo era sbeccato? Perchè non c'era la tovaglia? Perchè al posto di quel telo di plastica sulla veranda non trovate una soluzione decorosa? Perchè devo trovare un'acqua economica al tavolo? Per chè perdersi per questi particolari? Perchè non è stato offerto il caffè? Il pranzo è stato molto buono, il servizio anche. "
"ui_bubble_rating bubble_50","Lino sei unico","A pranzo da Lino un’esperienza unica indescrivibile ! Location mozzafiato locale arredato con cura in maniera moderna ma sobria Degustazione Lino fai tu da brividi !!! Tutto buonissimo senza pecche una cucina diretta semplice gustosa in una parola sola NAPOLETANA VERACE !!Buono il servizio è molto bella la carta dei vini anche se posso permettermi amplierei le etichette estere !!! Nota di merito la pastiera stratificata "
"ui_bubble_rating bubble_50","Meravigliosa atmosfera","Che dire, tutto è curato nei minimi dettagli e la vista è mozzafiato, da un lato il palazzo di donn'Anna e dall'altro il Vesuvio. Le vetrate sul mare regalano momenti indimenticabili, suggestivi e di atmosfera. Si mangia molto bene e la cortesia di tutto il personale è strepitosa, complimenti!"
"ui_bubble_rating bubble_30","Migliorabile ","Premetto che la location è bellissima e L ambiente molto curato, al pari del servizio ... metto tre stelle non perché sia rimasta insoddisfatta, ma in quanto da un ristorante stellato ci si aspetta L eccellenza ... che non ho pienamente riscontrato specie nel confronto con altri luoghi di pari livello . Detto questo abbiamo gradito abbastanza il risotto alla crema di latte e gli spaghetti di gragnano al tartufo... meno L astice in doppia cottura ... ma è una mia opinione ... buona la pastiera e la piccola pasticceria ... ottima preparazione sui vini ... "
