"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","2 è meglio d 1","Provato e riprovato nell' arco di un anno,cioè da quando è aperto, e lo standard è ottimo secondo me. Il nuovo concept del locale viene premiato con idee e abbinamenti dosati e indovinati;si cede che la ricerca è continua da parte dello chef.Riprovato durante le recenti feste di Natale, e gustato il panino Gran Calamaro (calamaro fritto, chips di patatine,formaggio di bufala affumicato,crema di peperoni) .Ingredienti che si sposano benissimo tra di loro regalando una buona delicatezza, accompagnati da un buon calice di Falanghina. Locale piccolo e carino,ottimo andarci anche per aperitivo.Prezzi nella media della zona.Il voto in più,lo metto per il coraggio che hanno avuto i ragazzi,in un quartiere come il Vomero,dove l'offerta della ristorazione è varia ed anche eccessiva, hanno puntato su un alternativa che non esisteva,Bravi !!"
"ui_bubble_rating bubble_50","Il ritorno è stupendo","A distanza di mesi sono ritornato da Panamar.... notevoli i miglioramenti, i panini sempre ottimi le tartare cambiate e migliorate. La qualità degli ingredienti è sempre alta e i prezzi giusti. Ragazzi davvero squisito. Consigliatissimo sia a pranzo che a cena"
"ui_bubble_rating bubble_50","Apritene uno anche a Venezia!!","Trovato per caso scendendo da Castel sant’Elmo, avevamo voglia di un panino veloce per procedere con la visita della città. I ragazzi simpatici e disponibili anche se il locale era pieno. Siamo rimasti colpiti dall’idea e dallo stile del locale! Panino col polpo che si scioglieva in bocca, panino con trancio di tonno ottimo! Due calici di buon prosecco. 28 euro in tutto. Ne voglio uno anche a Venezia, seppur consapevole che il conto sarebbe ben più salato!!"
"ui_bubble_rating bubble_50","Piatti e panini ottimi","Un piccolo locale dove mangiare sia panini che veri e propri piatti a base di pesce. Ottima la qualità dei prodotti e dei vini. Il locale è accogliente e curato. Ideale per un pranzo veloce o per un aperitivo."
"ui_bubble_rating bubble_20","Delusione totale","Dopo aver sentito parlare bene e visionato numerose recensioni, decido insieme ad un’altra coppia di provare questo posto. Il primo approccio sembra essere fantastico, location accogliente e calda, Purtroppo però tutto cambia appena ordiniamo da mangiare, i panini ci arrivano in circa 2 minuti, quindi subito capiamo che i panini erano giá pronti per essere serviti, cosa che ovviamente ci è dispiace molto per le grandi aspettative che avevamo, soprattutto quando ci siamo resi conto che alcuni panini erano freddi e non riscaldati a sufficienza. Mi sarei aspettato una preparazione al momento, dalla cottura del pesce sino alla composizione del panino. Nulla da dire sulla frittura di calamari che era buona ed appetitosa. C’è di meglio da provare al Vomero!! "
"ui_bubble_rating bubble_40","Un locale moderno per un modo innovativo di pranzare","Per il turista medio è una sorpresa un locale del genere! Un locale trendy con panini di pesce fresco, ottimi ed abbondanti , abbiamo preso un panino con filetto di spada ed uno con tonno , con un ricco condimento . Ottimi. per essere Napoli i prezzi sono un pò alti, ma ne vale la pena"
"ui_bubble_rating bubble_50","Ottimo fine anno!!!","Abbiamo deciso di fermarci in questo locale per cominciare a salutare il 2018 e ci siamo trovati benissimo: il locale è fatto bene, curato e pulito, la scelta da bere è molto vasta e non solita, specialmente per quel che riguarda le birre e la cortesia del personale è ottima.Sicuramente ritorneremo"
"ui_bubble_rating bubble_50","Bravi","Panini come sempre ottimi, il nuovo menu si è rivelato ancora piu buono. Mensione particolare a posillipolp e mezzosalmone. Bravi e Consigliatissimo"
"ui_bubble_rating bubble_50","Eccezionale","Ho cenato in questo localino del Vomero con un amico che mi aveva parlato benissimo di questi panini di pesce. C’è poco da dire: aveva ragione! L’idea in sè è brillante e la realizzazione è di qualità. Freschissimo il salmone, molto buone le salse d’accompagnamento e anche la scelta del pane è stata sapiente. Il personale è molto gentile e il conto è giusto in rapporto al prodotto offerto e alla zona in cui si trova il locale. Nel complesso, Panamar è consigliatissimo. "
"ui_bubble_rating bubble_10","Non ci siamo più! ","Mi sa che con questo menù nuovo avete azzardato un po' troppo. Il panino con il polipo non ha senso, sembra di mangiare un panino con i friarielli e provolone. Quei due, tre pezzettini di polipo non si sentivano proprio. Altra delusione il trancio di ricciola..ma quale trancio..un pezzettino di ricciola su due scarole e 4 patate novelle..il tutto risultava slegato..costo del piatto 14 euro..insomma meglio non fare voli pindarici"
"ui_bubble_rating bubble_20","Bocciato!","L’idea c’è, gli ingredienti sono di qualità e nel complesso fanno buoni panini , ma comunque non vi aspettate chissà quale esplosione di sapori. Quello che proprio non va è la dimensione del panino, sembra una presa in giro per quanto è piccolo.Se volete fare un antipastino (caro) prima di mangiare da qualche altra parte questo è sicuramente il locale giusto. "
"ui_bubble_rating bubble_30","Antipasto di panini","Sono stata in questo locale 4/5 volte e sono sempre rimasta contenta, quest'ultima volta, però, non ho potuto fare a meno di notare le dimensioni alquanto microscopiche dei panini.Sembravano degli assaggi di panini e sinceramente se devo spendere 20€ per uscire affamato anche no.Spero che ritorneranno a delle dimensioni ragionevoli del panino. "
"ui_bubble_rating bubble_20","Il nome giusto del locale dovrebbe essere un morso di","Dimensioni dei panini misere. Dopo ben due panini e una tartare non si può uscire da un locale affamati. Su questa tipologia di panini, la concorrenza è due spanne sopra."
"ui_bubble_rating bubble_50","Eccezionale!!!","Piccolo localino con design industrial molto carinoMenu tutto a base di mare, molto creativo e innovativo!!! Da provare ASSOLUTAMENTE!!!Personale molto gentile e cordiale Lo consiglio !!! Tornerò quanto prima perché sono curioso di assaggiare i restanti piatti del menù"
"ui_bubble_rating bubble_40","Innovativi","Bellissima idea ed anche coraggiosa non essendo un vero e proprio ristorante! buona qualità ma migliore è la mano che li pensa e assembla. un pelo caro ma d'altronde il concept è nuovo e si deve pagare l'inventiva."
"ui_bubble_rating bubble_40","Piacevole ma non sopraffino","Il locale è piccolo, ma molto curato. Il concept é interessante: un fast food raffinato (si ordina alla cassa e nn c’è servizio al tavolo) che serve panini farciti col pesce, anziché hamburger, accompagnati da vino o cocktail. I panini, peró, sono molto elaborati, ma non parimenti gustosi. Un po' caro."
"ui_bubble_rating bubble_40","Fast Fish","Un originale idea di ristorazione veloce di mare, con clientela trasversale, dallo studente al professionista. Stuzzicherie (da provare i Roche di baccalà con ricotta di bufala e panatura sbriciolata di tarallo), tartare con accostamenti creativi e panini a base di pesce, con proposta stagionale fuori menù. Ottime le tartare e i panini con farciture che spaziano dal tutto cotto (Trentaspade) al tutto crudo (Fuoritonno), con scelte intermedie originali, da provare. Carta dei vini ampliabile. Personale gentile. Buon rapporto qualità/prezzo. Consigliato"
