"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Un panino oltre i confini della realtà","Avete presenti quei panini stile McDonald che vi sembravano ben farciti e conditi? Dopo l'esperienza del panino di Frank vi sembreranno tristi, sconditi, vuoti... Non vi posso raccontare quello che Frank riesce a mettere dentro il panino perché non ci credereste. Tutto preparato espresso, sulla griglia in vista. Ho aspettato 15 minuti ma i 15 minuti successivi sono stati di goduria per gli occhi e per il palato. "
"ui_bubble_rating bubble_30","Consegne sempre sbagliate ","Ogni volta che io ed amici ordiniamo i panini a domicilio manca qualche ingrediente all’interno di essi. Cheddar chiesto più volte e mai messo, così come anche le melanzane e altro in più occasioni.Non capisco come sia possibile ma questo va risolto ! "
"ui_bubble_rating bubble_50","Panino ","Da poco lasciato questo posto e bhe che dire.. solo due parole FANTASTICO!! Panino fantastico di una bontà r sapore unico! Ingredienti top e di qualità pane bello croccante e molto molto abbondante ! Consiglio pienamente di fermarsi qui!! Ne vale la pena ma sopratutto non ve ne pentirete !! "
"ui_bubble_rating bubble_40","Niente Male","L'ho provato grazie al consiglio di un mio amico. Il locale si trova a Piazza Sannazzaro e funziona principalmente come un pub d'asporto dato che ci sono pochissimi posti a sedere dentro.Il panino che ho scelto io si chiama Eat e mi ha sorpreso molto. Le dimensioni sono corpose ed è farcito al massimo. Il pane croccante piastrato é molto buono e trattiene tutto all'interno. La porchetta, gli straccetti di pollo tutto ottimo ed in particolare le patate alla piastra. C'è anche la possibilità di comporre il proprio panino se quelli esistenti non dovessero convincerti. "
"ui_bubble_rating bubble_50","Superlativo... ","Ci sono stata qui un sabato sera, spinta dalla recensioni positive che ho letto...bhe che dire, panino fantastico, prezzi nella media, tempi di attesa abbastanza brevi, c'era gente abbiamo aspettato si e no una 20ina di minuti. Consiglio di andare dalle 23 in poi.. Ci ritornerò... Complimenti "
"ui_bubble_rating bubble_50","La mia nuova dipendenza","Finalmente sono riuscita a provare i famosi panini di cui si parla in tutta Napoli e sono felice di poter dire che merita a pieno la sua fama. Abbiamo preso il panino Zio Franck, le patate alla piastra con hamburger e provola e quelle con bacon croccante e cheddar. Probabilmente digerirò dopodomani, ma ne è valsa la pena.Abbiamo trovato parecchia gente, ma grazie ai numeri non abbiamo avuto problemi (e comunque la fila era abbastanza scorrevole). Inoltre, vedere i cuochi mentre preparano le prelibatezze sulla piastra è una gioia per gli occhi. Fama meritata e non vedo l'ora di tornarci per provare tutti i panini."
"ui_bubble_rating bubble_40","Una bellissima scoperta ","Non aspettatevi un locale elegante con candelabri in oro, lampadari di cristallo e posate d’argento. Qui a contare non è la forma ma la sostanza. E di sostanza ce ne sta davvero tanta. Perché i panini sono come “Dio comanda”: pane ottimo, carne ottima, contorni ottimi. Insomma, tutto quello che si può desiderare da una paninoteca che offre street food. Anche le patatine non sono male.Esserci stato durante la settimana (e in tarda serata) ha sicuramente reso più rapido il servizio che nel weekend sarà molto più lento e ingolfato, ma questo è un piccolo prezzo da pagare quando si sceglie di mangiare in un posto BUONO!Ci tornerò senz’altro!"
"ui_bubble_rating bubble_50","sempre il top! ","Ormai è la mia unica meta... Ci vado due volte a settimana ed è sempre amore a prima vista !!! I miei panini preferiti : a pranzo vado appositamente x mangiare il BIG BANG composto da PORCHETTA , PROSCIUTTO COTTO , PROVOLA , SALSICCIA A FETTE E INVOLTINO DI BACON RIPIENO CON PROVOLA SOTTILETTE E PATATE ,Il secondo panino e lo ZIOFRANK , non ve lo descrivo ma andatelo a provare , altrimenti vi toglierei lo sfizio !!! Staff simpatico e gentile , prezzi onesti e location rinnovata è sempre un passo avanti , si possono anche ricevere gadget avendo una FIDELITY CARD . Iniziate a scoprire questo nuovo mondo. "
"ui_bubble_rating bubble_50","NAPOLI PARLA SOLO DI LUI!!!","Sono andata a napoli di proposito per provare il panino tanto famoso di ZIOFRANK , mi sono fatta consigliare direttamente dal titolare , che quella sera si trovava nella sede di NAPOLI , e mi ha rassicurata facendomi ordinare il panino con il suo stesso nome!!! Chiamano il mio numero e mi arriva questa bestia composta da : PORCHETTA , PROVOLA , PROSCIUTTO COTTO , BACON CROCCANTE , SOTTILETTE E COSTTELLA DI MAIALE , una combinazione perfetta, poi ho aggiunto maionese , melanzane a funghetto e patatine ( i contorni non si pagano ) in fine già dal primo morso mi so innamorata ... ZIOFRANK X TUTTA LA VITA assolutamente da provare"
"ui_bubble_rating bubble_40","Panini molto sfiziosi","Sono stato in questa paninoteca per un pasto veloce e l'ho apprezzata per la vasta scelta di panini, molto golosi (soprattutto, a base di salsiccia e porchetta) e preparati molto bene. Consiglio questo locale agli amanti del genere."
"ui_bubble_rating bubble_40","ottimo panino","ottima qualità della carne, servita in un panino molto buono ed abbondante di contorni, forse per i miei gusti, anche troppi."
"ui_bubble_rating bubble_50","Unici","Posto che non delude affatto le aspettative...personale davvero preparato e disponibile....Appena posso ritornerò volentieri.....i panini sono una bomba"
"ui_bubble_rating bubble_50","Panino buonissimo","Che dire, panino ottimo, personale gentile e professionale, unico neo una lunga attesa. Ma alla fine, credetemi, ne vale la pena!! Lo consiglio davvero a tutti."
"ui_bubble_rating bubble_50","Favoloso","Mangiato lo zio frank sulle 13 discese di Sant'Antonio, posto meraviglioso dove mangiare un panino spettacolare, con un'esplosione di sapori fantastica."
"ui_bubble_rating bubble_50","Personale ottimo e panini buonissimi ","Dopo tanti paninoteche che ho assaggiato in zona da Francesco rimane sempre la migliore personale impeccabile <U+2764><U+FE0F>"
