"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Promosso","Pranzo al volo. C'è il pienone ma i modi affabili e gentili del personale mi convincono ad attendere. Ordino una polpetta di baccalà al sugo con una passata e pinoli. Putroppo questi ultimi due elementi erano così abbondanti da annullare il sapore del pesce, mi sembrava di mangiare un panettone. Ottimo invece il sugo di accompagnamento. Polpo in insalata ottimo, forse leggermente scopo ma consistenza deliziosa. Per concludere spaghetti ai frutti di mare squisiti. Con una birretta ho speso 23,50 euro. Ci tornerei di corsa."
"ui_bubble_rating bubble_50","Pesce fresco!","Su consiglio di un caro amico ho pranzato in questa pescheria/ristorante. Situato nel cuore di Napoli (Montesanto). Di fianco a dove si possono gustare le gustose pietanze marittime c’è la storica pescheria. Per cui il pesce che arriva in tavola è davvero freschissimo. La struttura dispone di tavoli all’aperto ma comunque coperti da una tettoia e di soli due tavoli all’interno. La comodità non è propria eccelsa, ma è nello stile del locale mordi e fuggi. Io ho pranzato con la mia ragazza dividendo le portate. Una frittatina di pasta col salmone, un primo ai frutti di mare e una frittura di calamari. Tutto fresco, abbondante, gustoso e al modico prezzo di 23 euro! Sicuramente ci ritornerò! Lo consiglio!"
"ui_bubble_rating bubble_50","Da provare assolutamente","Posto super caratteristico situato all'interno del mercato. Pesce freschissimo preso direttamente dal banco attiguo. La polpetta di baccalà e noci è una delle cose più buone che abbia mai mangiato. Prezzi incredibilmente convenienti. Consigliatissimo per un pranzo informale, ma assolutamente gustoso."
"ui_bubble_rating bubble_40","Pesce freschissimo","Pesce buonissimo e fresco. Piatti davvero ottimi. Personale cortese. Unica pecca è il locale in sé ma chi ci và deve essere pronto è una pescheria con soli 4 posti all'interno e una sorta di bistroit all'aperto per tanto in questo periodo fa ovviamente freddo. Possibilità di asporto. Rapporto qualità prezzo buono porzioni non eccessive"
"ui_bubble_rating bubble_40","Eccezionale ","Pescheria che offre la possibilità di mangiare il pesce che vendono. Due possibilità. Si prende il fritto da asporto (vi sono vari tipi di pesce) oppure ci si siede in una specie di bistro all’aperto e si ordina anche pesce in vendita alla pescheria che poi verrà cucinato. Si mangiano anche primi. Consigliatissimo "
"ui_bubble_rating bubble_30","Bene ma non benissimo","Pro:- La ragazza che prende le prenotazioni e le ordinazioni è stata carina e cortese.- Il pesce fresco.Contro:- Locale sbagliato dove pranzare col freddo: si gela.- Purtroppo i piatti non sono all'altezza delle alte aspettative create dalle recensioni.- Un po tirchi con la quantità di pesce nei piatti.Detto questo, non è male...ma vista la coda e vista la ghiacciata...mi sa proprio che non ci si torna."
"ui_bubble_rating bubble_40","buon pesce, tanto casino","Il locale vale sempre una visita, sia per la qualità del pesce sia per la peculiarità della zona. Sono diminuiti i tavoli all'aperto, per cui, specie nelle ore di punta, forse è meglio prendere un cuppetiello di fritto e mangiare a passeggio. Altrimenti, si lascia il nome alla ragazza bionda e, quando arriva il nostro turno, si viene chiamati. I primi sono abbondanti ed il baccalà fritto, davvero ottimo."
"ui_bubble_rating bubble_50","Tornati per la simpatia di Melania , per lo staff, e l eccellenza del pesce, il tutto condito da ottimo prezzo","In cinque giorni di vacanza siamo tornati per ben due volte in questa pescheria mervigliosa che espone pesce sempre fresco....... tu scegli e loro te lo cucinano sul momento."
"ui_bubble_rating bubble_40","Pesce freschissimo","Il pesce è freschissimo, viene selezionato dalla pescheria adiacente. I piatti sono molto buoni. Consiglio un piatto di crudo, davvero abbondante e fresco e con un rapporto qualità prezzo ottimo.Ha pochi tavoli e solo all'aperto: abbiamo dovuto attendere circa 1 ora prima di avere il posto."
"ui_bubble_rating bubble_50","Più fresco di così ","Tornati a Napoli per le feste natalizie i siamo fermati un’altra volta a mangiare in questo piccolo ma tipico locale.Quando ti cucinano il pesce ancora vivo della pescheria di proprietà,non puoi avere il dubbio sulla sua freschezza. Mentre mangi al tavolo dentro o sullo sgabello all’esterno puoi sentire le urla tipiche dei venditori di pesce.Ritengo la cosa molto pittoresca e ti fa sentire in compagnia.Provare per credere!"
