"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","OTTIMO","Sono venuto piu volte a cenare in questa ristopescheria ed é stato sempre quasi tutto impeccabile. Le porzioni di antipasti sono abbondanti e di una grande varietà. Si ha una vasta scelta di primi (paccheri alla genovese di mare, orecchiette vongole e tarallo, paccheri all'astice) e la possibilità di un assaggio di ciascuno. Come secondo ho mangiato una spigola fritta, mai mangiata una cosa cosi buona.Il personale é ottimo, persone in gamba, molto simpatiche e competenti."
"ui_bubble_rating bubble_50","Serata indimenticabile all'insegna dei sapori del mare","Torno sempre volentieri in questo ristorante per la freschezza dei prodotti serviti e per l'estrema cura con cui sono preparati i piatti. Gli antipasti, che mi hanno colpito subito per l'originalità, sono stati solo l'incipit di una meraviglio serata trascorsa all'insegna dei sapori del mare; la cosa che consiglio assolutamente di provare è la frittura di pesce, raramente ne ho mangiate di così buone.Il servizio è impeccabile e la cordialità del proprietario ti mette subito a tuo agio.Tornerò sicuramente."
"ui_bubble_rating bubble_50","Fantastica serata ","Devo dire che come prima volta in questa ristopescheria ci siamo trovati veramente bene , le pietanze di pesce crudo che il titolare (Salvatore di Napoli) ci ha fatto arrivare a tavola erano freschissime tutto veramente buono e devo dire anche che erano tutti fatti con una grande fantasia , dopo di che sono arrivati gli antipasti tra qui c era uno che mi ha sorpreso veramente che sarebbe il pacchetto ripieno con ricotta e orata vi consiglio di assaggiarlo e veramente squisito per nn Parlare poi dei primi veramente ottimi la specialità della casa e la genovese di mare già solo vedendola in quel piatto a forma di stella marina era una cosa spettacolare quando poi lo assaggiata si sentiva propio il sapore del golfo di Napoli !! Davvero tutti bravi .Vi consiglio veramente di andare ad assaggiare tutto questo spettacolo!!"
"ui_bubble_rating bubble_50","Grande scoperta! ","Abbiamo scoperto questa risto-pescheria tramite amici. Arriviamo, troviamo subito una calorosa accoglienza da camerieri educatissimi e la simpatia del titolare. Arrivano tanti antipasti a base di pesce sfiziosi e molto freschi..poi vengono serviti delle tartare eccellenti, per non parlare dei primi piatti, come per esempio i paccheri alla genovese, le orecchiette vongole e taralli, una vera delizia per il palato! Eh infine una buonissima frittura. Ci ritorneremo il prima possibile!!!!"
"ui_bubble_rating bubble_50","Grandissima serata!! ","Ho trascorso una serata fantastica in compagnia della mia famiglia in questo ristorante di alto livello.. Non solo il servizio è ottimo, ma il cibo ancor di più, come la grande genovese di mare che vi consiglio di assaggiare. Per non parlare del crudo. Vi consiglio pienamente di venire almeno a provare e ne rimarrete veramente soddisfatti. "
"ui_bubble_rating bubble_10","Negativo meno meno","Premessa: Non ho mai fatto recensioni ma questa disavventura mi ha spinto a cominciare.Spinto da amici ho provato ma credetemi tutto negativo. Dall'attesa su un marciapiede fetido alle sedie scomode ad un servizio approssimato ad un vino annaffiato e a delle pietanze con gusto di pesce approssimato. Conto salato su carta volante. Non esiste pos. Cosa dire al gestore: continua a vendere il pesce e non ti lanciare in imprese più grandi del tuo orizzonte."
"ui_bubble_rating bubble_50","Perfetto","Giovedì sera abbiamo potuto apprezzare finalmente le squisitezze e le particolarità che questa risto-pescheria ha da offrire. È stato tutto ottimo dagli antipasti, sfiziosi e freschi, ai vari primi.Da provare la genovese di mare...davvero speciale! La gentilezza dello staff e la simpatia di Salvatore, il proprietario, hanno fatto da ciliegina sulla torta ad una cena perfetta. Consigliatissimo a tutti quelli che cercano e sanno apprezzare soprattutto la qualità dei prodotti."
"ui_bubble_rating bubble_50","Sempre speciale!","Non ci venivo da un bel pó,rinnovato anche il fantastico antipasto Lo Squalo Tutto sempre fresco e buonissimo, incorniciato dal fantastico sorriso di Salvatore, proprietario e perfetto consigliere culinario!Da tornarci...sempre "
"ui_bubble_rating bubble_50","Tutto buonissimo","Vengo spesso a mangiare in questa pescheria e vado via sempre soddisfatto siete grandi ogni volta mi stupite sempre con piatti buonissimi e innovativi.... "
"ui_bubble_rating bubble_40","Qualità eccezionale","mio padre mi ha sempre detto che per capire se in un ristorante si mangia bene devi vedere la frittura.. capisci dall olio utilizzato la qualità di una cucina.. in questa fantastica pescheria abbiamo cenato io e il mio compagno ed è stata una sorprendente serata.. più che una cena è un esperienza.. è una pescheria che la sera si trasforma in un ristorante e ci riesce in modo spettacolare.. il quartiere di soccavo rende il mood ancora più caratteristico.. la cosa eccellente è la qualità del pesce .. meravigliosa.. tutto buonissimo.. e il grande Salvatore con la sua ciurma sono una famiglia splendida divertente disponibile e gentile.. personalmente preferisco tutto ciò al classico ristorante rinomato con ambiente classico o di design ma dove poi la qualità è finta e tutto si consuma nella mera forma.. ci tornerò al più presto."
"ui_bubble_rating bubble_50","Ottimo","Come nostra abitudine venire in questo meraviglioso locale dove inanzi tutto il personale e cordiale e riesce sempre ad accontentare tutte le mie richieste a dir poco facili ma nonostante tutto ci riescono alla grande...antipasti ottimi i primi piatti sono una squisitezza io quando vado non riesco a non fare un assaggio di tutto.... la frittura e buonissima consigliò questa pescheria a tutti "
"ui_bubble_rating bubble_50","Squisitezza","Siamo stati a mangiare in questa pescheria il cibo e ottimo e fresco il personale accogliente e riesce ad accontentare tutte le esigenze richieste... lo consiglio a tutti!!!"
