"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Buonissimo tutto","La pizza è ottima... la frittatina e i crocchè anche... se vi trovate a Napoli... andateli a trovare"
"ui_bubble_rating bubble_50","Impeccabile!! ","Ci siamo stati il 1/1 sera. Dopo una passeggiata a via Toledo ci siamo fermati qui e dopo aver aspettato una mezz'oretta, dato che c'era molta gente ad attendere, abbiamo gustato una Margherita e una salsiccia e friarielli, ovviamente a portafoglio. Quest'ultima buonissima, mi ha stupito la bontà degli ingredienti, la Margherita classica e si va sul sicuro. Fuori ci sono dei tavolini su cui potersi poggiare e mangiare le pizze. Costi giusti, Margherita 2.20 € e la s&f 4 €.Se si è da quelle parti è obbligo passarci! "
"ui_bubble_rating bubble_50","Buuuuuuuonissssima","Una delle pizze più buone che io abbia mangiato......, unico neo il tempo di attesa!!! per questo un piccolo suggerimento se ci fosse un pò di gente e se doveste arrivare dalla piazza plebiscito o galleria umberto conviene fare lo scontrino, vi rilasciano un numero, andate a fare la passeggiata per via toledo, tra l'altro pedonale e molto bella da vedere!!!, poi tornate e gustatevi la pizza!!!! Io ho preso una margherita, pagata €2,80, buonissima."
"ui_bubble_rating bubble_40","Portafoglio  al volo.","Durante la passeggiata serale in via Toledo vediamo un folto gruppo di persone davanti al locale, decidiamo di fermarci e prendere la pizza, ottima, servizio celere.Locale angusto, 2 tavoli fuori lungo la via prezzi buoni."
"ui_bubble_rating bubble_50","Pizza al volo","Pizza presa al volo, ma indovinata . Molto molto buona. Locale senza pretese, molto piccolo con giusto due trespoli dove appoggiarsi per mangiare, non ricordo se ci fossero sedie, sicuramente quello che ricordo, un bel movimento di persone che dovrebbe essere sinonimo di apprezzamento dei prodotti"
"ui_bubble_rating bubble_50","Pizza speciale ","Abbiamo preso la pizza al portafoglio al volo, in questo periodo le code sono lunghe ma il personale cerca di essere il più rapido possibile, ti danno il numerino in modo tale che uno possa farsi un giro mentre aspetta il suo turno Il menù comprende pizza al portafoglio e calzoni, la pizza essendo piegata rimane bollente fino all’ultimo boccone, inutile dire che fosse buonissima I prezzi sono ideali, con qualche euro si può fare un pranzo "
"ui_bubble_rating bubble_40","Ottima pizza a portafoglio","Un'ottima pizza a portafoglio nel pieno centro storico. Il locale è piccolissimo ma il personale è veloce e nonostante le lunghe file siamo stati serviti in poco tempo."
"ui_bubble_rating bubble_50","Miglior pizza a portafoglio","Ottima pizza ben condita... Ottimi anche i crocche frittatina e montanara... Prezzi nella media di sicuro consigliato"
"ui_bubble_rating bubble_50","Pizza a portafoglio ","Nel cuore dello shopping di Napoli, in via toledo, abbiamo mangiato un'ottima pizza a portafoglio, veramente eccezionale. Prezzi bassissimi "
"ui_bubble_rating bubble_40","Servizio velocissimo per una buona pizza ","Piccolissima pizzeria che si affaccia su via Toledo, tanta fila ma in una decina di minuti siamo stati serviti, paghi e aspetti che chiamino il tuo numero. Ci hanno dato tre pizze Margherita ripiegate in un pezzo di carta, per fortuna fuori ci sono dei tavoli alti su cui appoggiarsi. Buona ma io metterei a disposizione dei clienti dei tovagliolini di carta. Il prezzo mi è sembrato giusto "
"ui_bubble_rating bubble_40","Tappa obbligata ","Obbligatorio passeggiando per via Toledo fermarsi per mangiare la pizza a portafoglio prezzo giusto e sapore napoletano "
"ui_bubble_rating bubble_40","Bene, ragazzi!","Sulla strada, affollatissima, ma veloce, la pizza è buona ed economica.Per uno spuntino mentre si gira per il centro di Napoli è indicatissima."
"ui_bubble_rating bubble_40","Buona pizza...","Di passaggio per via Toledo ho notato questa piccola pizzeria...ottima la pizza ed anche la frittatina. Il prezzo nella media paghi qualcosina in più perché si è sulla strada dello shopping e di maggiore affluenza ma ne vale la pena."
"ui_bubble_rating bubble_40","Buon livello","Ho provato la Margherita classica a portafoglio e la pizza con la scarola, calzone al forno in pratica. Pizza 2, 80 calzone 3,60. Qualità discreta, prezzo turistico. Tutto sommato buono. Un occhio alla pulizia esterna, visto che è uno Street food molto frequentato "
"ui_bubble_rating bubble_50","La pizza a portafoglio","Per caso tornando dall'università mi sono imbattuto in questa pizzeria che si affaccia su via Toledo, i commenti sono superflui non ho mai mangiato una pizza così, leggera, saporita praticamente ottima. Personale gentile e cortese. Semplicemente andateci!!!"
"ui_bubble_rating bubble_50","Notevole","Pizza napoletana ottima, a portafoglio. Impasto eccellente, leggera, gustosa e servizio rapidissimo anche con tanta gente.Da provare!"
"ui_bubble_rating bubble_30","Street food veloce","Ci siamo fermate per un pranzo veloce .. devo dire davvero veloce e molto organizzati. Ordini paghi e con il numero ti chiamano per consegnarti quanto ordinato. Pizza non male e prezzo ok"
"ui_bubble_rating bubble_20","mi aspettavo di meglio","Premetto che sono una napoletana doc, ed adoro la pizza, mi sono trovata a passeggera con mio marito per via roma e ci siamo imbattuti in questo piccolo localino, appena ho letto pizza a portafoglio ho subito deciso di fermarmi perché non vedevo l'ora di riassaporare il vecchio sapore di pizza a portafoglio che non mangiavo più da tempo. Purtroppo non posso dire di esserci riuscita, la pizza era salata, con pochissima mozzarella, insomma poco saporita, inoltre il prezzo è decisamente troppo alto: 2.80 per una margherita, ai tribunali la paghi poco più ma ti danno anche il servizio! Insomma, un posto utile solo per attirare turisti!"
"ui_bubble_rating bubble_40","Buona","Sicuramente non ho scelto l’orario migliore, locale piccolo e affollato, pizza buona ma cara, appena presa in mano in un foglio di carta, il poco di mozzarella mi è finita su una scarpa, ci tornerei ma starei più attento a come me la porgono, rimane comunque il prezzo un po’ elevato!!!"
"ui_bubble_rating bubble_50","Ottima pizza ","Passeggiando per via Toledo ci siamo fermati con degli amici a mangiare la pizza a portafoglio. L’ho trovata davvero ottima e tempo di attesa irrisorio. Consigliata. "
"ui_bubble_rating bubble_50","Ottima e veloce","Sentendo parlare di questo posto ci vado con degli amici. Nonostante la fila ci servono quasi subito. Pizza veramente ottima. Rapporto qualità prezzo eccellente. Consigliato sicuramente "
"ui_bubble_rating bubble_40","Aperitivo di pizza","Sono stato in questa pizzeria solo per assaggiare la famosa pizza a portafoglio : è un must per tutti coloro che vogliono visitare Napoli e godere anche delle bellezze culinarie della città.Da provare."
"ui_bubble_rating bubble_40","Ottima","In giro per via Toledo ci siamo fermati a prendere un paio di pizze davvero ottime. Siamo stati fortunati perche non abbiamo atteso molto.Consigliato"
"ui_bubble_rating bubble_30","Nessun motivo per tornarci ","Sei a Napoli e ti aspetti qualcosa in più...soprattutto se parliamo di pizza e invece un gusto piatto che non ti entusiasma ne ti coinvolgePeccato!"
