"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Come trasformare una vecchia segheria abbandonata in un laboratorio della pizza","Sono stato qui a pranzo in un sabato di gennaio. Il locale è in un vicoletto tra Via Speranzella, Via Sergente Maggiore e Vico Tiratoio. Il locale, a ridosso di una scalinata, una volta era una segheria, abbandonata da un po' di tempo. L'intuito della proprietà di aprirci una pizzeria ha dato i suoi frutti. Oggi alla pizzeria Ntretella conviene prenotare se non si ha voglia di mettersi in fila all'esterno per attendere di essere chiamati. Locale non molto grande, stretto e lungo (non agevolissimo per chi è con passeggini al seguito), con mattoni di tufo a vista, arcate che definiscono il soffitto e pavimentazione da strada fatta con i famosi vasoli (mattoni) scuri come la pietra lavica del vesuvio che caratterizzano la pavimentazione dei vicoli dei Quartieri Spagnoli. Menù assortito, con diverse proposte interessanti: noi ci siamo fatti incuriosire dalla pizza Carcioffola e dalla montanara Genovese, oltre che da una Margherita con bufala e da frittura varia. Partiamo da quest'ultima: molto buona, principalmente il panzarotto. Pizze squisite, impasto morbido e leggero, a me personalmente ha colpito maggiormente la Carcioffola ma devo dire che erano tutte saporite.Buona anche la birra Dab che viene proposta. I prezzi sono in linea con quelli applicati nelle altre pizzerie.PIZZERIA NTRETELLA, DA CONSIGLIARE VIVAMENTE!!!"
"ui_bubble_rating bubble_50","POSITIVA SCOPERTA","Un amico mi ha parlato bene di questo posto e viste le recensioni ho deciso di provarlo personalmente...Ottimo rapporto qualità prezzo, personale gentilissimo, location molto carina e che dire più...? Andate a provare ne vale la pena...lo consiglio !! Io ci tornerò presto."
"ui_bubble_rating bubble_50","Prezzo di lavoro","Pranzo di lavoro in questo stupendo locale in pieno centro a Napoli, location molto curata nei minimi dettagli, di grande prestigio , proprietari disponibili e cortesi , mangiare ottimo anzi eccellente , rapporto qualità-prezzo da 10"
"ui_bubble_rating bubble_20","Non ci siamo ....","Bella location ....ex segheria ...però per la pizza non ci siamo proprio ! Nella mia pizza fritta pomodoro crudo con cipolle?!! ...Impasto troppo croccante e non gradevole . Non in linea con le aspettative di una pizza napoletana doc. antipasto gradevole ."
"ui_bubble_rating bubble_40","PIZZA A DUE PASSI DAL CENTRO","Sono stato in questo locale con degli amici perchè consigliato come locale da Tripadvisor, si trova praticamente a due passi da Via Toledo (via centrale). Location carina con servizio camerieri abbastanza veloce e preparato. Simpatico il menù stampato su tovaglietta di carta. Prezzi tutto sommato nella media considerato che comunque la pizza è molto buona e leggera."
"ui_bubble_rating bubble_40","Una garanzia","Volevo fare i complimenti al personale della pizzeria per gentilezza e capacità di consigliare, in base ai gusti del cliente, cosa mangiare. Consiglio vivamente Peccato non aver preso i dolci causa piatti precedenti abbondanti."
"ui_bubble_rating bubble_50","Ottima pizza ad un prezzo onesto","Siamo stati 4 giorni a Napoli e siamo tornati qui 3 volte.La pizza è davvero buona e si digerisce bene (segno che il tempo di lievitazione che dichiarano è vero).Consiglio la classica Margherita perchè gli ingredienti sono ottimi.Gli antipasti fritti sono un po' pesanti, ma è difficile dire di no ad un piatto così tipico.Il personale è molto professionale, anche se non particolarmente simpatico (qualche sorriso in più non guasterebbe)."
"ui_bubble_rating bubble_40","la mia prima vera pizza napoletana","Siamo stati qui il 30 dicembre a cena con amici,nonostante la coda fuori hanno fatto aspettare all'interno la mia amica con la bimba in attesa che si liberasse il nostro posto. La pizza è davvero ottima, mai mangiata una pizza così.Buono anche il babbà e la pastiera.Abbiamo pagato comunque poco anche perchè non si paga il coperto.Servizio veloce e informale."
"ui_bubble_rating bubble_40","Ottima pizza ma viene l'ansia","Con moglie e due bambini provo questa pizzeria a 3 metri dal mio bed and breakfast. Tutto veramente ottimo e conto onesto. Il perché dei 4 pallini e non 5? Perché nel momento in cui finisci ti fanno capire in tutti i modi che devi liberare il tavolo. Un ansia pazzesca, peccato perché location e cibo veramente ok"
"ui_bubble_rating bubble_50","Ottime pizze ","L'ultimo giorno a Napoli decidiamo di provare questa pizzeria che si trova di fronte al B&B dove soggiorniamo. Andiamo a pranzo verso le 12:30 e riusciamo a trovare posto fortunatamente perché in poco tempo il locale si riempie.Il servizio è veloce e le pizze buonissime, forse la più buona mangiata in questi giorni. Prezzo più che onesto per la qualità delle materie prime utilizzate (la burrata sulla pizza fuori menù era strepitosa!)Unico neo è la velocità nel farti liberare il tavolo "
"ui_bubble_rating bubble_50","Ottimo tutto","Abbiamo preso delle pizze da portare via,erano le 18.00 di Santo Stefano e noi dovevamo rientrare a Roma, purtroppo non abbiamo ascoltato il consiglio di Rino, il proprietario, persona squisita e affabile tipico dei napoletani, di mangiare le sue pizze sul posto, le pizze anche dopo qualche ora e anche il giorno dopo sono risultate fantastiche, diverse dalle solite pizze, sapori e gusti veri e per accontentarci immagino che le abbia fatte in fretta, quindi io non dimenticherò mai questa squisitezza, e sicuramente la prossima volta che tornerò a Napoli voglio sedermi e assaggiare tutte le sue specialità, anche la pizza fritta il giorno dopo era favolosa, non oso immaginare se fatta subito. Da notare che il sig. Rino usa scatole per pizza da portare via diverse dalle altre, questo per mantenere il piu possibile il sapore di quello che fa. È stato un piacere e un onore avere avuto la fortuna di conoscere il Sig.Rino"
"ui_bubble_rating bubble_40","Posto incantevole","Pizzeria accogliente e caratteristica, situata in una vecchia falegnameria. Ottimo fritto e buonissima la pizza. Molto simpatiche le cameriere che ci hanno servito. Bella la cucina tutta in vetro."
"ui_bubble_rating bubble_40","Pizza ottima e servizio veloce","Ottima la pizza, servizio veloce e prezzi contenuti!!! Che si vuole di più? Unica pecca è lo spazio limitato, ma non si può avere tutto dalla vita. Promosso a pieni voti"
"ui_bubble_rating bubble_40","Pizza molto buona!!","Pizza molto buona, locale belli e pulito, posizione centralissima e caratteristica.Anche i fritti sono notevoli, quartieri spagnoli sempre top."
"ui_bubble_rating bubble_20","Prezzi contenuti ma pizza evitabile ","Siam o stati al locale con degli amici. Servizio confuso ma tutto sommato veloce. Prezzi contenuti ma pizza decisamente inferiore alle aspettative "
"ui_bubble_rating bubble_40","Locale accogliente e atmosfera tipica napoletana","Capitati per caso con un gruppo di amici abbiamo trascorso una piacevolissima serata, locale tipico napoletano, piccolo ma caldo e accogliente. Unica pecca ci siamo dovuti sedere in 11 persone in un tavolo per 8; purtroppo è una caratteristica di tanti locali napoletani sono tutti molto piccoli e le compagnie un pochino numerose come la nostra si devono adattare. Ci siamo affidati alle indicazioni del proprietario e preso gli antipasti; tutti buonissimi assolutamente da consigliare; poi naturalmente la pizza...buona da provare!!!! "
"ui_bubble_rating bubble_10","Pessimo trattamento!","Purtroppo ci siamo capitati per caso qualche giorno fa in occasione del nostro soggiorno a Napoli.Tipica pizzeria finalizzata a fare solo grandi numeri, riservando un pessimo trattamento alla clientela!Personale al quanto scortese!Per spiegare la negativa esperienza dovrei impiegare almeno mezz'ora e, sinceramente per questo locale di tempo ne ho già perso fin troppo.A Napoli c'è ben altro, fidatevi!"
"ui_bubble_rating bubble_50","Pizza eccezionale ","Ci trovavamo vicino piazza del plebiscito e consigliati da una nostra conoscente di Napoli abbiamo deciso di provare questa pizzeria. Il locale è carino e particolare in quanto in passato era una segheria. Abbiamo preso due crocche, due arancini, un calzone con ricotta di bufala, salame e provola e una pizza fritta con ragù di cipolle e parmigiano. I fritti sono buonissimi e non unti, il calzone era morbido al punto giusto. Inoltre si sentiva chiaramente che le materie prime utilizzate erano di ottima qualità. Da apprezzare anche una variegata scelta di bevande. In totale per due pizze, 4 fritti, una bottiglia di acqua e una gassosa abbiamo speso 21 euro. Il conto, onestissimo, è in perfetta in linea con le altre pizzerie di Napoli. Assolutamente consigliata. Unico neo, anche se è scritto all'ingresso, non è possibile apportare modifiche alle pizze. "
"ui_bubble_rating bubble_10","La peggior pizza si ITALIA","Mai mangiato una pizza cosi terribile! Ho vissuto anni a napoli e ci torno spesso Questa pizzeria una gran delusione, esiste solo x i turisti odiata dai napoletani"
