"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_10","La pulizia è un optional!! ","Sono stata a pranzo con il mio ragazzo. Abbiamo prenotato tramite The Fork. Gentilissimi, ci hanno aspettato nonostante la nostra mezz’ora di ritardo, ma trovare posto a Napoli in un giorno festivo è abbastanza difficile se non quasi impossibile. Detto ciò, ci accomodiamo e...peli e polvere sulla nostra tovaglia. Alziamo lo sguardo e...tanta fuliggine. Okay. Ordiniamo senza pretese considerata la tarda ora: vino della casa senza calice, ma in un semplice bicchiere da acqua, il piatto? Lo portano a me, il mio ragazzo deve gentilmente chiederlo. Il pranzo si svolge con molta fretta, passandoci davanti per togliere i piatti vuoti mentre stiamo mangiando senza nemmeno un “mi scusi” . OKAY, HANNO RAGIONE. È TARDI. Chiedo della toilette....IMPROPONIBILE! Le norme igienico-sanitarie vanno a farsi benedire in tutti i sensi!!! Ragni in ogni dove! Un aracnofobico ci sarebbe morto tranquillamente lì dentro!! Dal soffitto penzolava fuliggine e stucco ormai andato! Insomma, un’esperienza da non ripetere assolutamente! "
"ui_bubble_rating bubble_30","Cucina di livello superiore, servizio al tavolo quantomeno rivedibile....","Sono perplessa...molto perplessa..... Locale che propone una ottima cucina ma servizio improponibile...Perchè?????? Potenzialmente uno dei locali migliori che abbiamo frequentato a Napoli. Siamo arrivati alle 13.00 circa di venerdì 14 /12. Locale vuoto...Mahhh!!! Comunque io non ho pregiudizi di nessun genere e quindi non ho fatto caso alla piedi tanto. Locale bello e pulito. Mise en place imbarazzante...Arriva la signorina addetta al servizio e prende le comande. Precedentemente mio marito aveva preso accordi per saper se erano disponibili le linguine all'astice, quindi ordiniamo 2 porzioni di linguine. La signorina ci dice che le linguine non sono disponibili. Alle nostre rimostranze la signorina va in cucina e ....si, ci sono le linguine...Ordiniamo il vino. Falanghina in bottiglia per la sottoscritta e la nostra amica e vino rosso della casa(consigliatomi) per mio marito. Vino rosso imbevibile, dopo 2 sorsi girava la testa, per di più servito freddo.. Vino rosso freddo...Ma quando mai.. Falanghina appena decorosa. Organizzatevi con cantine di livello. Non ci ha fornito i calici per il vino...Due bicchieri da acqua, tra l'altro il secondo bicchiere lo abbiamo dovuto chiedere. Eravamo sconcertati...Meglio prenderla sul ridere. Ma la responsabilità maggiore del servizio disastroso non è della ragazza che ha servito al tavolo, ma di chi si deve organizzare per avere personale che abbia un minimo di confidenza con un mestiere difficilissimo. E veniamo alla nota positiva. Il cibo....Linguine all'astice stellari, bellissimo impiattamento e presentazione. Pasta e patate da leccarsi i baffi. Con una cucina di tale livello perché cadere sui dettagli???? Porca miseria, i dettagli spesso, fanno la differenza. Ottimo rapporto qualità-prezzo."
"ui_bubble_rating bubble_40","pizza stratosferica","trovato per caso dietro al museo, ci fanno accomodare nel sotteraneo molto caratteristico ed ordiniamo, senza infamia i fritti, superlative le pizze ( margherita e bianca con friarelli 4 e 5 euro....) e la pizza fritta con nutella...una delizia veramente!!!!!!"
"ui_bubble_rating bubble_50","Pizza squisita personale ottimo","Capitati per caso . Ottima pizza tradizionale e frittaCucina a vista .ottimi friarielli e verdura in genereSolita meravigliosa ospitalità napoletana che ti fa sentire a casa La cameriera meravigliosamente gentile e competenteMangiato bene siamo stati benissimo"
"ui_bubble_rating bubble_30","Delusione","Stando a Napoli decidiamo di rimanere a pranzo e scegliamo 110 e lode . Il piatto forte ovvero la pasta e patate servita nell' impasto della pizza è qualcosa di eccezionale ma il secondo frittura gamberi e calamai nonerano nulla di che ancor peggio il conto troppo esagerato per giunta il caffè 3 in totale non ci è staro offerto ma pagato 4,5 euroSevi trovate li la pasta e patate va bene il resto evitatelo."
"ui_bubble_rating bubble_40","Non solo pizza ma un tuffo nella cucina di MAMMA'","Location che non ti aspetti a tema con i decumani nei pressi del museo Nazionale,una simpatia cordialità al sevizio e alla comanda ,è la figlia di MAMMA' che sta ai fornelli,cucina tipica che non è facile ritrovare nella mia città,ma anche molti riconoscimenti per la pizza che sono oggettivi."
"ui_bubble_rating bubble_50","Il nome del locale è sintomo di garanzia","Consigliata da gente del luogo, al di fuori dei posti piu IN è più frequentati, questa pizzeria offre un prodotto di qualità a prezzi competitivi. Il locale carino e ben curato come tutto il personale, disponibile, simpatico, cordiale e professionale. Io e mia moglie oltre ad aver assaggiato una pizza strepitosa sia nella fattura, nella presentazione, gli ingredienti assemblati con sapienza senza che gli stessi si sovrapponessero. Ci siamo alzati super soddisfatti e oltre al palato ha goduto anche l'anima. SUPER CONSIGLIATA."
"ui_bubble_rating bubble_30","Suggerita dalla promoter in coda al Museo MANN","Menu turistico, senza infamia e senza lode. Antipasto di tre misere fritture, pizza a scelta ma tra quelle economiche, bevanda a scelta pepsi ma non coca cola. Tutto per 12 euro. Considerando che erano le 15.00 di Domenica, ci sta."
"ui_bubble_rating bubble_50","Napoli è Napoli<U+2764><U+FE0F>","Non so quanto senso abbia recensire una pizzeria napoletana, fino ad ora non ne ho trovata una che non fosse buona.Grazie di esistere Napoli, e grazie a 110 e lode. Io e i miei amici ci torneremo senz'altro <U+2764><U+FE0F>"
