"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","La vera pizza napoletana ","Ci affidiamo ai consigli di TripAdvisor per la nostra prima pizza a Napoli e devo dire che siamo rimasti pienamente soddisfatti!Vasta scelta di pizze.. Dalle classiche a quelle con il bordo ripieno di ricotta. Impasto leggero e sapore perfetto. Consigliatissimo"
"ui_bubble_rating bubble_50","Viaggio a Napoli ","Siamo andati in questa pizzeria poiché gli amici sono napoletani e non so ancora come ringraziarli. La pizza era ECCEZIONALE. Una digeribilita', un sapore, una leggerezza unica. Inoltre è praticamente a 2 passi dalla cumana di MonteSanto ed a 2 passi da spaccanapoli. RITORNERÒ sicuramente "
"ui_bubble_rating bubble_50","La pizza napoletana","Una delle pizze più buone e digeribili mai mangiate. La materia prima eccellente rende l'impasto magico e il servizio è semplice e professionale, rapporto qualità prezzo ottimo. Per la vera pizza bisogna andare a Napoli, e non altrove"
"ui_bubble_rating bubble_50","Nella Top 10 delle migliori pizzerie a Napoli.","Locale piccolo ma accogliente nel cuore della Pignasecca. Servizio veloce e personale cortese, ma soprattutto una pizza strepitosa."
"ui_bubble_rating bubble_50","Pizza buonissima ","Locale piccolo ma accogliente, personale gentilissimo e alla mano.. pizza davvero tanto buona, sia per l’impasto leggerissimo che per i condimenti gustosi, preparata con cura su ripiano a vista che garantisce attenzione ai dettagli e pulizia.. uno spettacolo per gli occhi! L’unica pecca è l’attesa: ci siamo presentati in due per cena alle 19.30 e purtroppo siamo riusciti a sederci solo alle 21 dopo un’ora e mezzo... però ne vale la pena, andateci! Rapporto qualità prezzo ottimo: due pizze, una Coca Cola e un’acqua da 75cl per 22 euro in totale!"
"ui_bubble_rating bubble_50","Ottimo ","Ottima pizza nel centro di Napoli. Oltre alle classiche di sono anche pizze particolari il cui contorno e’ stellato e la stella contiene della ricotta. Il tempo di attesa e’ variabile ma bisogna dotarsi di pazienza. Non è’ possibile eseguire la prenotazione. Non ha molti tavoli. Certamente da provare "
"ui_bubble_rating bubble_40","Pizza meravigliosa","Una pizzeria tradizionale napoletana per me straordinaria, purtroppo è molto frequentata pensate abbiamo atteso 1 ora e mezza ma ne valeva la pena, nel centro di napoli locale piccolo ma casalingo meglio andare nei giorni feriali ti godi di più la buona cucina."
"ui_bubble_rating bubble_20","per turisti","storica pizzeria nel cuore di Napoli, ma sotto lo standard delle pizzerie napoletane, infatti c'erano solo stranieri, locale piccolo e disorganizzato (vedi le ore di ATTESA), pizza buona"
"ui_bubble_rating bubble_10","Pizzeria mediocre","Sono stato in questa pizzeria oggi è non tornerò mai più i tempi di attesa sono altissimi tipo due ore e la pizza non è a livello di altre pizzerie di napoli idecisamente sconsigliata anche perché i vini sono pietosi è il locale è piccolo"
"ui_bubble_rating bubble_50","Pizza da Attilio","In questa pizzeria, ho mangiato la migliore pizza in vita mia.Il sapore è sublime.Ingredienti di altissima qualità e super veloci.I prezzi sono giusti.Ottimo, super consigliato"
"ui_bubble_rating bubble_50","Natale Naples","Consigliata dal nostro B&B , usciti soddisfatti, il piatto parla da se, pizza ottima , giocato di anticipo entrati alle 12:15, all'uscita alle.13:40 una fila impressionante.La consiglio"
"ui_bubble_rating bubble_10","L'attesa infinita ","Che errore! Abbiamo chiesto quanto avremmo dovuto attendere senza avere una risposta definita però abbiamo deciso di aspettare comunque. Abbiamo aspettato mezz'ora, un'ora, un'ora e mezza..... DUE ORE! La pizza? E chi se la ricorda"
"ui_bubble_rating bubble_50","Pienamente soddisfatta!","Già pienamente soddisfatta dalla pizza consumata a mezzogiorno, ci sono tornata anche la sera per rigustare e poter ricordare la pizza completamente appagante di Attilio!La pizzeria è inoltre in una delle zone più caratteristiche di Napoli. Consigliatissima."
"ui_bubble_rating bubble_50","Pizza ottima in zona pittoresca","Abituato alle mediocri pizze veneziane forse il mio giudizio sarà in parte influenzato ma, ho trovato la pizza ottima, l'impasto ben lievitato e digeribile.Prezzo onesto, personale schietto.Bell'ambiente."
"ui_bubble_rating bubble_30","Mi aspettavo di più'.","Da questa storica pizzeria, sinceramente, mi aspettavo molto di più'. Siamo andati un giovedì sera che pure pioveva, quindi tutto molto tranquillo con un equilibrato numero di clienti ai tavoli. Il locale è caratteristico e a mio parere anche bello nella sua genuinità'. Appena seduti ci è stato offerto un ' fagotto arrotolato con friarielli ' che dopo averlo assaggiato l'abbiamo accantonato. Passiamo alle due pizze: le classiche, margherita e marinara. Senza lode né gloria entrambe, anzi. Ho dei dubbi sul fior di latte sulla bianca, forse confermato vedendo il contenitore sul piano dei pizzaioli all'uscita ma la causa maggiore che giustifica il mio voto è stata la cottura !!! Impasto crudo nel cornicione che dopo circa 5 minuti ha assunto una gommosità equivalente al pongo.(ci ho pure giocato) Meno male non ho bevuto tutta la notte, meno male."
"ui_bubble_rating bubble_50","Napoli in bocca ","Ho conosciuto questa pizzeria passeggiando per i quartieri spagnoli è già questo ha il suo fascino entrando in questa pizzeria ho respirato l'aria di famiglia e di professionalità la pizza era buonissima tanto da fare gli applausi al maestro Attilio il prezzo poi la vera sorpresa basso per la qualità espressa ci tornerò volentieri "
"ui_bubble_rating bubble_50","A Pizza!!!!","La vera pizza Napoletana la trovate qui. Veloci, gentili, ci siamo andati apposta da Bergamo a Napoli per la loro pizza. Supercosigliato"
"ui_bubble_rating bubble_40","Una buona pizza a Napoli","Pizza molto buona, ingredienti freschi, impasto digeribile. Personale cortese. Prezzi ottimi. Ho ordinato Margherita Doc con bufala e pomodorini e sono rimasta soddisfatta. Sono stata da Attilio di sabato sera e per sedersi senza attendere e mangiare con calma consiglio di andare alle 19. Dopo le 19.40 inizia ad esserci la fila fuori."
"ui_bubble_rating bubble_20","C' era una volta.....","Servizio pessimo , pizza Margherita sotto la media come qualità degli ingredienti e lievitazione della pasta.Ripeto...c'era una volta la pizza di Attilio. "
"ui_bubble_rating bubble_50","Una Margherita da Attilio","Frequento questa pizzeria da da quasi mezzo secolo, nel tempo la qualità e la cortesia sono sempre costanti."
"ui_bubble_rating bubble_40","Meraviglia ","Dopo esserci imbattute in un clamoroso “fake” napoletano, siamo andate ad assaggiare la vera pizza napoletana.La Margherita a mio avviso era speciale, gustosa, leggera e leggermente croccante.Son riuscita a mangiarne due praticamente.Consiglio per il pranzo di andare poco dopo l’apertura così da trovar posto.Location semplice e pizza davvero speciale, nel cuore di Napoli!"
"ui_bubble_rating bubble_40","Ottimo","Una domenicale piacevole...Pizza buona leggera velocissimo il servizo. cordiali e simpatici...lo consiglio"
"ui_bubble_rating bubble_50","Cena da Attilio","Antipasto eccezionale, pizza eccellente, servizio veloce che ripaga l’attesa del tavolo. Prezzo ottimo, da non perdere"
"ui_bubble_rating bubble_40","Impossibile sbagliarsi","E' difficile trovare una pizza mediocre a Napoli, la differenza la fanno i dettagli: personale gentile, ottima l'idea di enfatizzare la provenienza delle materie prime, buona la pizza fritta (anche se l'olio andrebbe cambiato/filtrato più spesso). Come consistenza della pasta siamo dalle parti dell'eccellenza. In sintesi: un ottima pizza senza la folla (e i prezzi) di ottime ma frequentatissime eccellenze (non fatemi fare nomi ...)."
"ui_bubble_rating bubble_40","Ottima davvero!!!","Immediatamente all'interno di una laterale di via Toledo, si respira completamente l'aria dei quartieri spagnoli. Piccola ma caratteristica offre una pizza SUPERLATIVA!!!!!!! Il personale è cortese ed il prezzo è giusto. "
"ui_bubble_rating bubble_10","MAI PIÙ CI TORNEREMO!!!","Mancavamo da anni e,trovandoci in centro, ci siamo voluti andare x mangiare la loro pizza. È STATA LA PEGGIORE PIZZA CHE ABBIAMO MAI MANGIATO FIN'ORA. 1) abbiamo preso una Campagnola x mio marito e una Tiziana x me. Sulla prima appena appena, la salsa,5 acciughe e piena di origano. Sulla seconda appena la salsa, 5 pomodorini ( contati) ,3 PEZZETTI di provola e una RICOTTA ACIDISSIMA! X NON PARLARE DELLE MELANZANE FRITTE UNO SCHIFO! A finale le due erano scotte e gommose. Le abbiamo lasciate x 3/4.2) l'acqua servita in bottiglia era già aperta. Tant'è che 1. aveva sapore da fontana( noi la usiamo a casa, quindi conosciamo il sapore) 2. noi nn l' abbiamo potuta aprire: *solo il cameriere* ( già era aperta)3) quando abbiamo ricevuto il conto ci siamo resi conto, che si erano fregati 0,50€ !!! Nelle foto qui, se controllate, la somma delle pizze è di 13,50 no 14. La cassiera nn ha voluto sapere ragioni ! E nè tantomeno verificare dal menù!!! 4) nessuna ricevuta fiscale5) già ci sta la mancia x i camerieri6) personale scortese, incompetente, maleducato!!! Non sanno parlare manco l'inglese!!! Oramai è un porto turistico, EVITATELA!!!"
"ui_bubble_rating bubble_50","Pizza al top","La miglior pizza che abbia mai mangiato. Servizio impeccabile rapporto qualità/ prezzo ottimo. Non mi aspettavo di pagare cosi poco per una pizza eccezionale. Chi viene a Napoli ci deve andare "
"ui_bubble_rating bubble_50","Ottimooooo","Beh a Napoli non puoi non mangiare la storica e tanto decantata pizza napoletana. Tra le tantissime pizzerie presenti, ho scelto la Pizzeria da Attilio in Via Pignasecca, un piccolo e storico locale in zona Pignasecca nelle vicinanze della centralissima Via Toledo. E' stata una scelta eccellente perché da Attilio puoi mangiare la migliore pizza napoletana con materie prime di grandissima qualità. Impasto soffice, ben cotto e digeribilissimo. Fantastica la loro pizza Carnevale ....non dico altro perché va gustata in religioso silenzio. Come tutte le maggiori pizzerie di Napoli non accetta prenotazioni ma prende il nome per inserirlo in una sorta di lista di attesa. Poi quando giungi al locale dai il nome e se ci sono tavoli liberi ti fanno accomodare sennò ti avvertono appena se ne libera uno a seconda della lista. Io consiglio di non andare troppo tardi perché si rischierebbe di aspettare un pò troppo. Servizio veloce e prezzi nella norma.Che dire di più .....andateci e non ve ne pentirete. Consigliatissimo. Se tornerò nella spendida Napoli tornerò sicuramente da Attilio."
"ui_bubble_rating bubble_50","Una vera pizzeria","Locale che si trova nel cuore vivo di Napoli nel mercato di Pignasecca. Fritti eccellenti, così come le pizze. Prezzo onesto. Se si viene a Napoli bisogna andare in una pizzeria così, verace!!!"
"ui_bubble_rating bubble_50","La migliore ","La migliore pizza che abbia mai mangiato. Non si deve aggiungere altroLocale caratteristico nel centro storico di Napoli. Complimenti"
"ui_bubble_rating bubble_50","Ottimo ","Perfetto , ottima pizza ,personale cordiale e spiritoso , prezzo super economico!! In un’unica parola : il Vero ristorante Napoletano . "
"ui_bubble_rating bubble_30","buona pizza ma proprietaria furbetta","abbiamo mangiato 2 volte in questo locale. la prima volta tutto bene, ottima margherita. la seconda abbiamo la pizza con verdure e formaggio senza pomodoro. decisamente meglio quella col pomodoro. La CASSERIA furnbetta alla richiesta dello scontrino ci da una fattura senza averne una copia per il locale tenendo un blocco di carta sotto l'originale. siccome c'era tanta gente siamo andati via. sono di origine napoletana, e non mi piacciono i pregiudizi, ma a volte hanno un fondo di verita"
