"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","pizza al volo","una pizza saporita, con buona scelta. frittura assai sfiziosa e di buon gusto. servizio veloce e quindi pizza volante"
"ui_bubble_rating bubble_50","Spettacolo","La pizza fritta più buona che abbia mai mangiato. Pizza a portafoglio e pizza fritta costano soltanto 1,2 euro, un affare! La pizza fritta viene guarnita con una salsa al pomodoro che ha un gusto autentico e una provola buonissima. Consigliatissimo!"
"ui_bubble_rating bubble_50","Splendida atmosfera","Sono cliente da sempre, ma in questo periodo natalizio, la pizza e la frittura hanno un connubio slettacolare! Vedere tanti turisti è non fare la fila per sedersi o prendersi qualcosa da asporto, ha qualcosa di semplicemente eccezionale! Nonostante la grossissima affluenza, rimane il top!"
"ui_bubble_rating bubble_40","BuonaBuona","Frequento questo locale dal 1987 da quando cioè ero una matricola della vicina facoltà di architettura. La pizza è buona oggi come allora. Così come i prezzi competitivi. Personale gentile e rapidissimo. Gran varietà di pizze. Ottimo impasto digeribilissimo. Se si passa di mattina non si possono non assaggiare le favolose graffe!!!"
"ui_bubble_rating bubble_20","Nulla di eccezionale","Pizzeria davvero piccola con pochi posti a sedere. Sinceramente essendo a napoli ci aspettavamo una pizza eccellente ma così non è stato. Pizza normale e non tanto di qualità. Personale che appena finito la pizza ci chiede di alzarci per liberare il posto ad altri non tanto in modo garbato. Prezzo nella media."
"ui_bubble_rating bubble_10","Pessimo ","Fa schifo locale pessimo servizio scadente personale scostumato e soprattutto una truffa non fa neanche gli scontri fiscali non veniteci"
"ui_bubble_rating bubble_40","Storico ","Pizzeria storico nel centro storico! Servizio veloce anche solo per una cosa al volo, tipo graffa, panino, pizzetta..."
"ui_bubble_rating bubble_30","La pizza di Giuliano","Il locale e’ super basico: ingresso angusto è unica mini sala da 30 posti( forse) con arredo (?) anni 70.Servizio veloce, pizze buone e ben servite e poi anche crocchette e rosticci vari. Spesa minimissima , 52 euro in 6 con anche 5 birre da mezzo litro.Ottimo Giuliano. Il locale e’ tipico nella sua semplicita’."
"ui_bubble_rating bubble_40","Ottimo pit stop gastronomico","Piccolo locale in pieno centro storico, sala senza pretese ma comunque accogliente, ottima qualità dei prodotti e personale cortese. Tutte le pizze ed i pezzi di rosticceria sono veramente buoni. Prezzi molto contenuti. Bravi!"
"ui_bubble_rating bubble_40","Super pizza in compagnia!","Una delle ottime pizzerie presenti nel centro storico di Napoli.Che dire.....localino semplice ed accogliente.Personale gentile ed esperto,al tempo stesso servizio ottimo e veloce.Delle pizze,delle squisite fritturine e delle altre specialità che dire...provate e non ve ne pentirete!!!"
"ui_bubble_rating bubble_40","E sempre un piacere","Ogni volta che vado o porto qualcuno usciamo entusiasti a contenti. quei crocche di patate quegli arancini e senza dimenticare le pizze.l'ultima il giorno 08/09 abbiamo scelto una pizza mai assaggiata, uno spettacolo sia visivo che di sapori.allego la foto sembra un quadro. grazie al personale tutto"
