"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Locale centrale, pizza buona e leggera, servizio veloce e prezzi contenuti","La pizzeria è in un posto centralissimo, di fronte al teatro San Carlo e vicino al Maschio Angioino. La scelta è essenziale e tradizionale, tra pizza Margherita e marinara, più la possibilità di avere qualche prodotto di salumeria.Nonostante l'aspetto un po' da locale turistico e la scelta di proporre il menù praticamente a prezzi fissi molto bassi la pizza è molto buona, grande nelle dimensioni ma leggera nell'impasto, il servizio è velocissimo e il personale è gentile. Una scelta che merita se si vuole mangiare una buona pizza veloce in centro."
"ui_bubble_rating bubble_40","Appena usciti dal locale... ","una recensione al volo per questo posto scoperto per caso per non andare sempre dai soliti Sorbillo, Michele forcella o Vomero, Pellone o altre due solite dove vado abitualmente. Visto il numero di stelle e recensioni sull’app e deciso di provare subito. La pizza è buona veramente, il locale accogliente e caratteristico anche se piccolino. Sicuramente ci ritorneremo. "
"ui_bubble_rating bubble_40","Margherita e Marinara","Locale molto particolare, ottimo per una pizza veloce durante una passeggiata al centro di Napoli. Come pizza si può scegliere tra Margherita e Marinara, ma il locale vende anche prodotti tipici di salumeria ecc. di conseguenza si può anche mangiare altro."
"ui_bubble_rating bubble_30","suggestivo!","Ottimo il servizio...il resto un pò meno! la pizza fritta è molto buona...il personale è cordiale...i dolci da rivedere!"
"ui_bubble_rating bubble_40","Una bella sorpresa ","All’apparenza troppo turistico, ma si è rivelato piacevole, semplice ed economico (abbiamo speso 10€ per due pizze e due bibite analcoliche).La scelta non è ampia (Margherita e Marinara) ma tipica.La pizza buona, tra le migliori assaggiate nei giorni trascorsi a Napoli.Consigliato!!"
"ui_bubble_rating bubble_10","Lasciate perdere","Economica ma non all’altezza.Ci siam fermati qui nel caos del 31 Dicembre. Eravamo affamati e abbiamo colto al volo l’occasione a pochi metri dalla galleria Umberto primo.Fanno solo due tipi di pizza: margherita o marinara.Quando gli ho fatto presente che era bruciata, invece di scusarsi mi ha detto che era ‘maculata’.C’è tanto ma tanto di meglio a Napoli."
"ui_bubble_rating bubble_50","Pizza e basta","Solo pizza Marinara e Margherita in un negozio adattato a pizzeria. Tutto semplice e veloce, ma pizza napoletana eccellente. Prezzi bassissimi. "
"ui_bubble_rating bubble_50","Sorprendente <U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D>","E' vero che alcune pizzerie hanno solo il nome, ma il contenuto è veramente scarso. Io e il mio fidanzato ci siamo trovati qui per caso infatti ero un pó titubante prima che assaggiassi la loro pizza. Mi sono ricreduta al primo morso dato alla pizza. Pizza da grandi dimensioni, ma leggerissima da volerne un'altra. Per non parlare del loro prezzo economico! Consigliato a tutti!"
"ui_bubble_rating bubble_50","Piacevolissima sorpresa","Mi son trovato di passaggio con amici in visita a Napoli, attratto delle pizze appena servite decido di rischiare, e per fortuna l intuito nn mi ha tradito. Veramente buona e leggera la pizza prezzi contenuti. Tengo a precisare che servono solo Margherita e marinara le vere pizze...e fanno bene.ambienti piccoli, servizio veloce, non elegante in servizio e location (meglio così). Un appuntamento i bagni abbastanza pulito, ma completamente da rifare!!"
"ui_bubble_rating bubble_40","centrale ed economico","ottima posizione centrale di fronte il teatro San Carlo vicino piazza del Plebiscito, buona la pizza margherita o marinara, prezzo della pizza indicata e bevanda analcolica euro 5, comodamente seduti, attiguo e comunicante negozio di vendita prodotti tipici campani. A la prossima"
"ui_bubble_rating bubble_50","Piazza stellare","La pizza i questo ristorante è ottima, sottile e bella larga, e i prezzi sono davvero economici (a pranzo pizza+acqua 5€). Il servizio è veloce. Davvero molto consigliato."
"ui_bubble_rating bubble_40","Prezzi molto ok","Pizza a pranzo, buona e consumata con un'offerta a 5 euro...difficile trovare un rapporto qualità prezzo del genere: bravi."
"ui_bubble_rating bubble_50","mozzarella","oltre alla pizza che fanno solo di due gusti (margherita e marinara) c'è anche una parte del negozio che vende prodotti alimentari ed in particolare una mozzarella da urlo!! ne ho ordinata una da un kilo .. era la fine del mondo. quasi da ripartire per napoli per andare a comprarla. personale gentilissimo"
"ui_bubble_rating bubble_40","Ottimo","Pizzeria di fronte al teatro San Carlo. Solo pizza Margherita e marinara. Bibita compresa, il tutto a 5 €. Pizza ottima, decisamente meglio delle più nominate di Napoli. Servizio veloce. Personale simpatico. 4 pallini invece di 5 solo per la scelta limitata "
"ui_bubble_rating bubble_50","Una conferma","Molto buona la pizza ad un prezzo eccezionale. Locale semplice ma carino. Personale molto cortese. Ci torneremo tutte le volte che saremo in zona. Fateci un salto"
"ui_bubble_rating bubble_40","Semplicità è la parola d'ordine","Locale stracolmo più di un uovo, sia a livello di tavoli che di arredo. Ti siedi e ti danno solo due alternative! evviva, non si ha l'imbarazzo della scelta: o margherita o marinara! La cucina è a vista ed è sempre bello vedere come si fanno le pizze. La pizza è buona, il servizio nonostante la semplificazione incasina, ma fa parte del colore di Napoli. Insomma, questo locale è una buona soluzione per mangiare una buona pizza a due passi dal centro"
"ui_bubble_rating bubble_50","eccezionale rapporto qualità prezzo","Dopo una breve attesa di pochi minuti, ci siamo accomodati e quasi contemporaneamente (!) ci è stata servita una delle migliori pizze napletane.Il locale, anche se molto caratteristico, è un pò piccolo e gli spazi tra un tavolo e l'altro vanno quasi inventati; ma la qualità della pizza e il rapporto qualità/prezzo veramente eccezionale (5 euro per pizza e bevanda!) fanno superare qualche piccolo disagio"
"ui_bubble_rating bubble_40","Buona da sempre","Ottima pizza napoletana.Ottimo prezzo, inclusa bevanda non alcolica.Personale cordiale e professionale.Sale ridimensionate come in origine.Da provare e riprovare.Consigliato.A pochi passi da piazza plebiscito."
