"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Eccellenze di Napoli","Pizzeria situata alle spalle di Piazza del Plebiscito - una volta che si è in piazza, bastano 5 minuti di cammino e ci si arriva -. La pizzeria è a conduzione familiare e offre l'opportunità di poter scegliere tra una vasta gamma di pizze, dalle classiche margherita, marinara, e salsiccia e friarelli, fino alle pizze più particolari, che non solo troverete sul menù, ma vi verranno anche consigliate dallo staff nel caso di facile imbarazzo nella scelta - l'assortimento è davvero ricco! La mia preferita è la zucca, salsiccia e provola, a mio parere davvero squisita! Ma ripeto, ci sono per tutti i gusti! - I prezzi sono davvero ottimi considerando la bontà eccelsa dei prodotti e la posizione della pizzeria che si trova in uno dei luoghi storici di Napoli. Per qualsiasi esigenza, lo staff è sempre disponibile! Insomma, a mio parere, approvata a pieni voti e soprattutto consigliata! Dimenticavo, i tempi di attesa non lunghi, cosa che fa sempre piacere."
"ui_bubble_rating bubble_50","Semplicità e qualità","Da gestore di vari ristorante a Londra, sono rimasto colpitissimo dalla pizzeria Pavia situata all interno di una dei quartieri spagnoli. Un posto che incontra semplicità e qualità.Pizza fritta ineguagliabile. Ragazzi in sala gentilissimi e professionali allo stesso tempo, e mai noiosi; e i piazzaioli sono dei veri maestri d’arte.Altamente raccomandato, un bellissimo posto dove assaggiare Napoli!"
"ui_bubble_rating bubble_40","La vera Napoli","Posizionata nella parte ovest dei Quartieri Spagnoli, dietro Piazza del Plebiscito, per arrivarci si attraversa e si respira la vera Napoli. Locali molto piccolo a conduzione familiare con tovaglie di carta e servizio molto casalingo. La pizza margherita si scioglie in bocca, ma il Sig. Pavia, proprietario che gestisce il locale da 3 generazioni, si diletta in sperimentazioni decisamente riuscite. Pizza con crema di zucca e provola, con crema di patate, salsiccia e scamorza. Siamo tornati due volte perché merita davvero"
"ui_bubble_rating bubble_40","Ottima pizza e super prezzi","Ottime pizze dall'impasto leggermente più spesso e consistente rispetto alla tipica napoletana. Prezzi veramente concorrenziali. Un po' difficile da scovare ma si trova a 2 passi da piazza del plebiscito"
"ui_bubble_rating bubble_50","Una piacevole sorpresa.","Oggi eravamo a vedere la befana in piazza del plebiscito. Ad ora di pranzo, tramite tripadvisor, ci rechiamo in una stradina alle spalle della Piazza. Locale semplice ma accogliente e pulito. Staff gentile e simpatico, prendiamo una pizza metà salsiccia e friarielli e metà patate salsiccia e provola, l'altra pizza metà Margherita e metà diavola. Entrambe le pizze erano squisite e di una bontà fuori dal comune. Siamo veramente soddisfatti della qualità e anche del giusto prezzo corrisposto. Ci ritorneremo."
"ui_bubble_rating bubble_50","Super pizza","Abbiamo pranzato in 6 in questa pizzeria, il locale è piccolino ma con un po’ di fortuna l’attesa, per il tavolo, è stata di solo 5 minuti. Cortesi e rapidi i camerieri, dopo ordinato le pizze sono arrivate subito ed erano veramente ottime. Consiglio la pizza “concettina” e quella con salsiccia e friarielli."
"ui_bubble_rating bubble_40","Pranzo veloce","Arriviamo poco dopo l'apertura e troviamo un tavolo per 4 senza problemi.Il locale è piccolo e si trova alle spalle di piazza Plebiscito. Antipasto nella norma, pizze buone e servizio veloce.Prezzo molto buono."
"ui_bubble_rating bubble_50","Una pizza da 10 e lode","Partiamo parlando del locale, si trova alle spalle di Piazza Plebiscito. Locale piccolino, arredato in modo molto semplice ed in grado di ospitare non più di una trentina di persone. Le attese per entrare, come in molte pizzerie note di Napoli sono molto lunghe. La pizza ovviamente fa da padrona. Ottimi gli ingredienti, perfetta la cottura. Per quel che abbiamo mangiato si può dire che si sia pagato pochissimo, meno di dieci euro a persona. Consigliato!! "
"ui_bubble_rating bubble_50","Pizzeria verace","Locale piccolo ma con personale gentilissimo, pizze buone ed economiche per essere in centro a Napoli."
