"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","PIZZA STUPENDA","Una vera delizia la pizza che ho mangiato. Semplicemente mozzarella di bufala e basilico, ma era proprio così che volevo assaporare il gusto di Napoli. Non me ne sono pentito la pizza era favolosa, una pasta leggera e digeribile subito. Anche i primi piatti hanno soddisfatto in pieno il gusto della mia famiglia. Pastiera e babà per finire semplicemente deliziosi. Andate."
"ui_bubble_rating bubble_40","Ottima pizzeria!","Pizza buonissima, personale gentile e disponibile, locale comodo per chi arriva a N. C.LE in treno!Da provare assolutamente la pizza con nocciola e il Kinder bueno!Ottimo rapporto qualità prezzo."
"ui_bubble_rating bubble_40","Pizza ottima, cozze stupende","proprio di fronte alla stazione centrale di Napoli, quasi nella piazza Garibaldi, è situato il ristorante da Franco. Vi abbiamo cenato la prima sera, non sapendo nè leggere nè scrivere, ci siamo fidati e non abbiamo sbagliato. Abbiamo preso un'impepata di cozze, e poi la classica salsiccia e friarielli. Acqua, una birra per me. Abbiamo pagato 35 euro con anche il caffè. Soddisfatti. Peccato che la sera di capodanno fosse chiuso."
"ui_bubble_rating bubble_50","Pizza eccellente","Locale situato nei pressi della stazione centrale di Napoli. Servizio veloce, simpaticissimo il cameriere Michele a dispetto delle tante critiche lette. Eccellente la pizza .. impasto digeribilissino ed ingredienti al top!! Strepitosa la grotta al Kinder bueno!! Sicuramente tra le migliori pizze di Napoli! Prezzi nella media. "
"ui_bubble_rating bubble_50","pranzo con ottima pizza !","Scrivo con ritardo queste due righe per ricordare una ottima pizza gustata in ottobre dello scorso anno. Locale molto piccolo poso nelle immediate vicinanze della stazione centrale. Lo ho trovato quasi per caso. La pizza è davvero eccellente. Ho scelto quella con alici fresche. Servizio rapido e cordiale. Rapporto qualità/prezzo appropriato. Tornerò senz'altro."
"ui_bubble_rating bubble_50","Assolutamente da provare ","Fuori dagli itinerari turistici questa pizzeria è un gioiello. Conosciuta sui social network è stata una esperienza davvero interessante . Ti offre pizze particolari con un impasto fantastico . Complimenti al servizio e in particolare a Carla che ci ha serviti e reso piacevole la serata "
"ui_bubble_rating bubble_40","Una buona pizzeria ad un passo dalla Stazione Centrale","Alla fine del corso Arnaldo Lucci, di fronte all'ingresso laterale della Stazione Centrale, all'altezza della Libreria Feltrinelli, il Bar Ristorante Pizzeria Franco rappresenta un buon punto di riferimento per il viaggiatore. Le pizze, ispirate alla nouvelle vague della tradizione partenopea - cornicione molto rilevato, lievitazione prolungata, topping costituito da prodotti di eccellenza del territorio - sono ottime. Buona la pizza fritta. Interessanti e innovativi anche i calzoni. Straordinarie le classiche frittatine di pasta, probabilmente le migliori della città. Servizio garbato. Prezzi onesti."
"ui_bubble_rating bubble_50","Sfogliatella al volo","Sono stata nel bar della pizzeria...di notte..il titolare molto disponibile nel farmi restare nel bar per oltre i 30 min del ritardo del mio bus..ovviamente ho ordinato una sfogliatella e devo dire che oltre ad essere calda era veramente gustosa...che dire ne ho comprato.altre per il viaggio..."
"ui_bubble_rating bubble_40","Buona pizza ","Piccolo locale posizionato lateralmente alla stazione di Napoli Centrale (lato libreria Feltrinelli).Gentilissima la sig.ra che mi ha accolto e ha fatto sì che riuscissi a mangiare in tempi rapidissimi visto che avevo il treno dopo mezz’ora.Buona la pizza, celere il servizio ma prezzi leggermente più alti rispetto alle tantissime pizzerie napoletane da me frequentate.Comunque ok."
"ui_bubble_rating bubble_40","piccolo ma accogliente","il locale è piccolino in piazza Garibaldi e il personale è cortese, gentile e simpatico.siamo andati per assaggiare la famosa grotta e abbiamo preso quella con il ripieno della pasta e patate (che era una delle proposte del giorno), che dire davvero ottima da condividere magari. impasto soffice e parte superiore croccante. oltre alla grotta, abbiamo preso anche la pizza margherita e onestamente non mi ha fatto impazzire, non è la pizza di Napoli come la intendo io. buona la qualità dei prodotti ma risultava pesante da mangiare. molto buono comunque il mio giudizio andrò sicuramente ad assaggiare altre grotte, ce ne sono di tanti gusti."
"ui_bubble_rating bubble_30","Cameriere scortese","Avrei dato 5 stelle per la bontà e la qualità Delle materie prime e Delle pizze se non fosse stato che il cameriere sulla cinquantina con i capelli brizzolati ci ha trattato male da quando siamo entrati a quando siamo andati via.Non mi dilungo sui dettagli, voglio solo dire da collega (cuoco) che il cameriere è un mestiere bellissimo nel quale cordialità e sorriso verso il cliente non possono MAI mancare! Spazio a chi ha veramente voglia di lavorare!"
"ui_bubble_rating bubble_50","Consigliatissimo ","Già un pò di tempo fà avevo messo il mi piace sulla pagina Facebook...e spesso mi usciva sponsorizzato con le sue novità...le grotte...attratti dalla curiosità abbiamo voluto provare le grotte e devo dire veramente ottime un impasto leggero e molto appetibile ed anche gli ingredienti hanno il loro sapore partenopeo, insomma consigliatissimo ci ritorneremo per il tris di frittatine "
"ui_bubble_rating bubble_50","Tutto perfetto","Ho trovato questa pizzeria su instagram e ho deciso di andarci di sabato , fortunatamente non abbiamo aspettato molto per sederci.Eravamo in 4 e abbiamo deciso di assaggiare sia le pizze che le grotte , specialità della pizzeria.Una volta assaggiate le pizze siamo rimasti soddisfatti al 100% , un impasto squisito , leggero e ingredienti genuini. Non vedo l'ora di ritornarci."
"ui_bubble_rating bubble_40","Garanzia assoluta!!!","Prima di partire tappa obbligata da Franco per degustare un’ ottima pizza.Pizze con vari gusti con ingredienti di ottima qualità.Personale sempre gentile e attese molto limitate.Prezzi accessibilissimi!!!Consigliatissimo."
"ui_bubble_rating bubble_20","Ottimo ma..","Preciso che a causa di un nostro ritardo, siamo arrivati circa 30 minuti prima della chiusura. Il capo sala abbastanza infastidito ci ha portato in breve tempo l’ordine, ma ci ha messo abbastanza fretta nel terminare la nostra cena, chiudendo il conto, senza chiederci se volevamo concludere con il dolce o altro. Avendo finito la pizza per ultima, mi ha levato il piatto da sotto e non sono riuscita neanche a bere l’acqua nel bicchiere, errore nostro ad arrivare tardi ma, ci si può comportare meglio.."
"ui_bubble_rating bubble_50","Ottima scoperta","Difronte alla stazione centrale, ottima pizza e cameriere caratteristico della zona molto gentile!!! Consigliatissimo"
"ui_bubble_rating bubble_10","No good","La pizza a Napoli è sacra!questa pizza che ho mangiato non era una buona pizza,salsa cruda,ingredienti non di qualità cornicione troppo grosso!e in più il cameriere della sala di sotto molto scortese,quando gli chiedevi di portare una bibita primo ci ha messo molto tempo,e dopo sembrava avermi fatto un piacere!!da sconsigliare."
"ui_bubble_rating bubble_50","Super cena, posto niente di che","Il posto obbiettivamente non è niente di speciale, se mi fossi fatta trasportare dall'apparenza me ne sarei andata. Personale molto gentile e disponibile (cosa non scontata a Napoli, dove tutti sembra che ti facciano un favore a parlarti e servirti un semplice caffè). Abbiamo presto un antipasto, un primo e una pizza tutti buonissimi. Tiramisù pessimo, fatto con la panna e i savoiardi appena picchiati nel caffè quindi stopposi. In ogni caso serata molto positiva. 25 euro a testa con anche una bottiglia di vino, caffè e amaro. CONSIGLIATO!"
"ui_bubble_rating bubble_40","Tutti alle grotte","Sono stata in questo ristorante un paio di giorni fa insieme ai miei amici. Avevo già visto su internet le varie foto del posto e della pizza, soprattutto le grotte, e avevo delle aspettative alte. Che dire, tutte di gran lunga superate. Abbiamo preso tutti le grotte, chi al pistacchio, chi col ragù, chi con le patate viola, tutto eccezionale. I prezzi sono contenuti (le grotte costano 8 euro) per la bontà dell'impasto morbidissimo. Inoltre sono stati gentili a conservare la torta e i dolci che avevo portato.L'unica nota negativa della serata è stata il cameriere un po' saccente, che inoltre passava e si intrometteva nei nostri discorsi. E' stato comunque gentile a spiegarci come fossero prodotte le grotte, che hanno una lievitazione diversa ecc, però alcune cose hanno dato fastidio."
"ui_bubble_rating bubble_50","Pizza spettacolare!","Sono stato a Napoli per un week end con la mia compagna e mia figlia, sotto consiglio di persone del posto siamo stati in questo ristorante: mai mangiato pizza più buona!Abbiamo preso un misto di fritti (molto buoni), uno gnocco alla sorrentina, una margheritina con bufala ed un calzone (da provare assolutamente), acqua, vino (amarone) e 2 caffè, tutto per 53€.Pizza eccezionale, calzone super!Ringrazio Carla, la cameriera, per la disponibilità e la professionalità!Lo consiglio a tutti!"
"ui_bubble_rating bubble_50","Ottimo posto","Buona la pizza la simpatia dei camerieri Carla e Michele (non mi ricordo bene il suo nome Ahahahah ) da ritornarci e da migliorare l'inglese statt buon "
