"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Pizza divina","La pizza veramente buonissima e super digeribile, ottima la pizzettata!! Pizzeria tipica napoletana, molto spartana, camerieri velocissimi e simpatici. Da ritornare assolutamente"
"ui_bubble_rating bubble_50","Mai giudicare un libro dalla copertina","Il locale, che esternamente non attira particolarmente l’occhio, è piccolo ma carino, con tavolo da lavoro e forno a legna in piena vista: i pizzaioli impastano e stendono davanti ai clienti. Le pizze, dal prezzo molto onesto (Margherita 4,00€, con bufala 6,00€), si sono rivelate non solo molto buone, ma anche davvero leggere. Fin dal primo morso si percepisce la qualità delle materie prime! A fine pasto, ci è stato offerto un piccolo dessert della casa! Posto consigliato per un pizza informale da ricordare senza infinte code d’attesa!"
"ui_bubble_rating bubble_50","Ottima pizza ed ottimo rapporto qualità prezzo","Pizza e fritture buonissime, personale molto gentile, allegro e professionale. Prezzi molto contenuti rispetto ad altri locali vomeresi. Consiglio vivamente questo posto!"
"ui_bubble_rating bubble_50","Ottima","Siamo stati accolti in modo più che gentile. Abbiamo preso due pizze che abbiamo atteso per pochissimi minuti. Scontato dire che erano ottime. In più, alla fine, ci hanno anche offerto un dolce della casa. "
"ui_bubble_rating bubble_50","Tutto ottimo","Personale gentile, pizza ottima, ci hanno anche offerto un fritto dolce con Nutella... squisito! Sicuramente ritorneremo."
"ui_bubble_rating bubble_50","Grande qualità ","Con amici napoletani siamo stati a cena da sandropizzettata...ottimi i fritti e ottima la pizza! Ci ritorneremo!"
"ui_bubble_rating bubble_50","Da provare!","Sono stata in questo locale con il mio ragazzo, purtroppo non accetta prenotazioni. Ciononostante ci hanno fatto accomodare quasi subito (il locale è piuttosto piccolo). Pizza veramente buona, c'è un'ampia scelta. I prezzi sono onesti e il personale è molto cordiale. Ci è stato offerto il dolce della casa, veramente fantastico! Lo consiglio a chiunque abbia voglia di una buona pizza napoletana."
"ui_bubble_rating bubble_40","Una scappata a NAPOLI","Partiti per Aquino perla CITTÀ di babbo natale....ho deciso finalmente di andarmi a mangiare una pizza a Napoli....cerco su tripadvisor una pizzeria e mi suggerisce qui da sandropizzettata la 3 di 459 con personale educato e accogliente ci trovano subito un tavolo x 4 facendo vari spostamenti (cosa gradita)segno di buona ospitalità.il locale molto alla mano ma ben pulito come ci sediamo viene al tavolo il cameriere per ordinare che ci spiega un po' le loro specialità....consigliati benissimo abbiamo preso 2 margherite con bufala una napoletana 3 Fiorilli e una pizzettata che sarebbe una pizza con ingredienti dell' pizzettaro.IL TUTTO BUONISSIMO anche perche'durante e dopo il viaggio non mi sono sentito pesante o bevuto 3 litri d'acqua come mi succede di solito.Risultato della serata in questa pizzeria nel complesso da 1 a 10 PER ME È DA 8....8 1/2......LO CONSIGLIO E CI RIANDREI VOLENTIERI!"
"ui_bubble_rating bubble_50","Ottimo antipasto e una pizza a regola d'arte","Siamo stato in questo ristorante nel corso di una passeggiata nel quartiere Vomero di Napoli. Non conoscendo la città ci siamo affidati a Tripadvisor e abbiamo notato che questo posto era molto ben posizionato nella classifica generale. Si tratta di uno di quei ristoranti che da fuori non noti particolarmente e in cui quindi difficilmente entri per caso. Il locale è abbastanza piccolo e stretto, con i tavoli molto vicini tra loro. Il personale è molto cordiale e disponibile, anche quando vengono richieste variazioni rispetto ai piatti standard presenti nel menù. Abbiamo preso un antipasto a base di pane fritto con peperoncino, rucola, pomodori e grana dividendolo (consigliatissimo e non troppo piccante) e due pizze, una margherita normale e una con mozzarella di bufala. Con due birre e un acqua a completare l’ordine abbiamo speso in totale 27 Euro. Tutti i piatti erano molto buoni e realizzati con cura. Unico neo del ristorante non è possibile ordinare un caffè (a Napoli poi…) ma comunque cinque stelle meritatissime!"
"ui_bubble_rating bubble_30","Buona","La signora all entrata molto gentile, ci sono andata con il mio compagno per essere sabato sera l attesa non è stata molto lunga.. una mezz'oretta. Abbiamo ordinato una pizza di quella tipica loro a gusti a piacere del pizzaiolo, ma c'è ne sono arrivate due. Erano buone ma l impasto a tratti un po' crudo. I camerieri gentili dopo il conto ci hanno offerto un dolcino a base di graffette con nutella"
"ui_bubble_rating bubble_50","Una pizza al Vomero che si fa ben ricordare","Arrivati affamati dalla Certosa di San Martino abbiamo cercato su tripadvisor un suggerimento per una pizzeria. Ci è capitata questa di via Francesco Solimena 72, una stradina poco distante da piazza Vanvitelli e Via Scarlatti. L'accoglienza è stata calorosa e gentile. Siamo arrivati presto, per fortuna, e l'attenzione per noi è stata davvero favolosa. L'offerta delle pizze è per tutti i gusti e se non ci avesse aiutato la signora con dei consigli saremmo ancora là a scegliere, ma quattro parole e abbiamo trovato le pizze giuste per noi. La Pizzeria si chiama Sandropizzettata perché fa appunto la pizzettata, una pizza oblunga multigusto, davvero particolare e gustosa. Ma ciò che conta è la leggerezza e la digeribilità della pasta, nonché le meraviglie degli ingredienti a guarnizione. Io, ad esempio ho scelto Omega 3, una pizza con pistacchi, mandorle e noci, accompagnate con del pesto. Favolosa per i miei gusti. Ci torneremo sicuramente per provare anche le altre molteplici scelte. Infine angioletti alla nutella per chiudere in dolcezza. Il prezzo è decisamente non caro."
"ui_bubble_rating bubble_50","Eccezionale ","Locale piccolissimo con pochissimi tavoli ma ne è valsa la pena. Una vastissima scelta che ti confonde le idee ma ognuna è invitante. La pasta gustosissima è molto digeribile ed il condimento lodevole. L’unica pecca è la poca scelta della birra peraltro non hanno quella alla spina ma, una menabrea ha svolto egregiamente il proprio lavoro"
"ui_bubble_rating bubble_50","Una piacevole scoperta","Ieri girando per il Vomero cercavamo un posto in cui pranzare, attraverso TripAdvisor e le recensioni positive siamo finiti da Sandro. Abbiamo provato il fritto della casa, davvero ottimo e la famosa pizzettata... di cui non possiamo svelare gli ingredienti ma sicuramente consigliatissima. Ottimo servizio di Ludovico. A fine pasto veniva anche offerto un dolcino ed abbiamo anche avuto modo di intrattenerci con Sandro, simpatico e ospitale. Un saluto, i ragazzi di Messina. "
"ui_bubble_rating bubble_50","sempre più buona....","...siamo tornati di mercoledì sera in questa pizzeria; fortunati a trovare a parcheggio in strada antistante il locale, in tutti i casi di fronte è presente un parcheggio per serate più caotiche. Abbiamo avuto la possibilità di scegliere il tavolo optando per la seconda saletta, leggermente più riservata. Un veloce antipasto con frittatina e crocchè, con ingredienti genuini ed olio di frittura pressoché perfetto. Abbiamo chiesto il segreto al proprietario, il quale scherzosamente non si è sbilanciato...ma resta la bontà di due prodotti inimitabili. A seguire abbiamo diviso una capricciosa alla bufala, ed un saltimbocca alla fiore con ricotta, bufala, salame e fiori di zucca. A dir poco sublime. Conto economicissimo, 30 euro in due, compreso amari, una birra rossa grande ed una piccola. Dolce offerto. Assolutamente da provare."
"ui_bubble_rating bubble_50","Ottimo e senza fronzoli","Ho mangiato con la mia famiglia in questa pizzeria, dopo una serata al Teatro Diana, da cui è facilmente raggiungibile a piedi; di giovedì sera, verso le 22.30, ci siamo seduti subito. Che dire, una perla rara in un mondo fin troppo pieno di pizzerie cosiddette gourmet: locale spartano e senza fronzoli, abbiamo ordinato pizze classiche (marinara e margherita) ed erano ottime. 3 pizze e 3 birre menabrea, 28€.Assolutamente consigliato! "
"ui_bubble_rating bubble_50","La migliore","Nonostante la fila fuori, per essre un sabato sera l'attesa e' stata brevissima. Che dire, servizio eccellente e veloce, pizza ottima! Tra le migliori mai mangiate in vita mia. Per concludere anche un bel dolcetto offerto dalla casa. Consiglio questa pizzeria senza dubbio!"
"ui_bubble_rating bubble_50","Eccellente","Sono - per la terza volta in poche settimane - seduto ad uno dei tavolini di questa (piccola) pizzeria del Vomero e penso alla supponenza di alcuni pizzaioli napoletani che si atteggiano a maestri gourmet saltando tra una televisione e l'altra, da un giornale (prezzolato) a una guida gastronomica (anch'essa prezzolata). Penso al grande affare del marketing virtuale e dei blogger gastronomici e all'ottima pizza che ho mangiato qui, in un locale al di fuori dai circuiti della notorietà e delle mode, dignitoso, pulito, ben frequentato e con il personale gentile e premuroso, mai invadente. Eccellenti le fritture, davvero buona la pizza con pasta leggera, digeribile, ben farcita dall'ottima lievitatura (48 ore, farine Caputo). Prezzi super bassi con ricevuta fiscale (che non va richiesta)."
"ui_bubble_rating bubble_40","Pizzeria da consigliare","Pizza buona e con ingredienti genuini, nel cuore del Vomero. Servizio attento, veloce e gentile. Ci torneremo!"
"ui_bubble_rating bubble_10","prenotazione annullata per 10 minuti di ritardo , di orologio","eravamo in 2 , di sabato sera , avevo prenotato , abbiamo fatto 10 minuti di ritardo di orologio , la prenotazione è stata annullata perchè loro non posso aspettare tutti i clienti ritardatari ... avremmo dovuto aspettare circa 25 minuti per entrare ... abbiamo preferito andare in un pub ... la prossima volta quando chiamiamo per prenotare dite al telefono che se si ritarda di 1 secondo la prenotazione viene annullata ... magari uno non si precipita da voi essendone consapevole"
"ui_bubble_rating bubble_20","posto irraggiungibile a piedi ed è impossibile parcheggiare li vicino oltre ad una pizza media","come da titolo riporto posto irraggiungibile a piedi ed è impossibile parcheggiare li vicino oltre ad una pizza medianon ne vale la pena andare fin li per ritrovarsi letteralmente per strada ad aspettare quel posto che non c'è ! quando , solo per sfogo verso il cassiere , anche un po per gioco , ho fatto presente che abbiamo parcheggiato lontanissimo ... lui sgorbutamente ha detto che dove avevamo parcheggiato di certo c erano altre pizzerie ... infatti ... solo perchè c era una persona anziana non ce ne siamo andati ... puoi fare anche la migliore pizza del mondo ... ma se sei fuori luogo ... resterai sempre un pezzente ... perlomeno non pensano di stare al Vomero ed i prezzi sono contenuti"
"ui_bubble_rating bubble_40","Una piacevole scoperta ","Pizza genuina e con prodotti di qualità. Ottima la specialità della casa, la pizzettata. Prezzi contenuti. La frittura è da migliorare leggermente. "
"ui_bubble_rating bubble_50","Pizza molto buona e personale cortese!","Pizza molto buona e impasto leggero (la diavola veramente ottima)! Personale cortese. Il proprietario si è fermato a scambiare due chiacchiere con noi al tavolo, davvero gentile."
"ui_bubble_rating bubble_40","Pizza molto buona ","Andammo venerdì sera in questa pizzeria un gruppo di amici ...locale molto accogliente e personale gentile...ottimi gli sfizi fritti e pizze molto buone e digeribili....complimenti"
"ui_bubble_rating bubble_50","Ottimo!","Personale cordiale ed educato. Pizzettate squisite, che ci hanno dato la possibilità di assaggiare alcuni degli invitanti gusti di pizza! Se siete al Vomero nei pressi di piazza Vanvitelli, lo consiglio assolutamente!"
"ui_bubble_rating bubble_30","Nella media... per Napoli.","Sono un po' una voce fuori dal coro, ma non ho trovato tutto questa prelibatezza da Sandropizzettata. Spiegamoci meglio... la pizza è buona... e sarebbe una prelibatezza in molte città . Ma a Napoli , la pizza è una tradizione e TUTTI(?) la sanno fare. Ecco... nel mio soggiorno in città, ho assaggiato pizze (per impasto e condimento) migliori di questa. Ecco, il motivo di questa valutazione.Anche in zona Vomero, ne ho assaggiate di migliori."
"ui_bubble_rating bubble_40","Una pizza di qualità ","Il Locale è di piccole dimensioni ma la pizza è di gran qualità, saporita e preparata con ottimi ingredienti. Buoni anche i fritti. Prezzi onesti, in linea con le pizzerie storiche del centro, personale gentile, servizio veloce. L'ho scoperta leggendo le buone recensioni e credo che ci tornerò spesso. "
"ui_bubble_rating bubble_50","Peter Pan","Un tesoro che Capitan Uncino cercava da anni, ma nascosto dagli occhi indiscreti del turismo sfrenato napoletano. Atmosfera casalinga, prezzi popolari, ma qualità eccelsa nonostante sia una zona d'elite del vomero. Sorpreso anche dalla gentilezza dei ragazzi che ci lavorano ( tutt'altro che bambini sperduti )Trovata l'isola che non c'è,Peter Pan"
