"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_20","Correttezza","La pizza non e male,ma...Ordino una pizza DOP, da menu 4.50 Euro, mangio al tavolo. Sul conto trovo 6 euro la pizza più 1,50 Euro il coperto, faccio notare la cosa e mi viene detto che la pizza al tavolo costa di più, ma non e incluso nel coperto? Non aggiungo altro. "
"ui_bubble_rating bubble_30","Pizza discreta. Il resto da rivedere.","Locale piccolino, molto classico, nello stile delle pizzerie napoletane anni 90. Servizio mediamente celere, rapportato al numero di persone presenti in sala. Crocchè purtroppo totalmente freddo nel cuore. Pizza buona, classica forma alla Pellone, qualità degli ingredienti molto buona. Ho delle remore e perplessità personali sulla pasta, che personalmente non mi fa impazzire. Si può e si deve migliorare. Alla prossima."
"ui_bubble_rating bubble_50","Top","Consigliata da amici napoletani, questa pizzeria è davvero buonissima e bellissima in ogni sua parte. Offre pizze e fritti vari. Abbiamo preso pizza e birra. Io ho mangiato una margherita squisita a dir poco. La pizza fuoriusciva dai bordi del piatto. Il servizio veloce. Personale simpatico. Da ritornare !"
"ui_bubble_rating bubble_40","Buona veramente","Abbiamo preso una margherita e una verace con 2 birre il posto offre solo es esclusivamente pizza. Molto buona quasi eccellente, la pasta non risultava molliccia come in altre pizzerie. Personale gentilissimo. Il locale è in stile moderno, la margherita costa circa 4 euro. Ottimo."
"ui_bubble_rating bubble_50","Ottima pizza","Ottima pizza e frittura napoletana exquisita. Servizio veloce, hanno una sala più ampia per chi va con un passeggino, per esempio."
"ui_bubble_rating bubble_50","assolutamente da provare ","alla ricerca della vera pizza napoletana abbiamo accettato di allontanarci un po' da soliti itinerari turistici...a pochi passi dallo stadio questo piccolo locale profuma di Napoli...entri e sei accolto con gentilezza e discrezione...e dopo appena pochi minuti ti accorgi che si tratta di un piccolo gioiello...ogni cosa ( persino i piatti) è curata nel dettaglio...ogni prodotto è ricercato per ottenere il risultato finale... ovvero la pizza perfetta...assolutamente da provare..."
"ui_bubble_rating bubble_40","Verygooood","Ottima pizza, gentilissima la proprietaria, cordiali e disponibili i ragazzi di servizio in sala. Pizza con carciofi e chips di parmigiano cotta alla perfezione e ingredienti di prima scelta. Spettacolari perfino i piatti di vietri in cui viene servita la pizza! Senza dubbio da provare. Bravi! "
"ui_bubble_rating bubble_50","Certezza","Come da titolo è una certezza , pizza soffice e delicata , ottimi gli ingredienti .Fritturina molto delicata e senza fastidioso retrogusto"
"ui_bubble_rating bubble_10","Scortesia assurda","La pizza sarà anche buona, ma la scortesia della persona che risponde al telefono è assurda, puntualità zero, abbiamo chiamato alle 19:30 ci hanno detto consegna ore 21:00, abbiamo chiamato alle 21:15 per chiedere informazioni e ci hanno detto che dovevamo aspettare ancora mezz’ora e la signora in modo antipatico ha anche esordito:”che devi fare la vuoi?”, dopo questo spiacevole episodio non comprerò mai piu in questa pizzeria e la sconsiglio vivamente "
"ui_bubble_rating bubble_50","PIZZA SQUISITA ... LA VERA PIZZA NAPOLETANA","Atmosfera accogliente e familiare. Il locale è piccolo ma la pizza è talmente buona che vale la pena di andarci. Personalmente trovo sia una delle migliori pizze di Napoli.Il rapporto qualità/prezzo poi è davvero eccellente.La consiglio davvero a tutti !!!"
"ui_bubble_rating bubble_50","Pizza TOP","La migliore pizza in assoluto che ho avuto finora modo di mangiare a Napoli, non ci sono altre parole... L ambiente è molto caratteristico, accogliente, e non chiassoso. Se passate per Napoli andateci, ci ritornerete sicuramente."
"ui_bubble_rating bubble_30","Pizza con la scarola, il top","Siamo stati con la famiglia in questa pizzeria, si puo mangiare anche on the road. ,i avevano parlato della pizza con la scarola, e confermo la bonta e il sapore delizioso. Senza nulla togliere alle altre prelibatezze come la pizza fritta e l intramontabile Margherita. Qualche problema x parcheggiare e un po di attesa"
"ui_bubble_rating bubble_50","Una abitudine consolidata","Per lavoro sono andato via da Napoli da circa trent'anni, ma ci ritorno con una certa regolarità per visitare la famiglia d'origine che vive nel quartiere dove si trova questa eccellente pizzeria. Quando inizio il viaggio in autostrada già comincio a sentire il profumo delle pizze di don Ciro e dei suoi figli ed è immancabile una sosta o un'acquisto da asporto. Nella Capitale si trovano alcune discrete imitazioni, ma solo qui ritrovo i sapori della tradizione che hanno accompagnato la mia giovinezza. Oltre alla qualità indiscutibile dei prodotti ed alla eccellenza nella preparazione, resto sempre incantato dalla divisione ed organizzazione del lavoro in questo piccolo locale a conduzione familiare, dove ciascuno ha un ruolo preciso. Qualità altissima, cortesia e rapidità del servizio sono i capisaldi di questa pizzeria, che peraltro effettua anche la consegna a domicilio. Vale la pena di spostarsi da altre zone di Napoli. Andateci!!"
"ui_bubble_rating bubble_40","Pizza eccezionale, buonissima! Secondo la tradizione.","Pizza secondo la tradizione, con grande impasto e quindi grande pizza, per qualità e dimensioni. A vederlo, il calzone o ripieno, può anche spaventare, per quanto è grande, ma poi ti passa quando lo mangi, per quanto è buono! Una pizza basta ed avanza per due. Di tanto in tanto il pizzaiolo sperimenta: pizza alla crema di broccoli da ultimo!!! Lasciamo perdere! Una bella Margherita e... vai sul sicuro. "
"ui_bubble_rating bubble_50","Assolutamente eccezionale","Io e il mio fidanzato, siciliani, abbiamo potuto apprezzare questa pizza buonissima proposta dai ragazzi di Ciro Pellone!Impasto soffice, elastico, ingredienti eccellenti!Buona scelta anche delle birre, proposte in un menù separato.In tre giorni siamo andati a mangiare due volte, di cui l'ultima dopo una partita al San Paolo!Per chi si trova in zona, peccato non andarci.ConsigliatissimoTorneremo sicuramente alla prossima occasione utile"
"ui_bubble_rating bubble_40","Che bontà!!!","Pizza Margherita buonissima, impasto leggero, sottile e digeribile, lievitato come vuole la tradizione; fiordilatte di ottima qualità così come anche il pomodoro. Pizzaiolo gentilissimo, attento alla mia preferenza di cottura e disponibile a sfornare la prima pizza della giornata prima dell'orario ufficiale di apertura della pizzeria. Avendola presa d'asporto, non posso giudicare servizio e conto al tavolo. Come prima volta da Pellone l'impressione è stata buona, per cui la consiglio vivamente!"
"ui_bubble_rating bubble_50","Pizza buonissima ","Personale sempre attento.Proprietari accoglienti Pizza buonissima.Sono stato con la mia famiglia, tutti mi hanno confermato che la pizza era ottima.Io ho mangiando quella con i pomodorini gialli e rossi, consiglio quella ;-)"
"ui_bubble_rating bubble_50","Una ottima pizza","Locale storico.L'impasto leggero e digeribile.La Margherita con bufala è semplicemente sublime per sapore e qualità.Il menù è ricco con tante gustose opzioni.I fritti sono semplicemente invitanti e gustosissimi. La frittatina di pasta sicuramente topLa qualità giustifica i prezzi.Una ottima pizza in occasione di un passaggio da Napoli.Merita"
"ui_bubble_rating bubble_50","eccellente","Abbiamo ordinato una Margherita con pomodoro sammarzano e mozzarella di bufala e la pizza fritta! abbiamo provato i veri sapori di Napoli. tutto buonissimo! e il personale molto accogliente! ci ritorneremo!"
"ui_bubble_rating bubble_50","Semplicemente Andateci!!! ","Pizza davvero squisita, la morbidezza delle pizze napoletane, sembra quasi di mangiare una nuvola! Vi consiglio la pizza San Marzano Dop con bufala, e la loro specialità la pizza fritta, la fanno in diversi gusti... Bravi! "
"ui_bubble_rating bubble_50","Pizza altop","Pochissime , parole per descrivere la pizza di pellone , che nonostante la concorrenza delle pizze gourmet, di gran moda in qs momento, la sua bufala dop e la sua pizza fritta sono sempre insuperabili!!!"
"ui_bubble_rating bubble_50","Pizza eccellente a Fuorigrotta.","In questa pizzeria piccola e accogliente a Fuorigrotta, ho degustato una pizza eccellente, per gusto e sapidità.Un impasto ben lievitato e ingredienti di altissima qualità.La pizza merita il riconoscimento di patrimonio dell’umanità.Ciro Pellone un vero maestro.Servizio attento e cordiale.Un peccato non farvi visita."
"ui_bubble_rating bubble_50","Pizzeria eccezionale zona Fuorigrotta.","Ottima pizzeria fuori dai circuiti turistici di Napoli. Oltre le pizze della tradizione, tante varietà tutte contraddistinte dall'utilizzo di prodotti ricercati di prima qualità del territorio campano. Personale gentilissimo e disponibile. Ottima friggitoria e dolci. Prezzo giusto."
"ui_bubble_rating bubble_50","Pizza a cena","Tutto ottimo dall inizio alla fine gentili e disponibili da tornarci sicuramente ottimo rapporto qualità prezzo"
"ui_bubble_rating bubble_50","A perfezione benfatta","Siamo stati in questa pizzeria consigliata da un amico e ci siamo trovati benissimo .Un locale tranquillo ben curato ma soprattutto la pizza ere divina proprio come una vera pizza Napoletana ."
"ui_bubble_rating bubble_40","Ottima pizza","Ristorante storico, tipico pizza buonissima da provare assolutamente...Consiglio la margherita, ah pizze grandissimi e sottili. "
"ui_bubble_rating bubble_40","Pizza meravigliosa!","Locale storico di Napoli, ottimi ingredienti e pizza squisitamente enorme. Frittura davvero molto buona e la pizza fritta pur essendo grandissima è leggera ed asciutta, non disgusta. Se siete a Napoli non potete non provarla!! Prezzi superiori alla media, ma merita."
"ui_bubble_rating bubble_50","Ottima","Pizze enormi ma ottime e ben lievitate, la margherita era buonissima il servizio é veloce e i bagni puliti. La consiglio a tutti "
