"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Pizza gaetano.","Le foto non mentono. Finalmente una pizza non bruciata. Ambiente piccolo e ' di una volta'. Ho mangiato assieme ai pizzaioli, praticamente. Prezzo medio. Peccato x il bicchiere di plastica. Pizza e birra media euro 12:00."
"ui_bubble_rating bubble_50","Tra le migliori pizze di Napoli","Una tradizionale pizzeria napoletana, con locale tranquillo e accogliente in cui mangiare una pizza buonissima, sicuramente tra le migliori pizze di Napoli. Il personale è molto cortese e Gaetano è una persona davvero squisita."
"ui_bubble_rating bubble_40","Vera pizza napoletana","Pranzo con mio figlio. Locale piccolo ma accogliente. Pizza tradizionale molto buona. Corretto il rapporto qualitàà / prezzo."
"ui_bubble_rating bubble_50","Anche alle 15.30 <U+0001F618>","Finita la riunione siamo andati alla ricerca di una pizzeria e fortunatamente abbiamo trovato Da Gaetano.. mix di gentilezza e bontà "
"ui_bubble_rating bubble_40","La pizzeria che vorrei avere a Milano ","Grande Gaetano con la capacità di adeguarsi a tutte le richieste dei clienti. Io per esempio volevo una pizza piccola alla diavola ed eccomi accontentata anche X il prezzo. La pizza alla scarola che ha preso il mio comporta una delizia. Gaetano con la tua simpatia e capacità di accoglienza fai la differenza! Il locale è piccolo pochi posti sotto e sopra ma accontenta tutti "
"ui_bubble_rating bubble_50","Una pizza dal sapore di altri tempi!","Loro non si sono allineati al gusto turistico, producono una pizza Verace, dal sapore autentico! Lievitazione perfetta e ingredienti curati....davvero buona!!! Atmosfera informale e gradevole! Questa è una vera pizza...Non ha bisogno di file fuori la porta per dimostrare che è buona ...del resto sta qui da 50 anni!!! Assolutamente da provare!!! "
"ui_bubble_rating bubble_40","Pizza verace","Ottima pizza, locale non all'altezza, è più una pizzeria d'asporto, in ogni caso merita una sosta anche veloce."
"ui_bubble_rating bubble_40","Un buon ricordo","Recensisco questa pizzeria a distanza di anni, sperando di non fare brutta figura, nel caso in cui le cose fossero cambiate.Nei miei ricordi c'è una pizza qualitativamente buona e saporita.La pizzeria è situata vicino lello delle granite ed è piuttosto semplice trovare parcheggio. L'ambiente interno è piuttosto scarno ma comunque ci troviamo sempre dinanzi ad una pizzeria storica, quindi è accettabile che il locale non sia questo granché. Non eccessivamente affollata come pizzeria.Prezzi medio/bassi.Prossimamente ci ritornerò, sarà allora che scriverò un'altra recensione. Metterò un voto più alto? O calerà drasticamente? A presto! :)"
"ui_bubble_rating bubble_40","Pizza ottima","Come da titolo una pizza ottima, tipica della tradizione napoletana. Locale piccolo ma accogliente, situato esattamente di fronte a Porta Capuana. Personale qualificato."
"ui_bubble_rating bubble_50","La vera Napoli ","Se volete mangiare la vera pizza Napoletana andate qui!Ingredienti di qualità e persone deliziose con cui scambiare due parole. Bravi"
"ui_bubble_rating bubble_50","Pizza Doc","Volevo proprio provare la vera pizza Napoletana: quella verace, non quella per turisti. L’ho trovata. Ottime materie prime , pummarola Doc saporitissima, pochi fronzoli e tanta sostanza. Complimenti a chi porta avanti questa tradizione dal 1964.. Da consigliare ...."
"ui_bubble_rating bubble_40","Classica pizza napoletana a porta Capuana ","Nella Napoli popolare di porta Capuana un locale con pochi tavoli e una sala al piano di sopra. Banco e forno a legna a vista. Qui si fanno esclusivamente pizze. Non troviamo la pizza a rota 'e carretta, che fuoriesce dal piatto, morbida e un po' gommosa, né il tipo a canotto, sottilissima, col cornicione pronunciato e iperlievitato, cara ai gourmet. Da Gaetano troviamo la classica pizza napoletana, di formato regolare, ben cotta, non sottilissima, leggermente croccante. La Margherita che ho mangiato era buona, ben condita e saporita. Mozzarella a tocchetti, pomodoro di qualità e olio aggiunto a crudo all'uscita dal forno. Servizio essenziale, tovaglietta e bicchiere di carta su tavolo dal ripiano di marmo. Ambiente informale e personale sorridente. Prezzi ottimi. Pizza e birra a soli 6 (sei) euro."
"ui_bubble_rating bubble_40","Pizza ottima ","Una delle migliori pizze mangiate a Napoli, gustosa e leggera. Migliorabile invece il servizio (un po' spartano). Da provare!"
"ui_bubble_rating bubble_50","Pizza favolosa","Cercando una buona pizzeria a Napoli abbiamo trovato su Internet Pizza da Gaetano, abbiamo deciso di provarla io e il mio ragazzo e siamo rimasti veramente entusiasti. Abbiamo preso due pizze Margherita Doc con la mozzarella di bufala, l'impasto era soffice , leggero e salato al punto giusto. La pizzeria è molto alla buona con tovagliette di carta sui tavoli, ma i locali semplici, a mio avviso, rimango sempre i migliori e questa pizzeria conferma di sicuro la regola. Da provare."
"ui_bubble_rating bubble_50","Ultra buonissima ","Siamo andati stasera dopo aver letto le precedenti recensioni. Abbiamo preso a casareccia e a pizzicarella. Buonissime. Ricotta freschissima, mozzarella superlativa. Insomma un tripudio di sapori che non provavamo da tempo. Ottima rapporto qualità prezzo perché anche economiche. La consiglio calorosamente "
"ui_bubble_rating bubble_20","PIZZA OK, SERVIZIO UN PO MENO","Siamo andati in questa pizzeria seguendo le buone recensioni, ma ci aspettavamo di più. Posizione buona, vicino Porta Capuana, entriamo nel locale verso le 21, dopo aver aspettaato mezz'ora perchè il locale (su 2 piani, ma molto piccolo) era pieno. Eravamo un gruppo di 4 persone, la cameriera ci fa accomodare e, nemmeno il tempo di aver consultato il menu, ci chiede cosa avessimo scelto e ci vediamo costretti a chiederle di concederci qualche minuto. Ritorna scocciata, ordiniamo. Pizza buona, ma non eccezionale. In 3 avevano finito di mangiare, uno no, ma la cameriera sbarazza comunque a tutti e 4, costringendo a mangiare senza piatto! Dopo di ciò, chiede se vogliamo altro, noi diciamo no, allora ubito ci porta lo scontrino dicendo che stavano chiudendo (erano le 22 di sabato sera)."
"ui_bubble_rating bubble_50","Ottima pizza napoletana","Informale, ottimo per una pizza veloce e prezzo assolutamente congruo. 2 pizze del giorno, 1 birra grande e acqua 18€. La pizza ottima, ben lievitata e croccante al punto giusto. Pizze del giorno: salsiccia e friarelli e l’altra era con scarola olive e acciughe ! Ottime entrambe. Zona stazione, davvero una soluzione salva cena con i fiocchi! "
"ui_bubble_rating bubble_40","Buona pizza","Buona la pizza ho preso una margherita. Il Servizio non troppo veloce..prezzi nella media comunque si può consigliare"
"ui_bubble_rating bubble_30","Calzoni fritti e pizza","Pizza fritta ottima...e felicemente sorpresa perché nel portare in omaggio la loro pizza fritta hanno avuto l'accortezza di farne senza latte x me poiché allergica...un gesto davvero carino ancora grazie"
"ui_bubble_rating bubble_50","Semplice, piacevole, gustosa ed economica serata","Eravamo in giro per Napoli con i bimbi e cercavamo una pizzeria. Ci siamo imbattuti nella pizzeria Da Gaetano. Siamo stati accolti subito con un sorriso. Servizio molto cordiale, aria familiare, pizza molto buona. Il tutto ad un prezzo veramente economico. Ottima per i turisti ed una pausa veloce."
