"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Piacevole scoperta","Panini grandi e soffici. Buono sia il wurstel che l'hamburger. Personale gentile e disponibile, metterei qualche birra alla spina in piu'. Cmq tutto buono. Ritorneremo"
"ui_bubble_rating bubble_50","Ottima esperienza","Sono stato ieri sera in questo locale che non conoscevo. Eravamo in 8 con 2 coupon, ambiente confortevole, cibo ottimo con ampia scelta nonostante il coupon, personale disponiile e cortese. Giudizio complessivo più che positivo, certamente vale la pena ritornare."
"ui_bubble_rating bubble_50","COUPON TOP TOP TOP","HO conosciuto questo locale molto nuovo e moderno ben arredato e ben gestisto. COUPON rispettato a pieno e tutto molto buono complimenti a tutti"
"ui_bubble_rating bubble_50","Ottimo tutto","Ottimo tutto,accogliente e premuroso su ogni richiesta,servizio ottimo e ben condotto.Cibo ottimo,fresco e di qualità.Da tornare sicuramente!!!"
"ui_bubble_rating bubble_50","Una scoperta per il palato e per il cuore","Il Revenge Pub ci incuriosiva da tempo perché vicino casa. Dopo aver visto su internet le foto dei loro panini ci siamo ingolositi ancora di più ed abbiamo prenotato. Il risultato? Da 10 e lode. Contorni di patate FRESCHE abbondanti e condite con ingredienti di prima qualità (salsicce e provola sono consigliatissimi!), panini tondi morbidi saporiti (non i soliti imbustati) e hamburger deliziosi, dolci fatti in casa... Ma ciò che ha dato più gusto alla serata é stata la squisita gentilezza di Luisa e Lello. Ci hanno accolti con una educazione e con una passione per il loro lavoro che ci hanno conquistati!"
"ui_bubble_rating bubble_50","Panino squisito","Sono stata in questo locale il giorno 5 dicembre e posso solo dire che ho mangiato un panino ottimo e un tiramisù squisito! Il personale è gentile e disponibile e il sevizio è veloce tornerò sicuramente molto presto! "
"ui_bubble_rating bubble_50","Top! ","Prima di tutto qualità cosa difficile trovare oggi giorno nei pub! Accompagnata dalla simpatia del personale!!! Complimenti e alla prossima."
"ui_bubble_rating bubble_50","Piacevole scoperta","Alla ricerca di un posticino dove mangiare un buon hamburger zona Vomero,decidiamo di provare questo pub viste le buone recensioni...che dire...non so come alcuni abbiano potuto dare una stella per la qualità della carne...la carne è eccellente,il locale moderno e la disponibilità dei proprietari massima...i prezzi piu che accessissibili...lo consiglio vivamente...ci torneremo sicuramente"
"ui_bubble_rating bubble_50","Uno dei migliori Pub di Napoli","Sono stato con la mia fidanzata nell'infrasettimana, comincio parlando della location molto bella e colorata. Abbiamo preso porzione di salsicce e patatine con provola, ottima davvero. Il panino scelto sia da me che dalla mia fidanzata era salsiccia provola e patatine, è un normale panino rotondo, non eccessivamente grande ma molto, molto buono. Per concludere abbiamo preso un dolce della casa fatto dalla gentilissima signora che ci ha servito, è stata probabilmente la pan di stelle più buona che abbia mai provato, anche arricchita di palline al cioccolato. L'esperienza è stata positivissima."
"ui_bubble_rating bubble_50","Cena ottima","Il cibo era di ottima qualità.il personale è stato simpaticissimo e molto accogliente.la location è molto bella.ci ritorneremo sicuramente con piacere"
"ui_bubble_rating bubble_50","Il miglior panino di Napoli <U+2B50>","Revenge pub in via Caravaggio NapoliIl miglior panino di Napoli Personale competente, cortesia e professionalità. Consiglio a tutti di provare Revenge Pub and Grill Ottimi paniniPanini consigliati, crostone cardoneE tante specialità dello chef Lello.<U+2B50><U+2B50><U+2B50><U+2B50><U+2B50><U+2B50><U+2B50><U+2B50><U+2B50>"
"ui_bubble_rating bubble_50","Tutto ottimo","Panini davvero ottimi, prezzi abbordabili, personale gentile e accogliente e molto divertente, i dolci buonissimi, consigliatissimo!!"
"ui_bubble_rating bubble_50","Tutto ottimo","Personale molto cordiale, un servizio eccellente e cibo di alta qualità. Prezzi modici. E soprattutto grande professionalità e simpatia"
"ui_bubble_rating bubble_50","Tutto buonissimo","Locale molto carino, pulito e si mangia benissimo i panini sono buonissimi hanno dell'ottima carne e la gentilezza dei proprietari ti fanno sentire come a casa. Sicuramente è da ritornarci."
"ui_bubble_rating bubble_50","Cena con famiglia","Ottimo panino, carne buonissima personale educato e attento.I proprietari persone eccezionali.Torneremo sicuramente con piacere"
"ui_bubble_rating bubble_20","Scarsissima qualità ","Abbiamo preso un coupon ed abbiamo pagato poco, purtroppo vale ancora meno. La qualità della carne è pessima, mi chiedo chi ha recensito positivamente cosa mangi di solito. L’ unica nota positiva che posso fare è che sono stati veloci. "
"ui_bubble_rating bubble_50","Cordialità e buona cucina ","Abbiamo ordinato 4 tagliate Black angus Argentina e 2 panini grandi con hamburger. La carne era di una morbidezza unica, di un sapore non comune. Come dolce abbiamo scelto una pan di stelle handmade molto gustosa, per nn parlare Dell amaro consigliato dalla cameriera. Insomma QUALITÀ E CORTESIA lo consiglio. "
"ui_bubble_rating bubble_30","Nella media.","Siamo stati di recente in questo pub situato alla fine di Via Caravaggio, quasi a ridosso delle diramazioni per Posillipo o Vomero. Seppur non sia facile trovare parcheggio, noi ci riusciamo a ridosso della strada. In ogni caso accanto al pub troviamo un garage a pagamento. Le rifiniture sembrano essere abbastanza recenti, la cucina è a vista con un vetro a separarla dalla spaziosa sala. Abbiamo conosciuto questo locale tramite un noto sito di coupon, prenotando una promozione da 15 euro a coppia che include antipasto, due panini ed un dolce. Per cominciare veniamo serviti con patatine fresche accompagnate da sottiletta e wurstel. Seguono due panini con hamburger di scottona, patate e provola. Terminiamo con una fetta di Pan di Stelle. Complessivamente le pietanze si presentano discrete, nella media. Idem dicasi per l'esperienza in generale."
"ui_bubble_rating bubble_50","Bel posto","Perfetto, si è mangiato bene e la cortesia di Luisa è stata il massimo.Non c’è nulla da dire. Siamo stati benissimo complimenti pub elegante è bello. Lo consiglio vivamente. "
"ui_bubble_rating bubble_40","Buona cena","Locale molto carino, sono stati gentili e accoglienti infatti la cameriera (o titolare credo) ci ha saputo consigliare sia dei bocconcini di pollo prima dei panini sia il tiramisu che fa lei. Per quanto riguarda il panino molto saporito, peccato per la cottura dell'hamburger ma tutto sommato buono! Prezzi nella norma, da consigliare"
"ui_bubble_rating bubble_50","Ottimo","Locale molto carino, Cibo eccezionale, prodotti ottimi.Super consigliato. Ottimo rapporto qualità prezzo."
"ui_bubble_rating bubble_50","Bella esperienza ","Locale conosciuto grazie ad un coupon si è rivelato una bella sorpresa.Location carina e al contrario di molti altri posti piuttosto spaziosa.Accoglienza calorosa da parte della (credo) titolare che si è mostrata premurosa durante tutta la serata quindi non ho riscontrato reticenza nei nostri confronti in quanto clienti coupon.La qualità e la quantità del cibo offerto è stato più che sufficiente quindi ci sentiamo invogliati a ritornare.Nel complesso davvero una bella esperienza. "
"ui_bubble_rating bubble_50","voglia di carne","L'abbiamo scoperto perché volendo mangiare carne abbiamo seguito le ottime recensioni che ha questo pub. Le confermo appieno, abbiamo mangiato benissimo, grazie ai consigli di Luisa abbiamo gustato una eccellente Entrecote, molto tenera, e delle ottime bruschette, fatte in 4 modi diversi. Anche la cheesecake era buonissima, i prezzi sono onestissimi, ci torneremo quanto prima. Lo consiglio, è da provare!"
"ui_bubble_rating bubble_30","Piacevole serata tranquilla","Ordinato un club sandwich, una tagliata di black Angus argentino e una cheesecake: tutto buono, ma senza quella scintilla che ti fa ricordare la serata. Gentilissimo il personale sia in sala che in cucina, quest'ultimo ci ha chiesto al tavolo se avessimo gradito la cena. 2 piatti, 1 dolce, 1 birra e 1 acqua 36,50 euro."
"ui_bubble_rating bubble_50","Pub eccellente","Sono andata ieri sera con il mio fidanzato e abbiamo mangiato benissimo, si sentiva che era tutto molto fresco e il pan di stelle fatto da loro era squisito. Ci ritorneremo"
"ui_bubble_rating bubble_50","Qualità & Entusiasmo!! ","È stata davvero una bella scoperta perché trovare locali dove la qualità è ottima, i prezzi giusti e il personale volenteroso & entusiasta ..diventano rari! Luisa è stata gentilissima e il servizio rapido; tutto è arrivato caldo, in tempo nessuno ha dovuto attendere! Il locale in oltre è ben ristrutturato! La cucina a vista è un punto in più a favore ma ciò che più da valore al locale sono i prodotti di ottima qualità! La scelta dal menu è giusta e per chiudere in bellezza partecipando al servizio the Fork abbiamo ottenuto anche il 50% di sconto!! Il locale è molto spazioso e gode anche di un secondo pianoWi-Fi disponibile!Davvero molto soddisfatta e penso ci rivedremo presto!!"
