"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Ottimo","Quando sei per strada e leggi l'elenco dei ristoranti più vicino e un passante ripete il nome di uno è dice andate lì ! si mangia benissimo!...Tu ci vai!!!E siamo stati benissimo Locale storico e massima disponibilita gentilezza e simpatia dei proprietari!!Cibo ottimo è prezzo più che corretto!"
"ui_bubble_rating bubble_50","Ottimo","Servizio di qualità, atmosfera molto accogliente e qualità del cibo davvero ma davvero eccellente! E' e resta sempre una garanzia"
"ui_bubble_rating bubble_50","A casa di amici...miei..","Il posto migliore per sentirsi a casa.Davvero puoi rispondere alla domanda  dove andiamo?  da amici miei.Accoglienza calorosa ma sempre molto professionale. Dolci fatti in casa.Il top è la cucina ricca di sapori genuini e casalinghi. Ottima la genovese e la carne alla griglia mast di questo piccolo ristorante sito nel cuore di Napoli.Consigliato sia per andarci con gli amici, che con le famiglie o la morosa.<U+2764><U+FE0F>"
"ui_bubble_rating bubble_40","Sapori ritrovati","Accoglienza ottima nonostante il locale affollato. Servizio professionale ed attento. Il menù propone un’ottima rivisitazione della cucina napoletana con eccellenti antipasti, primi abbondanti nelle porzioni e dolci della tradizione fatti in casa. Per assaggiare anche i secondi dovremo tornare perché eravamo già sazi. Buona anche la carta dei vini. Che dire, un posto ideale per ritrovare una cucina tradizionale di ottima fattura in un ambiente piacevole ed accogliente con un eccellente rapporto qualità/prezzo."
"ui_bubble_rating bubble_30","Cibo buono, ma porzioni un Po' ridotte","L'ultima sera a Napoli io e altri 5 amici abbiamo cenato in questo ristorante, molto carino l'ambiente e personale molto gentile. Il cibo era buono, unica pecca, purtroppo alcuni piatti avevano delle porzioni un po' piccole: 2 amici hanno preso le scaloppine e c'era solo una fetta di carne, 1 ha preso le polpette del giorno (buonissime) ma purtroppo erano solo due.. gli altri piatti (primi, tagliate e contorni) erano un po' più abbondanti. In generale abbiamo mangiato bene. Conto un po' più alto della media degli altri ristoranti che abbiamo provato. Comunque da provare. "
"ui_bubble_rating bubble_40","Consiglio questo ristorante","Siamo arrivati tardi per pranzo ma nonostante questo siamo stati accolti con disponibilità e gentilezza. I piatti erano buoni come il vino. Buon rapporto qualità prezzo."
"ui_bubble_rating bubble_50","Cucina ottima e location molto accogliente ","Mangio spesso al ristorante amici miei, il cibo é sempre delizioso la location ed il personale sono estremamente accoglienti.Lo consiglio vivamente. "
"ui_bubble_rating bubble_50","La vera cucina napoletana","Se volete assaporare la vera cucina napoletana non potete rinunciare ai piatti proposti da questo storico ristorante. Cucina della tradizione in un ambiente accogliente e curato. Splendida accoglienza e ottimo rapporto qualità prezzo. Piatto consigliato: pasta alla genovese."
"ui_bubble_rating bubble_40","Ottimo pranzo ","Siamo capitati qui per caso io e una collega il locale molto accogliente servizio attento la cucina ottima piatti della tradizione preparati al momento ...unico neo il conto a mio parere un po' eccessivo"
