"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Soldi spesi bene ","Ottimo ristorante cinese il signore che cucina e molto bravo la ragazza è la signora sono molto gentili e un po’ timidi simpatici quando ci vado mi sembra di ritornare a casa mia il cibo è molto buono e consiglio ogni genere di pietanza sono stato in tanti altri posti ma questo è veramente buono ci vengo molto spesso e chiedo sempre tanti menù da poter dare ai miei amici consiglio a tutti i mangiare qui "
"ui_bubble_rating bubble_40","take away buono e veloce","personale gentile tempi rapidi di attesa e buona qualità con prezzi bassi consigliato da asporto. buoni i gamberi e gli involtini primavera. eppoi i biscotti della fortuna ci azzeccano sempre"
"ui_bubble_rating bubble_40","Le apparenze ingannano! molto buono","Esternamente devo ammettere che il locale non ispira per nulla.. parecchio vecchio nell'arredo anche di poco gusto alcune cose però a parte questo tutto quello che ho sempre preso da loro è davvero ottimo; non troppo unto e ben cotto.velocissimi e i prezzi ovviamente sono bassissimi!hanno anche una varia scelta.io ci passo spesso per prendere cose da asporto!"
"ui_bubble_rating bubble_40","Mi sono ricreduta","La frase migliore da attribuire alla mia visita è “ non giudicare un libro dalla copertina”. Si è stato proprio così. Il locale non si presenta fantastico nell’ arredamento o esternamente ma appena ho iniziato a mangiare è stato tutto ottimo. In passato avevo mangiato in un ristorante cinese ma subito andai via per la scadenza del cibo, e quindi non ci voelvo mai più tornare. Mi sono ricreduta, sotto consiglio di una mia amica sono andata qui ed è stato tutto ottimo. I prezzi bassissimi ma la qualità è buona. Ci riandrò sicuramente."
"ui_bubble_rating bubble_40","Scotto","Sono le prime volte che mangio cinese!! (Per vicinanza lavoro)Proprietari simpatici è molto disponibili nel spiegare cosa scegliere!! Tutto cotto al momento con verdure fresche! Il locale e piccolo ma i tempi di attesa sono minimi Prezzi economici "
"ui_bubble_rating bubble_50","Il Cinese, quello vero!","Ho provato tanti posti che cucinavano cinese ma sicuramente questo è stato il miglior posto in assoluto. Il rapporto qualità/prezzo è impressionante infatti con una spesa di circa 10€ potete assaporare un sacco di piatti dal gusto uno migliore dell'altro.Abbiamo provato le nuvolette di drago, gli involtini primavera, i ravioli, i primi (di cui mi ha colpito in modo particolare lo spaghetto di riso con gamberi e verdure) e i secondi (immancabile pollo alle mandorle).Che dire... provatelo e poi mi direte. Non potrete farne a meno!!!"
"ui_bubble_rating bubble_50","chinese food","ci passi davanti e certo non ti invoglia ad entrare abituati come siamo a vedere ristorante giapponesi e cinesi stile feng shui con acquario a vista e tanta scenografia, pero' se superi il preconcetto e vuoi solo mangiare bene devo dire che trovo questa piccolo rosticceria fenomenale per qualita' e prezzo, fritti molto asciutti senza sentore di olio stantio, ravioli al vapore perfetti (con preferenza verso il ripieno coi gamberi), spaghetti di soia classici senza fronzoli e senza viscidume vario, ottimo il pollo ai funghi e bambu' in po' meno il maiale fritto per la qualita' dei pezzi. Comoda la possibilita' di asporto confezionato"
"ui_bubble_rating bubble_50","Se da anni è sempre lì è perché si mangia bene e si paga il giusto","Si anni che frequentiamo questo piccolo ristorantino cinese. A volte prendiamo da asporto altre volte pranziamo direttamente li quando c'è posto essendo molto piccolo 4/5 tavoli. Tutto buono e cucinato al momento. Prezzo sui 10 euro a testa mangiando tanto. "
"ui_bubble_rating bubble_50","Adoro","Io adoro questo posto familiare, il cibo è ottimo e grandi porzioni. Credo che sia il miglior cibo cinese provato a Napoli "
"ui_bubble_rating bubble_50","Tutto buono","Il punto di riferimento per ciò che riguarda la cucina cinese,gentilissimived economici...consigliatissimo "
"ui_bubble_rating bubble_40","Peccato non facciano consegne a domicilio","Ormai parte integrante della vita del quartiere, l'unica pecca è che non fanno consegne a domicilio. Per il resto sono ideali per una cena cinese a casa o durante la pausa di lavoro. Cibo dibgeribile e cucina a vista. Gentili e disponibili."
"ui_bubble_rating bubble_40","Economico e buono","Sono stata per cena in questa rosticceria, l'accoglienza è stata molto cortese e il cibo ben preparato, ci sono soltanto due tavolini perchè per quel che ho capito fa molto take away (io non sono del posto e ho cenato li) rapidi nel servizio se pur avevano molte ordinazioni (d'asporto).Per gusto personale ho apprezzato molto gli spaghetti di riso con verdure e il dolce al cocco non fritto, un po meno i ravioli al vapore e i wanton ma nel complesso consigliato."
"ui_bubble_rating bubble_50","Gentili, economici e molto buono... ","Localino piccolo ed accogliente, loro molto gentili e cortesi anche nel consigliarti. Il cibo veramente uno dei migliori che ho mangiato di Napoli. Lo consiglio vivamente. E se si ha voglia di cinese a casa offrono servizio take away. Ritornerò senza dubbio. "
"ui_bubble_rating bubble_40","Cortese,economico,buono","Ero in cerca di un Cinese a Napoli che mi ispirasse fiducia. Dopo la prima volta ci ritorno almeno una volta a settimana. Abitando lontano io mangio lì ma funziona alla grande anche da take away "
"ui_bubble_rating bubble_50","Ottimo","Provato per la prima volta questa sera a cena. Ottima sia la cucina che il prezzo, consiglio i ravioli alla piastra."
"ui_bubble_rating bubble_50","Un punto di riferimento ","Sicuramente il miglior take away cinese della zona (se non della città...), cortesia, velocità, scelta e un rapporto qualità-prezzo imbattibile. Dispone anche di un paio di tavoli, bravi!"
"ui_bubble_rating bubble_50","Complimenti Merita una sosta per pranzo o cena","Merita veramente un bel complimento questa famiglia che si dedica alla cucina di tante specialita’ cinesi. Ritorniamo ogni tanto ed e’ sempre un piacere assaggiare le specialita’ cinesi preparate al momento. Ci sono pochi tavoli per chi come noi si ferma nel locale. "
"ui_bubble_rating bubble_50","Ottimo cinese","Il miglior cinese di Napoli. Cibo ottimo e personale gentilissimo! Dentro è piccolino infatti il cibo lo porto sempre a casa, ma volendo c’è anche la possibilità di sedersi. "
"ui_bubble_rating bubble_40","Qui, conta la sostanza!","Il ristorantino si presenta, esteticamente, in modo molto spartano: piccolo e arredato in modo essenziale/casalingo, MA la qualità del cibo è ottima (la cucina è visibile dalla sala) e ci sono tutti i tipici piatti cinesi. Non bisogna fermarsi all'apparenza, tale rosticceria merita!"
"ui_bubble_rating bubble_40","dalla Cina con furore!","venerdì sera, ci siamo incontrati tra amici e amiche, chiacchierando ci è venuta fame e voglia di cibo cinese... questa rosticceria ha tutti i pregi dei ristoranti cinesi (devo dire tra le migliori provate in città) si presenta spartano è più like a take away... i pochi tavoli sono puliti, il personale e molto gentile da tornarci sicuramente... prezzo ottimo."
"ui_bubble_rating bubble_50","No vabbè... fantastico","Location non consigliata per chi vuole atmosfera ma la cucina è estremamente ottima le due ragazze e le signora che servono ai tavoli sono dolcissime e attentissime.... il papà all’interno è un po’ nervoso consigliatissimo"
"ui_bubble_rating bubble_40","Top! Devo ritornare.","Sono passata di lì davvero per caso. Non avevo cenato quella sera e prima di raggiungere la nostra meta cercavo un posto un cui mangiare. D'improvviso leggo questa insegna rosticceria cinese e mi sono incuriosita... Entro subito e noto che il posto è davvero piccolo ma mi ha dato un senso di intimità più che di piccolo con accezione negativa e mi ha fatto un bell effetto. Ero curiosissima di provare la loro cucina ed ho voluto subito provare un antipasto, un primo ed un secondo. Poiché il mio compagno aveva già cenato abbiamo optato per l' asporto piuttosto che consumare all'interno. Ho assaggiato come antipasto i ravioli alla piastra devo dire che tutte le ordinazioni erano ancora bollenti quando le abbiamo aperte (se abitassi qui mi farei l'abbonamento settimanale per il cibo d'asporto!!!), mi pare ne escano 4 a porzione di ravioli e devo dire molto buoni; successivamente ho assaggiato il pollo in salsa agrodolce ed il pollo era tenerissimo ed infine spaghetti con curry e gamberi, buonissimi. Le porzioni sono anche belle grandi ed il prezzo è modico. Lo staff gentilissimo e parlano perfettamente italiano fra l'altro. Mi ha davvero colpito e credo sarà il mio nuovo cinese number 1 ! Consigliatissimo. Non ho messo 5 perché ci sono stata una sola volta ma voglio assolutamente ritornarci per provare molte altre pietanze!"
"ui_bubble_rating bubble_50","Ottimo nel prezzo e nella qualità","Ottimo nel prezzo e nella qualità, possibilità anche di asporto.Puoi uscire con la pancia piena, involtini primavere freschissimi, ravioli al vapore top, toast di gambero molto buoni. Squisiti gli spaghetti di soia con gamberi e il pollo con gamberi e bambù , prezzi contenuti e torni a casa pieno. "
"ui_bubble_rating bubble_40","Consigliato come take away","Storico ristorante cinese in piazza Bagnoli da anni. Nel corso del tempo si sono sempre confermati seri e disponibili. Il locale non è particolarmente ameno, pe cui suggerisco di ordinare e consumare a casa"
"ui_bubble_rating bubble_50","Qualità prezzo ottimi","Ci vado praticamente da sempre ... proprietari sempre cordiali ... prezzi ottimi ... certo non è un posto super cool ma se si va in Cina in una  rosticceria  si trova anche di peggio "
"ui_bubble_rating bubble_30","Mediocre ","Mediocre niente di che. Le solite sfizioserie orientali. Personale mediocre. Ambiente e pulizia buoni. Sfuzioso direi"
"ui_bubble_rating bubble_40","Ottimi piatti, simpatia e cortesia","Vado in questo ristorantino da quando ha aperto e attualmente è l'unico ristorante cinese di cui mi fidi! La cucina è genuina, semplice e saporita. E' gestito da una famiglia, tutti cortesi e disponibili. E' un take away, ma ha anche un tavolo grande e qualche tavolino (proprio come in molti localini in Cina) dove si ci si può sedere a mangiare."
"ui_bubble_rating bubble_40","una garanzia","L'ho provato la prima volta, facciamo una decina d'anni fa, per sperimentare la cucina cinese... ora posso dire che da allora ci sono andato tantissime volte e continuerò ad andarci (soprattutto per l'asporto). ogni volta è il mio menù prevede: involtini primavera e ravioli tutti e tre i tipi (al vapore con carne o gamberetti e alla griglia) sono ottimi e ultimamente adoro quelli alla griglia; come primo consiglio gli spaghetti saltati con verdura o con curry e gamberi ma anche gli gnocchi di riso con verdure, come secondo pollo piccante o pollo in salsa agrodolce e poi come non comprare un biscotto della fortuna :). I titolari sono due persone fantastiche"
"ui_bubble_rating bubble_50","Adoro!!","Sono un'appassionata della cucina cinese, spesso mi sono trovata in luoghi molto belli ma la qualità del cibo pessima. Non lasciarsi ingannare dalle apparenze... Cucina ottima e TIPICA cinese. Adoro il cibo qui!!!!"
"ui_bubble_rating bubble_50","La migliore cucina cinese di napoli","Sono tantissimi anni che frequento questo posticino! Cucina eccellente, cordialità e prezzi molto abbordabili. È una rosticceria ovvero cucina tutto da asporto, però se siete fortunati e non avete grosse pretese riuscite a trovare un tavolino anche per un gruppetto di 7/8 persone. Consigliatissimo"
"ui_bubble_rating bubble_40","Tra i migliori cinesi di Napoli","Ho mangiato da diversi cinesi qui a Napoli, ma nessuno mi ha convinto come questo qui. Tutto era assolutamente squisito, soprattutto i ravioli. Abbiamo mangiato un po' di tutto, assaporando varie pietanze, e siamo rimasti estremamente soddisfatti di tutto. Nonostante questo locale si occupi principalmente di take away, è possibile mangiare anche all'interno, seppur i tavoli siano un po' pochi e il servizio un po' spartano. Ma il cibo è il massimo, e il rapporto qualità-prezzo è davvero eccellente. Consigliato."
"ui_bubble_rating bubble_40","Ottimo take way","Questo locale è una rosticceria cinese take away, con la possibilità di consumare quanto preso al interno del locale. Sconsigliò però questa soluzione perché, nonostante siano presenti più tavoli (uno solo superiore i 2 posti) , il locale è molto spartano e gli odori di frittura sono molto forti. La soluzione take away invece è ottima. Il cibo buono ed i costi bassi, inoltre è possibile vedere i cuochi cucinare tramite una piccola finestra alle spalle del bancone. "
"ui_bubble_rating bubble_50","Il miglior cinese di Napoli","Ne ho provati tanti di ristoranti cinesi... ma questo angolino, che a prima vista non sembra davvero niente di speciale, mi ha fatto mangiare i migliori involtini primavera della mia vita. Si sente la qualità degli ingredienti e i prezzi sono davvero contenuti. "
"ui_bubble_rating bubble_50","intervallo lavorativo simpatico","sono andata in questo ristorantino la settimana scorsa, con le colleghe , cerchiamo di andarci almeno una volta al mese. abbiamo sempre mangiato bene, il personale è gentilissimo, ed in meno di un 'ora ci portano di tutto, compreso il biscottino finale con sorpresa all'interno."
"ui_bubble_rating bubble_40","Non si sbaglia","Vado spesso in questa rosticceria a prendere piatti da asporto, porzioni abbondanti, buone e prezzi contenuti. Tutti molto gentili, se siete in zona e volete mangiare bene e spendere poco, andateci."
"ui_bubble_rating bubble_50","Miglior cinese","Piccolo, pochi tavoli, uno solo grande circolare. Funziona anche da asporto. Preparano quasi tutto loro: niente ravioli al vapore congelati!! Gentili, buona qualità. Suggerirei solo un pollo fresco più magro.."
"ui_bubble_rating bubble_30","Take away ... tutto ok !!","Posto piccolo un po' ameno per pranzare sul posto ma ottimo per l'asporto , un po' di varietà di cibo cinesi cotti al momento e di buona qualità a prezzi accessibili . "
