"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Da leccarsi i baffi","Bravissimi!I prodotti sono molto buoni.I prezzi sono bassi (con 24 euro di spesa abbiamo mangiato in nove!).Siamo stati consigliati sulla spesa da fare, in modo preciso e chiaro."
"ui_bubble_rating bubble_40","Top Rosticceria","Ottima rosticceria complimenti , crocchè , arancini e tanti altri rustici davvero squisiti , pochi posti per sedere ma del resto oli buoni e scelti"
"ui_bubble_rating bubble_50","Colazione","Locale storico allArenella,colazione veloce, con frittata di maccheroni sublime, una fetta di pizza di scarole eccellente, il meglio."
"ui_bubble_rating bubble_40","anni di lavoro premiamo la bontà","Anni che la padella allieta i palati dei suoi clienti con prodotti eccellenti e con un servizio adeguato. da provare tutto,."
"ui_bubble_rating bubble_50","Un'istituzione!!!","Questa rosticceria rappresenta un'istituzione di Napoli, sicuramente uno dei simboli dell'arenella.. Prodotti molto buoni, prezzi onesti.. Ideale in tutte le occasioni.. Non si può parlarne che bene!!"
"ui_bubble_rating bubble_50","Eccellente","Sono stato poco fa alla padella oltre al solito pollo che non cambierei con nessuno ,ho avuto modo di assaggiare i paccheri alla cacciatora e devo dire che Anche stavolta le mie aspettative non sono state deluse !! Insomma se avete voglia sia di mangiare qualcosa al volo sia di mangiare un primo o un secondo ve lo consiglio vivamente ! A prestoooo"
"ui_bubble_rating bubble_30","Storica rosticceria ","Rosticceria storica del vomero. Tutti sanno che se non si prepara nulla per pranzo, c'è lei a riparare. Piatti proprio come a casa e prezzi ottimi. "
"ui_bubble_rating bubble_10","consegna a domicilio","abito in zona e non avevo mai usufruito del servizio a domicilio.qualche giorno fa avevo amici a cena e non avevo tempo di cucinare e ho pensato di rivolgermi alla Padella.mai pensiero fu più malsano.conosco la qualità dei prodotti e mi sono fidato, ma la consegna a domicilio è da evitare.montanare (eccellenti prese al negozio) pessime alla consegna. freddissime e schiacciate.per non parlare del pollo (molto buono quando vengo di persona) , ma la consegna è stata un incubo.avvolto nella carta argentata, sgorgava olio dappertutto, tovaglia inondata di olio.vi prego di attrezzarvi nella consegna a domicilio. se avessi dovuto mettere una recensione con prodotti consumati in negozio sarebbe stata tra il molto buono e l'eccellente ne sono sicuro. ma la consegna è da dimenticare.è come mettere un bel quadro in una cornice di legno raccolto nei rifiuti."
"ui_bubble_rating bubble_50","Eccellente","Spesso ci fermiamo in questa nota rosticceria e devo riconoscere che tutto ciò che si acquista è di eccellente qualità. Ci fermeremo sempre più spesso. Rapporto qualità prezzo buono."
"ui_bubble_rating bubble_50","Superlativa ","Ormai punto fisso. La qualità è alta. Rosticceria davvero buonissima dove tutti i prodotti sono ottimi.La frittatina ve la consiglio perché è un MUST. "
"ui_bubble_rating bubble_40","Ottima rosticceria ","Sono stato un sacco di volte a mangiare e quando posso vengo volentieri! Si mangia ottimo cibo, nn rimani mai deluso! Do quattro stelle solo xché nn ci sono i tavolini x poter mangiare comodi"
"ui_bubble_rating bubble_50","e che spettacolo...","Sarà una vita che la padella sforna piatti di qualità senza alcuna possibilità di rimaner delusi. Non c'è un piatto da consigliare, qui vanno provati tutti!"
"ui_bubble_rating bubble_50","La padella è la padella!","Una vita, da quando ero piccola. Sapori ottimi! Tutto è buono, non delude mai! Io direi che la padella sia una vera e propria istituzione del gusto! Il personale è sempre molto gentile, i prezzi sono giusti! Abbiamo ordinato anche per delle feste... tutto ottimo come sempre! "
"ui_bubble_rating bubble_50","da sempre....","Frittatina che passione..... e non solo. È probabilmente la migliore rosticceria di Napoli. Tutto fatto al momento e godimento assicurato per la tasca ed il palato"
"ui_bubble_rating bubble_50","Cibo eccellente, forse prezzi un po'più alti della media","La Padella è una rosticceria storica nel cuore del quartiere arenella. Non ha mai conosciuto crisi proprio grazie all impegno e al lavoro dei gestori tesi a mantenere e migliorare la qualità dei prodotti. Ultimamente noto un rimpicciolimento di porzioni e un aumento dei prezzi. La qualità non si discute ...ma tant' è. .."
"ui_bubble_rating bubble_50","Immutata qualità.","Torno dopo anni e ritrovo la stessa varietà e qualità di anni lontani.Che dire resta tra le più gloriose e classicherosticcerie napoletane con tutto il campionario che la contraddistingue.Polli allo spiedo,pizze fritte e al forno,arancini vari,crostoni,crocchè,rustici,primi e secondi piatti etc.......Ed anche la mitica ZUPPA INGLESE,alla napoletana oramai introvabile altrove.Tutto in uno spazio piccolo.Bravi."
"ui_bubble_rating bubble_50","...ma che vi scrivo....","Dovete entrare! Guardare la vetrina stracolma di tutto l'impossibile ...dagli arancini al pollo allo spiedo alle melanzane alla parmigiana ....ma che vi scrivo....andate ad assaporare e poi arriverete voi!!!!"
"ui_bubble_rating bubble_40","marca solo un personaggio positivo alla vendita","la rosticceria in attivo più antica del Vomero a questo punto non ha bisogno di presentazioni cibo super curato e conforme alle tradizioni forse unica cosa mancante è un personaggio di personalità al banco vendita così per rallegrare gli avventori e favorire le vendite ,contenta!"
