"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Cibo etico ed economico","Posto veramente carino, cibo eccellente, dai panini ai primi e dolci. Ci sono andata sia per colazione che per cena. Si spende poco, i ragazzi sono molto disponibili. Vicino al duomo facilmente raggiungibile. Tutto vegano ed etico in rispetto degli animali"
"ui_bubble_rating bubble_50","Perfetto","Gentilissimi, opzione 15 Euro conveniente ed abbondante. Hamburger di friarielli divino. Se abitassi a Napoli verrei molto spesso!"
"ui_bubble_rating bubble_40","Ottima alternativa ","Quando siamo a Napoli ci facciamo spesso un salto per pranzo. Ottima la posizione, pietanze sempre gustose sia da fast food sia da mangiare con calma al tavolo. Da tenere in considerazione per un'alternativa a tanti ristoranti e pizzerie tipici, ma che alla lunga stancano. "
"ui_bubble_rating bubble_30","Piatti sfiziosi servizio scarso","Piatti sfiziosi e saporiti,ma il servizio peggiora ..lentissimo ( solo una cameriera in sala di sabato a pranzo) . Bicchieri con vetro smussato e tavoli quasi sempre sporchi.Capisco che il posto e ' piccolino e va bene ,ma potreste correggere tante cosette che poi influiscono sulla fidelizzazione del cliente."
"ui_bubble_rating bubble_50","Deliziosa cucina vegana!","Locale molto accogliente e curato.Grande varietà di ricette vegane dallo straordinario saporeingredienti di primissima qualità ed evidente freschezzaPersonale molto garbato e preparato.Diventeremo di certo assidui frequentatori"
"ui_bubble_rating bubble_40","Piacevole pausa pranzo","Vado in questo ristorante soprattutto a pranzo quando ho voglia di mangiare qualcosa di buono ma anche di sano. Il menù è abbastanza vario, è possibile scegliere tra primi piatti, secondi, insalate, burger vegetariani e tanto altro. Il cibo è ben cucinato e saporito, i prezzi contenuti. Locale piccolo ma davvero accogliente e tranquillo.Raccomando!"
"ui_bubble_rating bubble_40","Atmosfera familiare....","Sono stata a pranzo con un' amicaIl posto è davvero carino e accogliente.i tavoli e le sedie tutti di colori diversi.il personale è giovane.C'e' un'ampia scelta nel menu.Tutto ciò che abbiamo preso è stato gustoso.Consiglio ,se non si va da soli ,di prendere piatti diversi e dividerseli x assaggiare più piatti possibili.Bravi ragazzi.continuate cosi!!"
"ui_bubble_rating bubble_50","Interessante scoperta vegan","Non sono vegano, ma in giro per il centro ci siamo imbattuti in questo piccolo locale e siamo stati conquistati dalle loro proposte. Location curata e moderna, accoglienza cortese e rapida, proposta culinaria interessante e gustosa, abbiamo scelto diversi hamburger vegani con contorni vari tutti molto saporiti e ben cucinati. Prezzi contenuti. Da ritornarci"
"ui_bubble_rating bubble_50","Sempre il meglio","Questo locale fantastico è la prova che il cibo vegano sia squisito, variegato e dalle mille possibilità. L’ho scoperto per caso poiché si trova di fronte la mia università e da quel giorno è la mia tappa fissa con colleghi, amici e parenti che per la maggioranza non sono vegani, ma apprezzano il buon cibo"
