"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Semplicemente un esperienza culinaria fantastica ","Cena con amiche : ambiente elegante , stimolante , innovativo , cucina fantastica , sapori sorprendenti , qualità e tradizione ; innovazione e cultura . Consigliato per un esperienza differente ed unica . Per chi ama la buona cucina senza troppi fronzoli in un ambiente ricercato ma familiare . "
"ui_bubble_rating bubble_50","Pasta di ogni tipo","Location deliziosa, mentre mangi puoi vedere gli chef all'opera. Fanno solo pasta di ogni tipo e cucinata in tanti modi. Siamo stati consigliati (ottimamente aggiungerei) da Francesco ,che ci ha seguiti durante la serata, e non ci ha fatto mancare nulla. Degustazione di 5 portate di pasta a fantasia dello chef (in più vi erano anche un entrate ed un dolce compresi) tutte squisite e differenti tra loro. Siamo stati soddisfatti (e molto sazi)."
"ui_bubble_rating bubble_50","Pastai di gragnano","Locale in ottima posizione con la vista del maschio Angiolino e della fontana del Nettuno. Preparano ottimi piatti di pasta di Gragnano prodotta dell'antico pastificio di Martino. Anche da asporto limitatamente agli spaghetti al pomodoro."
"ui_bubble_rating bubble_50","Cena","Un’esperienza culinaria con piatti innovativi e rivisitati della tradizione napoletana. Durante la cena siamo stati seguiti dal Sig. Francesco che ci ha fornito spiegazioni sulla preparazione dei piatti scelti e aggiungendo cenni storici sugli stessi. La location è bellissima ed è disposta in modo da permettere ai clienti di osservare gli chef cucinare davanti ai loro occhi. "
"ui_bubble_rating bubble_50","Gusto e divertimento","Provato a pranzo durante un week end lungo a Napoli. La struttura è molto bella, moderna e con una vista mozzafiato: sull'esterno sul Maschio Angioino e sull'interno sulla cucina a vista/banco di lavoro dello chef che gestisce con maestria la cottura della pasta. Dopo un entratina offerta dalla casa, abbiamo provato ziti alla genovese e vermicelloni con calamari e zucca (entrambi buonissimi). Il dessert (delizia al limone) è stato preceduto da un predessert (a sopresa!) e da piccola pasticceria buonissima. Prezzi in linea con la locatione e la qualità. Un grazie speciale al Maitre Francesco, che con professionalità e savoir faire ti mette subito a tuo agio."
"ui_bubble_rating bubble_50","ne vale la pena","Bellissima la presentazione del locale, la vista della cucina ed i piatti di pasta sono eccezzionali.ottimo il sevizio dive tutto ti viene presentato nei minimi dettagli ed io lo ritengo anche appropriato nei prezzi.un' esperienza che rifarei."
"ui_bubble_rating bubble_50","A tutta pasta","Bellissima location con un bancone dove poter mangiare guardando la cucina e gli chef Pierpaolo e Giuseppe che operano !!! Solo pasta tutta la pasta possibile !!! La devozione nn va persa i dolci alla pasta sono sfiziosi !!!Bello lo shop dove poter acquistare la pasta da tornarci spesso"
"ui_bubble_rating bubble_40","Una buona esperienza gastronomica","Ottima l'accoglienza il che non guasta mai. Un menù variegato e non banale per tutti i gusti. Abbiamo ordinato una genovese di anatra all'arancia e spaghetti ai tartufi di mare con pesto ed emulsione di parmigiano....ottimi.Buona carta dei vini e dessert. Da riprovare.... sicuramente."
"ui_bubble_rating bubble_50","Pasta Di Martino? Una squisitezza!","Il titolo di per se è già sufficiente a descrivere ciò che ti viene offerto. Il tutto poi in una location semplice ma allo stesso tempo originale. Lamentarsi di ciò che ti da questo ristorante diventa una bestemmia, in quanto i piatti che sceglierai avranno sempre un sapore unico. Complimenti a chi ha avuto questa idea di aprire una struttura così originale. Oramai la frequento da pochi giorni dopo la sua apertura e seppure il servizio è sempre perfetto noto con leggero disappunto un cambio frequente del personale."
"ui_bubble_rating bubble_50","Buona pasta a tutti!!!!","Pranzo domenicale in un format molto innovativo. Piatti ottimi alla vista e al palato, moderni ma legati alla tradizione.Servizio attento e cordiale. Chef disponibili e preparati e la preparazione dei piatti a vista rende il tutto più conviviale.I dolci con la pasta assolutamente da provare!!!Ci torneremo."
"ui_bubble_rating bubble_50","Perfetto","Serata piacevolissima con ottimo cibo e servizio cordiale, esattamente l'accoglienza e l'ospitalità che ci si aspetta di trovare a Napoli, coccole speciali per la nostra bimba da parte di Gianluca e Pierpaolo, gli chef super professionali che ci hanno preparato gli ziti alla genovese e il rosmarino con baccalà. Il servizio in sala, impeccabile e genuino, impedisce di lasciare il ristorante appena terminata la cena, l'attardarsi è un piacevole fuori programma... grazie "
"ui_bubble_rating bubble_50","Giornata speciale ","Oggi ê stata una giornata speciale perché abbiamo avuto la conferma di una bella notizia e quindi visto che domani ê anche il nostro mesiversario di matrimonio siamo andati in questo meraviglioso posto .....ci siamo seduti ad un tavolino vista piazza molto intimo e carino ....i due signori presenti in sala sono stati molto carini e gentili oltre che grandi professionisti e ci hanno saputo dare degli ottimi consigli soprattutto a me che sono in attesa .....ê stato tutto perfetto al di là che buonissimo ......secondo me ë Un esperienza che va fatta Grazie ancora per la bella giornata "
"ui_bubble_rating bubble_50","La pasta è la protagonista ","Siamo stati qui il 9 dicembre. Locale accogliente, personale professionale e vedere gli chef mentre cucinano è davvero carino. Abbiamo preso una genovese e le fresine con i lupini ed entrambi erano eccezionali. Per concludere un dolce preparato sempre con la pasta, con una conchiglia. E come pre-dessert un assaggio di spaghetti con il sugo. È stato un ottimo pranzo e viene voglia di ritornarci appena si ha l’occasione. "
"ui_bubble_rating bubble_30","Novità forse per intenditori","Entrare in un negozio di pasta come visto da fico a Bologna trovarsi al bancone con due cuochi che fanno il loro ,con un direttore che ti mitraglia di piatti ,che ti lucida tutto quello che vedi bah forse tutto passa in secondo piano ma io credevo di mangiare un piatto di pasta"
"ui_bubble_rating bubble_50","Domenica pasta","Un idea geniale Location intelligente Gentilezza e cortesia Grazie Francesco per l’invito Ci rivedremo molto presto"
"ui_bubble_rating bubble_50","Sapori di casa ","Ho ritrovato il sapore della pasta con il ragù e pasta alla genovese come le faceva la mia mamma !!! Da non perdere pasta squisita e servizio altamente professionale "
"ui_bubble_rating bubble_50","Delizia per il palato ","Indubbiamente qualcosa di veramente nuovo e di qualità assoluta nel panorama enogastonomico pasta risottata come si deve con condimento bilanciato con estrema professionalità ritornerò di sicuro "
"ui_bubble_rating bubble_50",":O","Incuriositi dalle recensioni siamo andati mentre eravamo a napoli..tutti adoriamo la pasta e quindi tutti adoreranno questo posto!super consigliato"
"ui_bubble_rating bubble_50","Grande chef Giorgio!","Sono ritornato in questo paradiso della pasta con alcuni amici ed abbiamo fatto il menù degustazione a cinque portate. Ho trascorso una domenica pomeriggio da sogno. Confermo in pieno quello che già avevo scritto ed aggiungo la lode."
"ui_bubble_rating bubble_50","Il regno della pasta ","Tra decine di formati di pasta di Gragnano rigorosamente trafilata al bronzo, il Sea Front Di Martino riesce a creare piatti in cui tradizione e innovazione si fondono armoniosamente in una perfetta combinazione di sapori. Buoni gli spaghettini con acqua di limone e provolone del monaco, eccellenti gli ziti spezzati al ragù, sorprendente la PASTiera, il dessert costituito da un conchiglione ripieno di una crema che rievoca i sapori della pastiera napoletana. Servizio cordiale seppur non velocissimo, conto giusto. Assolutamente da provare. "
"ui_bubble_rating bubble_50","Pasta! Pasta! Pasta!","Non mi stanco mai di mangiare pasta. In tutte le declinazioni! E così lo chef, gentilissimo, si è accollato tutte le fisime di mia moglie: tipo niente formaggi o carni ed ha allietato una anonima quanto tiepida domenica di ottobre con tre assaggi di pasta, di cui uno con colatura di alici, da manuale, uno con funghi, l’ultimo imperdibile “la devozione” semplicissimi spaghetti di Gragnano al pomodoro (tipo quelli infilati nelle tasche da Totò in Miseria e Nobiltà) eseguiti perfettamente. E forse non a caso mi hanno suggerito il film di Totó perchè nella nostra cucina semplice ma fatta di ingredienti nobilissimi e preziosi, sta il segreto di una cucina millenaria e leggendaria! Ricordo a me stesso e a chi legge che oltre i dolci della carta servono delle sfogliatelle mignon, fatte rigorosamente in casa, da “urlo”...Conto sui 50 euro vini inclusi e ho detto tutto...PS a memoria delle mie passate polemiche sull’attendibilità di questa classifica, oggi posso dire, finalmente un vero n. 1"
"ui_bubble_rating bubble_40","Buon pranzo ma prezzi eccessivi","A pranzo in due abbiamo preso un’ottima genovese e un buon ragù. Il servizio è perfetto accogliente e disponibile. Vero che la qualità si paga e qui gli ingredienti erano eccezionali, però risulta eccessivo pagare una genovese o un ragù a 20 euro in un locale che seppur carino non ha una location di lusso. A mio avviso avreste una maggiore affluenza con i prezzi leggermente più bassi. "
"ui_bubble_rating bubble_30","Buono ma caro","Il ristorante è particolare sia nel menu che nell’allestimento, il personale è gentile ed educato. Nulla da dire, eccetto il prezzo, dato che, per quanto buoni, i piatti offerti sono pur sempre dei primi con ingredienti prevalentemente poveri che, pertanto non giustificano il prezzo medio di 20 euro a piatto. Quindi, una coppia che ordina due primi a scelta, due bicchieri di vino paga (con il coperto) circa 60 euro!"
"ui_bubble_rating bubble_50","ECCELLENZA GASTRONOMICA TRA TRADIZIONE E INNOVAZIONE","Spinti da curiosità io e i miei amici ci siamo fermati a pranzo in questo ristorante che si è rivelato unico nel suo genere, nel quale tradizione ed innovazione si fondono al contesto innovativo e ad un'idea originale.Il personale ci ha accolto da subito con grande professionalità, trasmettendoci passione e amore e facendoci sentire a casa. Lo chef ci ha accompagnato con i suoi sapienti aneddoti in questo percorso gastronomico fatto di eccellenti materie prime e pasta sublime. Location perfetta con ricercata cura dei dettagli e vista sul Maschio Angioino.Da provare anche il take away nel quale è possibile prendere un evergreen della tradizione culinaria italiana la devozione uno spaghetto al pomodoro e basilico fatto con un'eccellente pasta di Gragnano IGP.Ci tornerò e lo consiglio vivamente!!!"
"ui_bubble_rating bubble_50","Devoti alla pasta","Attratti dalla location, siamo stati a pranzo 3 amici incuriositi dal noto marchio del pastificio di Gragnano. All’ingresso ad attenderci personale molto gentile e cortese che ci ha subito fatto sentire a casa.Una volta saliti ed ammirato il Maschio Angioino, abbiamo optato per l’eccellente percorso gastronomico. Dopo un’entrée a base di spigola è iniziato il grande tour: 4 assaggi di pasta, ognuno dei quali realizzato con ingredienti ricercati e di alta qualità (il primo con colatura di alici di Cetara, il secondo con provolone del monaco e profumo di limone, il terzo la mitica genovese per poi concludere con “la devozione”, il classico spaghetto al sugo napoletano).Tra una portata e l’altra lo chef, con passione e dedizione, ci ha deliziato con aneddoti che ci hanno permesso di apprezzare ancor di più ogni pietanza.A concludere giustamente un bel dolce, una ricotta e pera rivisitata ovviamente a base di pasta (da provare tutti i dolci, soprattutto quelli a base pasta).Consiglio a chi si trova nei pressi di piazza Municipio di concedersi un piacere veramente unico, o almeno un take away al volo se si ha poco tempo."
