"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","un posto verace ed autentico","un piccolo segreto napoletano. piatti buoni e saporiti nella antica tradizione napoletana. tutto molto spartano, se siete amanti dell'ordine non ci entrate. se vi piace la cucina autentica dei posti in cui vivete, o meglio ancora, che visitate.. questo è il posto giusto per voi. straordinaria l'umanità che ci passa, studenti, gente con pochi soldi, professori, intellettuali, operai.. tutti mossi dalla fame e dal desiderio di una cucina che sa di casa, di verità di Napoli."
"ui_bubble_rating bubble_40","Cucina napoletana tipica e verace!","Lo Spiedo D'Oro è un ristorante take away ove all'ora di pranzo c'è sempre moltissima folla. I primi e i secondi proposti sono ogni giorno quelli della tradizione napoletana, qualcuno rivisitato con eccellenti risultati. Suggerirei all'ottimo Enzo, l'infaticabile titolare, d'impegnarsi a rendere leggermente più leggeri alcuni piatti, dosando meglio l'olio, e a dare un po' di spazio in più alle proposte vegetariane e di pesce.Assaggiate, comunque, il baccalà in bianco: sublime!"
"ui_bubble_rating bubble_50","Napoli verace","Napoli verace, Napoli popolare, Napoli sanguigna; questo è quello che rappresenta questo piccolo  grande  ritrovo della Napoli di Eduardo e Pino Daniele.Qui Enzo e Cinzia dirigono una orchestra di profumi, gusti e sapori autenticamente napoletani.Tutto ti riporta al calore di questo popolo che ritrovi in ogni pietanza.Buon appetito!"
"ui_bubble_rating bubble_50","Ristorazione veloce e gustosa","Eccezionale non esiste in città un locale del genere una varietà infiniti di primi piatti ,alle spalle ha una vera storia nella ristorazione, grandissimo rapporto qualità prezzo - professionalità e maestria di Enzo gentilezza e cortesia di Cinzia"
"ui_bubble_rating bubble_40","Che piatti ...","Ci sono ritornato perché la cucina del Sig. Enzo è Eccezionale.Fa tantissimi primi, secondi e contorni e sicuramente non te ne vai scontento ma poi tutti questi piatti sono uno più buono dell'altro.L'unica cosa che bisogna indovinare è l'orario, perché in certi momenti c'é tanta gente ma credetemi anche la coda vale la pena di farla per la soddisfazione che poi ci sarà.Sono ormai ritornato in Maremma e già penso a quando ritornerò a Napoli e puntualmente mi presenterò dall'amico Enzo per riassaporare i suoi gustosissimi piatti."
"ui_bubble_rating bubble_50","Calore e colore","Atmosfera folcloristica, ricca di calore e di colore che solo il cuore di Napoli e quello dei cordialissimi gestori di questo ristorante ti possono dare.Cibo preparato con maestria nel rispetto della tradizione partenopea.Ottimo rapporto qualità/prezzo."
"ui_bubble_rating bubble_50","Classicamente Napoli","Anche l'attesa fa parte del cerimoniale, molto partenopeo. Non ti spaventare per la folla al banco, mettiti in fila ed aspetta il tuo turno che arriva in breve tempo, godendoti le battute e i colloqui fra clienti e gestori. Scegli la pietanza che più ti attrae, tutte della tradizione napoletana ed accomodati al tavolino libero. Stessa bontà di quando ho iniziato a frequentare il locale negli anni 90, quando era molto meno affollato. L' ultima volta ho assaggiato il baccalà fritto e rigirato nel sugo. Ottimo. In assoluto fra i locali dal miglior rapporti qualità prezzo. "
"ui_bubble_rating bubble_50","Prezzi bassissimi e cibo super!","Luogo ottimo per chi vuole spendere davvero poco e mangiare divinamente!Personale cordiale e molto gentile.Le porzioni sono molto abbondanti.Consiglio la pasta al forno, la genovese e le polpette al sugo!Spero di ritornare a Napoli per poterci mangiare di nuovo."
"ui_bubble_rating bubble_50","Trattoria con cucina tipica napoletana","La trattoria offre piatti tipici della cucina casalinga napoletana. I piatti sono anche da asporto. Costo contenuto e rapporto qualità prezzo ottimo. Atmosfera semplice e informale dei locali dove l'importante è la cucina!"
