"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Luisa ","Che si venga con amici, da soli, con un amore o con un quasi amore, questo è sempre il posto giusto per sentirsi a casa. Luci soffuse, una scelta musicale attenta e di qualità, ma mai artefatta, vini ottimi e piatti genuini e senza fronzoli inutili, serviti con scioltezza e simpatia. È il ritrovo dei napoletani dopo una giornata di lavoro e dei turisti, attratti dall'atmosfera di festa che, da quando questo locale ha aperto, anima ogni sera la parte più suggestiva della città. Imperdibile, diventerà il vostro posto fisso. "
"ui_bubble_rating bubble_50","un posto sincero","Ci siamo fermati per caso, per trovare rifugio dal traffico pedonale di via Toledo, abbiamo imboccato il vicolo e incuriositi dal locale (bello davvero, originale, realizzato con materiali di recupero e tanta fantasia) ci siamo fermati ... all'apparenza sembrava chiuso, poi il titolare (gentilissimo) ci ha detto che avrebbe aperto di lì a poco, così si siamo accomodati per un aperitivo godendoci la piacevole atmosfera di festa dei quartieri spagnoli!"
"ui_bubble_rating bubble_50","Un angolo di East Coast nel cuore dei quartieri","Ottima musica! Ottimi vini!Ottimo cibo!Locale delizioso, tappa da non perdere per visitare Napoli e non solo!"
"ui_bubble_rating bubble_50","La casualità che premia","Tra la folla di locali gente bar vucumprà e ristoratori che t’invitano ad entrare.. casualmente da via Toledo fugge lo sguardo verso due botti di vino e qualche seduta... ci avviciniamo e ci fermiamo in questo localino! Piccolo ma: ottima musica, gentilezza e ospitalità! Un wine bar tenuto da due fratelli: lei a preparare taglieri di formaggio e salumi piccole parmigiane friselline e prodotti locali. Lui mattatore di simpatia rum e ottimi vini! Abbiamo degustato aperol e Campari spritz vino di qualità e rumEravamo 5 donne ( 50 e dintorni) Ci torneremo sicuramenteConsigliato vivamente "
"ui_bubble_rating bubble_30","Un'alternativa","Di passaggio rientrando ci siamo fermati in questo posticino un po' nascosto e non del tutto comodissimo. Sarà l'età, saranno i gusti o forse le aspettative viste le recensioni ma non ci ha soddisfatto a pieno. prodotti e vino buoni non lo nego e proprietario sui generis che non basta a premiarlo particolarmente."
"ui_bubble_rating bubble_50","Unico nel suo genere ","Sono stata qui con 2 amiche, sedute su una panca in discesa... Ma la simpatia del proprietario ha sorvolato la scomodita del posto... Ottimi vini e ottima selezione di salumi e formaggi "
"ui_bubble_rating bubble_30","Aperitivo","Ci siamo fermati verso le 22.45 per bere e stuzzicare qualcosa.Abbiamo preso due calici di vino bianco, una fresella, delle bruschette e salsiccia e friarelli.rapporto qualità/prezzo nella normail locale è molto piccolo all'interno e la musica non è eccessivamente alta.alle 23.15 hanno spento la musica come chiaro messaggio per invitarci ad andare via (nonostante l'orario di chiusura su Tripadvisor sia 11.30)"
"ui_bubble_rating bubble_40","Aperitivo","Ci siamo fermati per un aperitivo.Molto carino,curato nei dettagliOffre degli stuzzichini e del buon vino(noi avevamo preso un aglianico)Personale cordiale e disponibile.Si nota solo però se si guarda bene nelle viuzze..quindi su con gli occhi ragazzi!Consigliato anche per famiglie"
"ui_bubble_rating bubble_40","Ottimo pub/enoteca dove bere buon vino","Il locale è piccolo ma carino, i posti sono davvero pochi, e sono distribuiti sia all'interno del locale che lungo la strada, una viuzza trasversale di via Toledo. Il vino che abbiamo bevuto era davvero delizioso. Direi ottimo per trascorrere una serata in compagnia!"
"ui_bubble_rating bubble_50","Stile attraente","Passeggiando per le strade dei quartieri spagnoli si fa subito notare per l'arredamento esterno. Stile povero di gran gusto, oggetti riciclati e musica rendono il tutto molto particolare.Il titolare è simpatico ed intrattiene volentieri gli ospiti.Bere un bicchiere di vino qui è veramente piacevole. "
"ui_bubble_rating bubble_30","Caro e poco chiaro","Sono stata in questo locale con 3 amici ed il mio fidanzato, quindi eravamo in 5 più un bambino. Il posto è accogliente ed il personale è cortese. Abbiamo ordinato una bottiglia di Falerno del Massico di Papa che costava 30€, una bottiglia di Taurasi Marziacanale 2009 di cui non ho visto il prezzo sul menù, e due taglieri da 15€ cadauno, più una bottiglia di acqua piccola. Al momento del conto quello che presumo sia il titolare mi dice sono giusto 100€, ma col senno di poi non mi ritrovo con questo totale, a meno che la bottiglia di Taurasi non sia costata 40€! Oltretutto non ho potuto pagare col bancomat (dato che gli amici erano miei ospiti) ed ho dovuto chiedere lo scontrino, mentre dovrebbe essere naturale farlo. Quest'ultimo dettaglio e la poca chiarezza del conto hanno fatto decisamente andare verso il basso la recensione di questo posto che trovo comunque un po' caro. Sarei lieta di avere delucidazioni sul conto, cosa che al nomento non ho potuto chiedere sia per la confusione che c'era vicino al bancone sia perché ero presa dai miei amici che sono venuti dalla Toscana. Quando c'è chiarezza, trasparenza ed onestà sono pronta a ricredermi. "
"ui_bubble_rating bubble_50","Da tornarci più e più volte!","Parecchie volte, insieme al mio ragazzo abbaimo usufruito della buonissima selezione di vini e sello squisito tagliere (oltre alla simpatia ed alla gentilezza dello staff).Selezione di formaggi e salumi davvero sfiziosa e la possibilità di accostamento con marmellatine o mieli. <3 Qualità prezzo indiscutibile.Per una serata romantica rilassante all insegna del buon vino e della buona cucina!"
