"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Trattoria con un po' di innovazione","Pur avendo tutte le caratteristiche di una trattoria tradizionale (semplicità e genuinità) offre piatti misuratamente rivisitati. Sapori decisi della cucina napoletana. Cortesia e disponibilità del personale. Da provare"
"ui_bubble_rating bubble_40","Un indirizzo da ricordare e raccomandare","Piccolo ristorante, accogliente e gestito con gentilezza. Abbiamo mangiato un risotto agli agrumi molto buono e delicato, mantecato ottimamente. Ottimo un antipasto e i friarielli come pure la creme brulee. Anche il vino della casa è di buon livello. Prezzi più che contenuti. Un indirizzo decisamente da raccomandare."
"ui_bubble_rating bubble_50","Cena conviviale","Piccolo ma accogliente menu di alto livello ricercato e curato prezzo eccezionale per rapporto qualità /prezzo."
"ui_bubble_rating bubble_50","Che buono!","Il centro di Napoli è pieno di ristoranti economici di qualità media, in genere molto affollati. Questo è invece un posto dove si mangia benissimo, in un'atmosfera rilassata e ben curata, a prezzi certamente più alti rispetto ai posti che indicavo prima, ma quasi economici considerando la qualità dei piatti e del servizio.Interessanti variazioni sul tema del baccalà, ma anche piatti della tradizione (salsiccia e friarielli, pasta alla genovese) e ricette più elaborate (risotto agli agrumi, creme brule alla camomilla). Superconsigliato"
"ui_bubble_rating bubble_50","Capodanno a Napoli","Organizzata da amici che conoscono bene Napoli , arriviamo in questa taverna che è preceduta dalla fama di essere stata un set cinematografico di un film per la Tv.Il locale piccolo ma molto accogliente , il proprietario gran professionista ci consiglia il menù .Gli antipasti fritti e polpette di salsiccia danno inizio ad una cena luculliana.Pasta alla genovese , non la mangiavo da tempo preparata benissimo , baccalà mantecato leggero e delizioso .Chiudiamo la serata con dei cannolicchi al cioccolato molto gustosi.La cena è stata accompagnato da un ottimo Montepulciano.Prezzo molto adeguato alla qualità del pasto e della location Raccomandato!!"
"ui_bubble_rating bubble_50","serata speciale","Sono andata con mia figlia a mangiare alla taverna dell’arte,dopo aver letto alcune recensioni e ne sono rimasta entusiasta.Cibo ottimo, ambiente accogliente ed ottimo rapporto qualità e prezzo.Ho provato il riso agli agrumi e l’ho trovato eccezionale.Da provare assolutamente.Nicoletta"
"ui_bubble_rating bubble_50","Serata perfetta!!","Decidiamo di andare in questo ristorante un po' per caso, ma mai scelta fu più giusta. Ambiente familiare, ben curato ed arredato; personale cordiale e ben preparato, che ti fa sentire fin da subito a tuo agio. Piatti di ottima qualità, a partire dagli antipasti (da consigliare il carpaccio di baccalà...la fine del mondo!!) per passare ai primi (ottimi gli spaghetti alla colatura di alici e il risotto agli agrumi) e concludere con una tazzulell e café, versato direttamente dalla classica moka napoletana.Se un giorno mai dovessimo tornare nella bellissima Napoli, la Taverna dell'Arte sarebbe una tappa obbligata. Consigliatissimo!!"
"ui_bubble_rating bubble_50","Una conferma","Siamo stati in questo ristorante dopo anni,conoscevamo il vecchio gestore e quindi avevamo un po' di remore sulla nuova gestione.Tutte le ombre si sono dissipate sia per la cortesia e affabilita' dei gestori che per la bonta' della cucina. Il menu' spazia adesso anche un po' al di fuori della napoletanita', ma conferma la bonta' della proposta. Da 10 e lode una tagliata di carne con funghi misti e pure' al tartufo. Serata allietata da bella canzone storica napoletana dal vivo.Colmplimenti!!"
"ui_bubble_rating bubble_50","Un meraviglioso equilibrio....","Tra buona cucina, servizio elegante ma friendly, locazione centrale ma tranquilla, costo e qualità dei cibi, cibo locale e foresto, buoni vini. L unica piccola e involontaria pecca è il parcheggio un tantino lontano e con L immancabile abusivo . Ma si lascia perdonare... altroché "
"ui_bubble_rating bubble_50","Ottimo!","Ci siamo tornati e siamo rimasti ancora più soddisfatti. Ottime materie prime piatti semplici e della tradizione ma raffinati, dall'antipasto al dolce.Ottimo anche il rapporto qualità quantità prezzo.Molto carino anche il locale. Bravi!"
"ui_bubble_rating bubble_50","Serata da gourmet","Grazie a tripadvisor scopro quest'isola tranquilla a due passi dal frenetico passeggio del centro città. La mia scelta cade sul risotto agli agrumi, sui gamberi impanati con contorno di friarielli e sulla crème brûlée. Ogni piatto lascia pensare all'utilizzo di ingredienti di qualità da parte di mani sapienti e appassionate. Il risultato è una gioia per gli occhi ma, soprattutto, per il palato. Il locale è curato, caldo e accogliente. Il servizio è cordiale e attento, anche a raccogliere l'opinione del cliente. Il conto é adeguato alla qualità del cibo offerto. Tornerò senz'altro!"
"ui_bubble_rating bubble_50","Sentirsi a casa","Cucina raffinata, personale gentilissimo, location accogliente, tutto ottimo!! I luoghi del cuore! "
"ui_bubble_rating bubble_50","Cena fra colleghi","Cena di ottima qualità e prezzo assolutamente accessibile. Cameriere simpatico e cortese. Unico neo.... Mai proporre un cannolo ad un siciliano. Scherzi a parte.... Consigliatissimo..."
"ui_bubble_rating bubble_50","da tornare","bel posto curato ed accogliente con personale molto gentile.Cibi ottimi con ingredienti tradizionali ma ottimamente rivisitati dallo chef"
"ui_bubble_rating bubble_50","Bellissima scoperta <U+0001F44D>","Me ne avevano parlato bene......ma poi quando ci vai di persona .....e’ tutta un’altra cosa .Ambiente bellissimo e caldo, ottima cucina , personale gentilissimo....."
"ui_bubble_rating bubble_40","Elegante e familiare","Ambiente familiare accoglienza ottima e i piatti sono molto curati. Il riso agli agrumi è da non perdere come pure il baccalà"
"ui_bubble_rating bubble_50","tradizione e gioventù","accoglienza eccellente , ti senti immediatamente a casa , cucina tradizionale ma rivisitata con la gioventù che contraddistingue lo chef un appuntamento fisso per una serata rigenerante"
