"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Cena squisita e serata divertente ","Abbiamo cenato in questa piacevolissima trattoria per caso. Che bella sorpresa!Cena deliziosa e personale accogliente e simpatico. Una splendida serata conclusa con un assaggio del più buon limoncello mai sentito a Napoli. Consigliatissimo!"
"ui_bubble_rating bubble_50","Eccezionale!!","Locale molto accogliente, personale gentilissimo e cucina deliziosa. Da provare assolutamente la pizza CastelNuovo e il cheesecake al pistacchio. Consigliatissimo!! "
"ui_bubble_rating bubble_40","Ravioli super","Trattoria a prezzi onestissimi, ci hanno accettato anche senza prenotazione. Buona la frittata di bianchetti e squisiti i ravioli della casa con ricotta di bufala e sugo di pomodorini. Molto buona anche la pastiera."
"ui_bubble_rating bubble_40","Pranzo del 6/01, servizio ottimo, qualità altrettanto. ","Zona centrale tra porto e castello. Pranzo a base di antipasti pizza caffè e amaro. Qualità al top. Servizio al top. Unico appunto i tavoli da 2 persone un po’ stretti. Per il resto tutto perfetto. Complimenti ai camerieri per la simpatia dimostrata nel rapporto con il cliente. Prezzi nella media ma qualità alta. Consigliato "
"ui_bubble_rating bubble_50","Voto 10","Eravamo in 3 coppie con 2 bambini e abbiamo prenotato con the fork. siamo stati accolti benissimo. La sala al piano terra era occupata e così ci hanno dato un tavolo al piano inferiore, ugualmente carino anzi siamo stati più liberi e tranquilli. Il personale molto attento e professionale. Mimmo ci ha consigliato bene e ci ha sopportato tutta la sera. Cena di qualità, sostanza e sfiziosa grazie ai fritti ed agli antipasti. In tutto. Dolci e vino compresi. Prezzi onesti x la qualità offerta. Consigliatissimo! "
"ui_bubble_rating bubble_30","Vacanza","Ristorante tradizionale, i piatti di pasta sono buoni e ottima la mozzarella di bufala servita con i datterini, servizio ottimo è molto accogliente."
"ui_bubble_rating bubble_50","Ottimo","Raramente scrivo ricecensioni ma questa volta vale la pena segnalare l’eccellenza sia nella qualità del cibo sia del servizio, attenti anche alle esigenze dei bambini. Buono anche il rapporto qualità prezzo."
"ui_bubble_rating bubble_40","cena di capodanno","Abbiamo cenato in questo locale ieri sera , e devo dire che oltre alla cortesia abbiamo trovato ottimi ed abbondanti piatti di mare. Se dovessi tornare a Napoli ripeterei l'esperienza, cavallo che vince non si cambia!!!"
"ui_bubble_rating bubble_50","Eccellente.","Trovato su TripAdvisor, questo ristorante ha confermato al pieno le aspettative di alto livello. Dagli antipasti ai primi, tutto freschissimo e cucinato alla perfezione. Le linguine allo scoglio sono eccezionali, e il pesce appena pescato. Consiglio vivamente questa trattoria, però fermatevi a scambiare due parole in più col personale, vi troverete come in famiglia, per la gentilezza e la simpatia da napoletani veraci."
"ui_bubble_rating bubble_50","Ottima trattoria con ottimo servizio","Bel posto in cui ci siamo fermati a cenare al ritorno da Ischia, vista la vicinanza al porto. Pesce ottimo e fresco di pesca. Estrema professionalità e gentilezza. Abbiamo preso una spigola all’acqua pazza ottima e una frittata di bianchetti molto buona. Da tornare."
"ui_bubble_rating bubble_50","Ottimo ","Sono andata con mia sorella poiché era il ristorante convenzionato con l’hotel San Marco, servizio cordiale e cibo eccezionale, piatti abbondanti tanto da non riuscire ad arrivare al secondo! Consigliatissimo, sicuramente ritorneremo "
"ui_bubble_rating bubble_40","Buona cucina ","Ottima la carne. Eccezionale il pesce Servizio al tavolo al top. Alla fine il conto era in linea con la qualità del cibo propostoci. Unico neo , de vogliamo, sta nella difficoltà ad arrivarci"
"ui_bubble_rating bubble_50","Bravi. Nient’altro da dire: bravi.","Disponibili, gentili, preparati. Un posticino davvero intrigante. Cibo ottimo. Mozzarella con datterini, tarallo napoletano e basilico. Una pizza entusiasmante. Birra “Napoli”. Limoncello e sangue di San Gennaro. Trovi sorrisi e gentilezza. Nessun problema ad adeguarsi alle esigenze di gruppi numerosi. Molto efficienti anche nelle proposte senza glutine.Un posto nel quale tornerò senza ombra di dubbio.Location strategica."
"ui_bubble_rating bubble_40","Pranzo ","Siamo stati a pranzo questa mattina, devo dire che siamo rimasti molto soddisfatti!!! Ci siamo fatti consigliare da una recensione sulle trattorie napoletane... personale gentilissimo, primi davvero speciali e super consigliati i digestivi della casa! "
"ui_bubble_rating bubble_50","IN GITA A NAPOLI ","Ci hanno servito un pranzo a dir poco turistico, direi come se fosse stato alla carta..... antipasto di pesce, spaghetti allo scoglio, frittura mista, insalata, bevande illimitate, sfogliatelle, caffè amaro e tantissima cortesia del personale.......... GRAZIEEEEE"
"ui_bubble_rating bubble_40","Un buon locale","Sono stato in questo locale domenica 11 novembre 2018 insieme ad un altra coppia di amici io è la mia ragazza abbiamo preso 2 pizze degne di tale nome, pizze che hanno rispettato i canoni della vera pizza napoletana. Veramente BUONA. Consigliatissima!"
"ui_bubble_rating bubble_40","Ottima location","A nome dell’associazione nazionale finanzieri d’Italia sede di Bitetto (Ba), desidero ringraziare lo staff e la proprietà del ristorante per la buona qualità del cibo, la cortesia e la disponibilità dimostrata nei nostri confronti. "
"ui_bubble_rating bubble_50","Non dovete perderlo!","Ho voluto mangiare pesce (sono sicuro che fosse fresco!) specificando che non sono capace a pulirlo: il titolare, Sig. Cosimo, mi ha proposto gallinelle di mare che mi sono state pulite davanti, e abbiamo voluto assaggiare insalata di mare e paccheri sempre su suo consiglio. Abbiamo pagato il prezzo giusto per quanto abbiamo mangiato e per il servizio ricevuto. Abbiamo assaggiato vino sfuso stupendo e ci è stato offerto un liquore sublime. Se si entra con l'umiltà di farsi consigliare dal titolare o dai figli, non si può sbagliare!"
