"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Cibo di qualità ","Trattoria semplice, qualità del cibo elevata, cortesia e prezzi onestissimi...per un pranzo al centro di Napoli è il locale giusto.Consigliata!"
"ui_bubble_rating bubble_50","Locale accogliente e dalle pietanze genuine","Per caso mi sono imbattuta in questa piccola e accogliente trattoria in un orario poco consono per una cucina che potrebbe essere già chiusa. E invece abbiamo potuto accomodarci e mangiare divinamente gustando dei piatti strepitosi nella loro genuina semplicità. Complimenti allo staff e alla cuoca Francesca...non cambiate maiiii."
"ui_bubble_rating bubble_50","Fenomenale","Abbiamo mangiato benissimo, uno spaghettone al riccio che al primo assaggio ci ha fatto piangere dall'emozione, gli mancava la parola... ma non il sapore.Personale gentile, divertente e alla mano.Consigliatissimo."
"ui_bubble_rating bubble_40","ottimo e accogliente","Ero a Napoli per lavoro con altri tre colleghi e a pranzo un collega ci accompagnati in questa trattoria , perchè volevamo gustare cibi della cucina napoletana.Accolti con molta familiarità dalla proprietaria Francesca che ci ha parlato dei piatti tipici napoletani. Il pranzo è stato ottimo,i sapori ricordano la cucina caseccia. Gli scialatielli alle vongole gustosissimi, come la seppia con patate. Tutto ottimo anche il prezzo onesto. Lo consiglio e ci ritornerò."
"ui_bubble_rating bubble_50","Buono buono buono!!!","Ci siamo stati per pranzo: meglio arrivare presto perché è sempre pieno, e ve ne sono tutte le ragioni. L'accoglienza di Francesca è gentilissima ed affettuosa, e il cibo è STREPITOSO! Ingredienti di qualità - a cominciare dalla pasta, peraltro cotta a perfezione- preparati in modo tradizionale, ma leggero. Noi abbiamo preso le linguine seppie e piselli -divine- e il calamaro alla griglia, tenero e cotto alla perfezione, con gli zucchini a scapece -da farci uno sproposito per quanto erano buoni. Non vi dico la pastiera!!! Era ancora tiepida e -dico davvero!- era la migliore che abbia mai mangiato. Il locale è lindo e accogliente, la cucina è a vista - pulizia e cura nella preparazione del cibo si vedono!- , il bagno è di specchiata pulizia. E' possibile anche mangiare qualcosa di già pronto se si è di fretta. Il vino della casa, il caffè fatto venire dal bar -ottimo anche quello-. il conto onestissimo. Non vediamo l'ora di tornarci!"
"ui_bubble_rating bubble_50","Buono buono buonoooo!","Ci siamo stati a pranzo un venerdì. Meglio arrivare presto è sempre pieno e ve ne sono tutte le ragioni. Avete presente il sapore delle cose buone che facevano le nonne della passata generazione? È anche meglio! Francesca vi accoglie con una cortesia affettuosa che fa sentire a casa. E poi ti fa mangiare bene e sano. Noi abbiamo preso le linguine seppie e piselli -divine- e un calamaro alla griglia tenerissimo e cotto a perfezione. Le zucchine a scapece meritano un dieci, ma la pastiera è SUBLIME! Non esagero é la migliore che abbiamo mai mangiato. Il locale è lindo e accogliente il bagno di specchiata pulizia... prezzo onestissimo. Non vediamo l'ora di tornarci!"
"ui_bubble_rating bubble_30","Pausa pranzo","Piatti della cucina napoletana ben preparati (pasta e fagioli, pasta e patate, genovese...) a prezzi bassi, da evitare invece i primi con sugo in bianco dove impazzano panna e derivati, buoni quelli a base di pesce ma decisamente più cari. Direi ottimo per una pausa pranzo di lavoro o svago, a prezzi economici e senza troppe pretese"
"ui_bubble_rating bubble_50","Cucina divina","Cucina buonissima , titolare e ragazze simpatiche e gentilissime. Tutto buonissimo dal l'antipasto al dolce!!!!! Ci mancherà la vostra cucina"
"ui_bubble_rating bubble_50","Un’opera vicino al San Carlo","Siamo andati in questo locale dopo aver letto le recensioni, siamo stati accolti subito calorosamente da Francesca e il suo staff. Abbiamo mangiato scamorza in carrozza, scialatielli ai frutti di mare , gamberoni (freschi) alla brace e un melone di natale per concludere. Non potevamo capire in posto migliore perche’ la qualita’ del cibo e’ molto alta e si mangia con serenita’ . E’ una trattoria ma vi assicuro che ci hanno viziato nel servizio. Consigliato per chi si trova in zona e dopo la visita al San Carlo non potevamo scegliere posto migliore. Se siete indecisi fatevi consigliare perche’ sono molto bravi."
"ui_bubble_rating bubble_40","Semplice e buono ","Abbiamo pranzato oggi in questa trattoria gestita da una donna fortissima, Francesca , che fa sentire la sua presenza sia in sala che in cucina (rigorosamente a vista). Pochi piatti, per fortuna (diffido dei menù kilometrici) e cucinati benissimo e velocemente. Abbiamo preso un fritto misto di neonata e calamaretti ( a Napoli li chiamano diversamente ma io non mi ricordo come), fiori di zucca e pasta cresciuta, tutto ottimo e leggerissimo; scialatielli con vongole e pomodorini; spaghetti ai ricci di mare (sublimi); pesce spada alla griglia; calamari e gamberoni sempre alla griglia, friarielli ripassati, melanzane a funghetto tutto veramente leggero e saporito. Falanghina, acqua e alla fine un bel limoncello fresco. In cinque meno di 30 euro a testa!! Che dire? Sicuramente torneremo, visto che adoriamo Napoli. Attenzione però: è aperto solo a pranzo e, mi sembra di aver capito, aprirà a cena il sabato sotto Natale. Brava Francesca!"
"ui_bubble_rating bubble_50","Più che soddisfacente!","Cortesia, disponibilità, simpatia e tanta professionalità! Cucina tradizionale di ottima qualità! Consiglio vivamente. "
"ui_bubble_rating bubble_30","Un pranzo improvvisato","Piccolo e semplice locale trovato sotto il mio hotel al centro di Napoli, a prima impressione devo dire ben accogliente e arricchito da un ottimo profumo. Dopo essere stati accolti in modo impeccabile dai proprietari ed essere stati serviti in pochi minuti abbiamo finalmente assaggiato due primi e due secondi: paccheri al pesce spada e pomodorini gialli, buono ma non eccezionale con i sapori poco forti e distinguibili; spaghetti freschi alle vongole davvero ottimi e con vongole abbondanti e squisite; bistecca di manzo non eccezionale; frittura mista di pesce veramente buona e con sapori trovabili solo in città di mare. Nel tutto un buon pranzo con prezzi adeguati."
"ui_bubble_rating bubble_40","Ritorno al passato","Sono tornato in questo piccolo ristorante vicino al Municipio: come al solito Francesca non ha mancato di farci assaporare le sue specialità.Bene il solito fritto misto (con ottima falanghina).Mauro B."
"ui_bubble_rating bubble_40","Accogliente!!!","Ambiente e personale molto accogliente.Spaghetti con le vongole veraci buoni .Abbiamo mangiato al volo ma torneremo con più calma per gustare altre specialità!!"
"ui_bubble_rating bubble_50","Trattoria fantastica","Son andato a pranzo con amici. Arrivati verso le 14.15 le ragazze ci hanno accolto e subito hanno spiegato i piatti del giorno. Il servizio velocissimo e ottimo. Ottima la pasta con speck e carciof e la melanzanata ripiena. I prezzi sono nella norma. Il locale molto accogliente e carino. Se torno a Napoli senza dubbio cercherò questa trattoria. Un 10."
"ui_bubble_rating bubble_50","Ottimo pranzo casareccio","Ottima trattoria a conduzione familiare in centro a napoli.. Io personalmente ho preso le linguine zucchine e cozze una vera e propria bonta tutto cotto al momento..Di secondo invece una frittura di mare sempre fatta al momento la cuoca tagliava davanti a me i calamari Prezzi nella mediaConsigliato se si vuole mangiare a casa "
"ui_bubble_rating bubble_50","Un modo speciale di trascorrere la pausa pranzo","Francesca per noi impiegati è un punto di riferimento! Quando non vogliamo mangiare il solito panino o abbiamo voglia di cucina familiare, lei c'è. Gli ingredienti sono di alta qualità dalla pasta al resto, la cucina è da trattoria, ma con classe. La cosa bella di questo posto è che è diventato il mio punto di riferimento al centro di Napoli anche quando sono in giro con amici o con la famiglia. "
"ui_bubble_rating bubble_40","Ottima trattoria a gestione familiare","Siamo stati a pranzo e ci siamo trovati veramente bene. Abbiamo mangiato gli scialatielli freschi con vongole come mai mangiati prima, gustosissimi e ben conditi. Molto buone anche le linguine con zucchine e cozze dei nostri figli, antipasto con calamaretti e cicirelli molto gustoso. Prezzi leggermente sopra la media per quanto riguarda il genere di trattoria ma l'altissima qualità giustifica in pieno il prezzo pagato."
"ui_bubble_rating bubble_50","Sabato in famiglia","Ci sono andato con tutta la famiglia ed amici (circa 20 persone) Super... piatti freschi, saporiti... tanta tanta cortesia... sicuramente da provare e riprovare... grazie alla prossma"
"ui_bubble_rating bubble_50","Una conferma ","Nel centro di Napoli una trattoria a conduzione familiare da provare. Cortesia, pulizia e piatti freschi ogni giorno. Ci vengo nella pausa di lavoro e con la famiglia, sempre tutto buonissimo!"
"ui_bubble_rating bubble_40","Piu' che consigliabile !","Abbiamo pranzato in 4 il giorno 2 maggio. Accoglienza cordialissima.Piatti casalinghi, genuini e deliziosi , preparati con maestria e cura della materia prima.Tutto squisito.....( da provare , tra l'altro, : scialatielli a' vongole !!!!)Grazie, mitica Francesca !!"
"ui_bubble_rating bubble_50","Ottima pausa pranzo","Capitati nelle vicinanze per caso abbiamo con piacere trovato autenticità napoletana, cibo ottimo e prezzi onesti. Torneremo!! "
"ui_bubble_rating bubble_40","Pausa: pranzo!","Ottimo e rapido. Prezzi bassi. Davvero un posto ottimo per chiunque debba fare un pranzo veloce nello spacco. Da provare!"
"ui_bubble_rating bubble_50","Ottimo","Titolare simpatica e spiritosa accogliente il locale cibo di qualità cucinato in modo eccellente prodotti genuini pranzo tra amici molto divertente "
"ui_bubble_rating bubble_40","Un buon inizio di soggiorno napoletano","Un’ottima alternativa per un pranzetto familiare. Si suggerisce di prenotare. Un piatto e via, una frittura, o uno scialatello alle vongole (poche vongole), se si prendono più portate è già un conto impegnativo. "
"ui_bubble_rating bubble_40","LA TRATTORIA !!","pausa lavoro veloce. locale semplice ben tenuto e pulito con cucina a vista. personale veloce. proprietaria simpaticissima. possibilita' di scegliere tra diverse portate. servizio veloce. qualita' molto buona. complimenti. si esce soddisfatti spendendo poco."
"ui_bubble_rating bubble_40","Le verdure di Francesca","Ottima pausa pranzo!!! Locale famigliare, e attenzione rivolta al cliente. Le verdure una gioia per il palato. Tutto buono e al giusto prezzo!! Bravissimi"
"ui_bubble_rating bubble_30","Semplice e funzionale ","Piccola trattoria nella zona dello shopping napoletano. Menu fisso e alla carta. I prezzi partono bassi per i piatti più semplici e si alzano in pó per quelli a base di pesce, ma sempre nella media. Ho scelto i paccheri zucchine e gamberetti e di gamberetti non c'era traccia , solo pochi esemplari. Sarà che sono arrivato quasi a chiusura. Buoni comunque, spero di trovare più condimento la prossima volta. "
"ui_bubble_rating bubble_40","Trattoria semplice, economica napoletana.","Trattoria di cucina napoletana, pulita, semplice,accogliente, di buona qualità ed anche economica. Anche i servizi curati e cucina a vista. Prezzi economici (circa 15 a persona)"
