"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Ci si sente a casa e si mangia bene!","Alla grande! Abbiamo passato qui alla Trattoria Don Alfonso la sera del 31 dicembre. Difficile entrare nel 2019 in modo migliore: un cenone di San Silvestro perfetto come mix di quantità, qualità del cibo e prezzo, specie pensando alle cifre folli che girano nelle sere di festa. Io, mia moglie e una coppia di amici siamo stati ospiti della signora Giosi e della sua famiglia. Carmine, il cuoco, è stato bravo a farci mangiar bene. Tra i camerieri anche Alfonso, il piccolo di casa. Ottimi antipasti di pesce e fritti vari. Due primi, tra cui spiccava un prelibato risotto alla pescatora. E poi ostriche al forno e tanto altro. Per finire la bottiglia personalizzata di spumante. Se non volete la cucina gourmet, le tre stelle Michelin e roba simile, ma, come noi, cercate tradizione e famiglia, buoni piatti fatti in casa e cordialità, fate qualche metro fuori dal centro e correte qui!"
"ui_bubble_rating bubble_50","Cena vigilia Natale","Una bella vigilia.Avete reso la nostra cena indimenticabile.Arrivederci alla prossima volta......."
"ui_bubble_rating bubble_50","Mi avete conquistato! ","Semplicemente fantastici, gentilissimi i proprietari e buonissima la cena! Avete reso indimenticabile la nostra vigilia di Natale qui a Napoli! "
"ui_bubble_rating bubble_50","Ottimo cibo","Locale accogliente il cuoco Carmine è molto simpatico personale gentile cibo di ottima qualità. Sicuramente da ritornare per provare altre specialità lo consiglio"
"ui_bubble_rating bubble_50","Bella serata<U+0001F606>","Io e la mia amica ci siamo recati presso questa trattoria in base alle recensioni dei viaggiatori che dire siamo rimaste contente dalla gentilezza del personale e che dire del cibo tutto ottimo da provare la marinatura di pesce grazie alla prossima"
"ui_bubble_rating bubble_20","Cena cosi cosi","Proprietari gentili, antipasto buono, dolce (tiramisu) mezzo congelato e mezzo no . Location un pò in disordine. Mi riservo una nuova visita per dare una seconda chance al locale."
"ui_bubble_rating bubble_50","Grandi","Un grande plauso alla Trattoria Don Alfonso , il grande Carmine con la sua Metà grandi accoglienza familiarità e tanta professionalità.... che bella vitaccia assurda... by ISoprano"
"ui_bubble_rating bubble_50","Sapori di Napoli","Ambiente accogliente, personale più che cordiale e disponibile. Ottima cucina, come quella della “nonna”. Prezzi giusti per la quantità e la qualità del cibo. Consigliato!"
"ui_bubble_rating bubble_40","Ottimo dal inizio a... Quasi fine","Ottima trattoria fuori dai classici circuiti del centro storico, vomero ecc. Cibo buonissimo della tradizione che si sposa perfettamente con la cordialità del personale. Nota negativa un tiramisù che nn era un tiramisù. Nel complesso lo consiglio e affermo che l esperienza conviviale e il buon cibo ad un ottimo prezzo valgono la pena di arrivare fino a Poggioreale. "
"ui_bubble_rating bubble_40","Compleanno","Ottima trattoria a conduzione familiare, cibi freschissimi e ben preparati e il personale è molto attento a non farti mancare nulla. Ti senti come a casa e spendi poco."
"ui_bubble_rating bubble_50","Prelibatezze Partenopee","Da premettere che io e mia moglie siamo appassionati di buona cucina , io sono anche pescatore e quindi mangiamo pesce fresco tutto l'anno cucinato direttamente a casa nostra. Incuriosito dalle recensioni estremamente positive sui piatti di mare proposti nella Trattoria Don Alfonso , ho deciso di prenotare una cena per due per giovedi 22 novembre.Ad accoglierci in sala , la Signora Giosi , moglie dello Chef Carmine , che ci ha accolto con estrema cordialita' nel suo locale ,all' inizio ci ha chiesto delle nostre preferenze e dei nostri gusti , ha poi proseguito illustrandoci con chiarezza e dovizia di particolari i piatti proposti in serata .Abbiamo cominciato con una chicca , Crostone di Montevergine , Parmigiana di Melanzane amalgamata con una base di pane , croccante al punto giusto, e gia' qui ho capito di essere giunto nel posto giusto . Delicatissimo antipasto di mare in ingresso Salmone Tonno e filetti di pesce con insalata erba cipollina e aceto balsamico, poi come primi uno squisito spaghetto a vongole per mia moglie e un pacchero saporitissimo melanzane salsiccia e provola per me , per i secondi ci siamo affidati direttamente al consiglio dello Chef ,Tonno e Salmone in Agrodolce buonissimo dal sapore molto particolare e Carre' di Agnello molto tenero e cotto a puntino,per dolce una buona cassata napoletana .Sicuramente la qualita' delle materie prime utilizzate e' di prima categoria , e ne abbiamo avuto conferma alla fine della cena dallo Chef e che si e' intrattenuto al nostro tavolo chiacchierando amichevolmente con noi sulla passione in comune per la cucina, per finire la Signora Giosi ha dato a mia moglie un piccolo omaggio molto gradito . Ritorneremo sicuramente da Don Alfonso, stavolta con figli al seguito , per l'indiscusso valore dei cibi proposti , la simpatia dei titolari e per il favorevole rapporto qualita' prezzo del conto"
"ui_bubble_rating bubble_50","Un ristorante silenzioso, nel cuore di Napoli, con ottima cucina.","Siamo stati a cena in questo piccolo ristorante, con i tavoli disposti in modo da poter parlare sottovoce. Il personale di sala è cortese e simpatico. Abbiamo mangiato ottima pasta alla genovese, tris di merluzzo e merluzzo fritto in modo spettacolare, croccante e morbido all'interno. Veramente ben cucinato."
"ui_bubble_rating bubble_50","Meraviglia delle meraviglie!<U+0001F60D><U+0001F60D><U+0001F60D>","Siamo stati in questo ristorante la sera del 7 novembre dopo aver letto antecedentemente delle bellissime recensioni di chi già aveva fatto questa esperienza....Che dire? Sarebbe troppo lungo raccontare questa esperienza davvero bellissima. Già prima del nostro arrivo la proprietaria ci ha telefonato premurosamente in quanto avevamo prenotato per cenare prestissimo...dolce e affabile. Arrivati al loro ristorante ci hanno accolto facendoci sentire dopo poco coccolati. La cucina di Carmine proprietario e chef del locale SUBLIME! Tutti prodotti freschissimi e cucinati con amore,ogni nostro desiderio da entrambi esaudito...Essendo figlia di uno chef che amava il suo lavoro e che sceglieva personalmente e meticolosamente ogni ingrediente usato nelle sue cucine posso assicurare che se si vuol mangiare bene davvero a Napoli, Trattoria Don Alfonso è stata una meravigliosa scoperta in cui ritornarci spesso! L'unica cosa che posso consigliare è di andarci e di corsa...È inutile avere un bellissimo panorama e poi mangiare in modo mediocre se non peggio! A presto sarò di nuovo lì e non vedo l'ora. Dimenticavo... degno di nota anche il conto, prezzi onestissimi e con The Fork non ho parole. Forza ragazzi continuate sempre così!"
"ui_bubble_rating bubble_50","Qualità e cortesia","Pranzo di famiglia tra cognati e tre sorelle (Napoli,Caserta,Roma), cercavamo un locale dove pranzare e stare insieme. Siamo stati accolti con educazione, gentilezza e cortesia, subito messi a nostro agio. Sembrava di essere in famiglia. Abbiamo mangiato a base di pesce, freschissimo, cucinato in maniera semplice e deliziosa, molto accuratezza nella scelta delle materie prime. Tutto buono dall’antipasto al dolce, ottimo il pan di Spagna della torta. Il conto molto contenuto e le porzioni abbondanti. Peccato per il locale piccolo e la posizione meriterebbero molto di più, ma vale la pena andarci. Tornerò sicuramente per gustare il menù terra. Complimenti a tutti voi."
"ui_bubble_rating bubble_50","Alla ricerca del gusto","Inaspettatamente mi trovo in questa trattoria e con enorme sorpresa vengo accolto da un ragazzotto dolce e cordiale che ci fa accomodare ed illustra il menu. Tutto buono e genuino cosa dire di più, lasciatevi tentare dalle tante pietanze, tanto quel che prendete prendete é tutto buono"
"ui_bubble_rating bubble_50","Ospitalità e cuore","Io e la mia famiglia abbiamo scelto la trattoria Don Alfonso per la nostra prima cena a Napoli. Non conoscendo la città ci siamo avventurati presso il ristorante alla cieca e per averla fatta a piedi eravamo stanchi e un po frastornati dall’ambiente esterno. Appena entrati i proprietari ci hanno fin da subito ‘coccolato’ e fatto sentire a casa, facendo passare tutto in un attimo.Il locale è bello ma cosa fondamentale ha un cibo OTTIMO, ogni pietanza ordinata ti fa rimanere con il sorriso per averla presa. Risaltano il pesce fresco e i fritti che sono qualcosa di impagabile.In questo locale si respira il cuore della gente di Napoli, nessuno deve perdere l’occasione di passare a fargli visita perché si perderebbe tanto!"
"ui_bubble_rating bubble_50","Sentirsi a casa ","Abbiamo mangiato molto bene, tipicità napoletane, antipasto di pesce, fritti, pasta. Molto cordiali e accoglienti, ci hanno proprio coccolati!!grazie!"
"ui_bubble_rating bubble_40","Strada facendo","Per la nostra prima cena a Napoli abbiamo scelto di andare a mangiare da Don Alfonsoin quanto di strada per la nostra destinazione seraleAccolti con simpatia e gentilezza da parte di Giosy e Carmine che ci hanno fatto sentire a casa Abbiamo mangiato molto bene e avendo prenotato con the Fork usufruito di uno scontoUnica pecca, ma non per colpa loro, la posizione Meriterebbero maggiore visibilità ma andateci comunque"
"ui_bubble_rating bubble_50","Ottima qualità","Mi sono recato durante un viaggio di lavoro, Trattoria a conduzione familiare, gestori estremamente simpatici e accoglienti, cibo ottimo, sopratutto per la qualità delle materie prime. CONSIGLIATISSIMO!"
"ui_bubble_rating bubble_50","Pranzo in amicizia","Si mangia bene, è accogliente. Consigliato vivamente. Ideale per trascorrere due ore di tranquillità con gli amici magiando piatti tradizionali preparati con cura.Personale simpatico"
"ui_bubble_rating bubble_50","Ci siamo sentiti dei re","Abbiamo mangiato benissimo, ma soprattutto siamo stati accolti dalla proprietaria, gentilissima, nel migliore dei modi. La signora Giosy ci ha riempito di premure (e di Buon cibo). Tutto buono dal primo al dolce. Abbiamo gustato piatti della tradizione napoletana e anche qualche riuscitissima rivisitazione e ci siamo sentiti coccolati da tanta ospitalità. Eravamo un gruppo numeroso e con diverse richieste, causa allergie e qualche indisposizione temporanea, Giosy ha saputo accontentarci tutti! Il conto molto contenuto e le porzioni abbondanti. Se vi trovate nelle vicinanze andate, altrimenti vale la pena fare qualche passo in più per assaggiare la cucina di Carmine e l'ospitalità della padrona di casa. Grazie mille!"
"ui_bubble_rating bubble_50","Abbiamo mangiato benissimo","Personale gentilissimo, cibo ottimo, prezzo contenuto, a due passi dall'albergo. Torneremo sicuramente."
"ui_bubble_rating bubble_50","La qualità in un piatto","Mi sono fermata per pranzo mentre tornavo da lavoro. E' di ualità eccellente, la vera classica trattoria napoletana! La qualità dei prodotti è eccellente e le ricette sono fatte secondo la classica tradizione napoletana! Ci ritornerò di sera perchè ne vale la pena!"
"ui_bubble_rating bubble_30","Pranzetto al volo","Accolti da piacevole gentilezza! Abbiamo preso un antipasto misto di mare e un primo: spaghetti con vongole. Nulla di eccezionale, ma tutto molto buono. Il primo abbondante, antipasto nella media.. Ci è stato applicato lo sconto del 30% grazie alla prenotazione fatta con the fork. "
"ui_bubble_rating bubble_50","Impressione ottima","Ambientino confortevole e le persone a suo interno garbate educate ed amorevoli verso il cliente... cucina veramente ottima..."
"ui_bubble_rating bubble_50","Fenomenale","Ci abbiamo mangiato oggi a pranzo, dire che abbiamo mangiato bene è riduttivo , menù mare fantastico, pesce freschissimo cortesi e cordiali,prezzi bassi, consigliatissimo ci torneremo senz’altro"
"ui_bubble_rating bubble_50","semplicemente stupendo","A Napoli per una gita cercato trovato e prenotato con the fork....dal centro di napoli navigatore alla mano siamo arrivati in periferia e devo dire che a vederlo da fuori dava un aspetto tutt'altro che bello aituato praticamente sotto la tangenziale...poi entri .......il posto non e molto grande ma da subito capisci che ti troverai a tuo agio .il proprietario gentilissimo e alla mano il servizio eccellente ed i piatti straordinari....rapporto qualità prezzo superlativo anche senza the fork.....i prezzi sono ottimi il titolare una persona squisita ed onesta ...abbiamo chiesto le vongole ma non le ha consigliate perché prese da poco e ancora non spurgate del tutto dalla sabbia.lo consiglio vivamente a tutti e fantastico tutto buonissimo....."
"ui_bubble_rating bubble_50","A pranzo prima della partita ( sic ).","Incuriosito dalle recensioni e dal fatto che vedo spesso questa Trattoria frequentando la zona per lavoro mi sono recato con mia Moglie a pranzo in attesa della partita del Napoli.Entrando nel locale si respira subito un'aria di cordialità , titolari gentili e disponibili. Pietanze cucinate e servite ottimamente . Peccato siano chiusi a cena ma sicuramente ci ritornerò. Eccellente."
"ui_bubble_rating bubble_50","Zuppa di cozze fantastica!!!","Leggendo le recensioni mi sono recato in TrattoriadonAlfonso ...i giudizi sono veritieri, servizio accogliente, a carattere famigliare, molto attenti a soddisfare gli avventori.Il tutto perfezionato da una meravigliosa Zuppa di Cozze!!!"
"ui_bubble_rating bubble_50","Sig","Cibo squisito preparato al momento prezzi abbordabilissimi lo consiglio vivamente il locale è molto bello e pulito la selezione delle pietanze ampia tutto freschissimo"
"ui_bubble_rating bubble_40","Incontro con colleghi ","Per verificare le referenze positive e per spirito di avventura , ho prenotato in questo locale un po’ distante dai soliti canoni, sia estetici che di allocazione. Ebbene , tutto quello che ci è stato proposto è risultato oltre le migliori aspettative, dalla qualità del food al servizio, gentile dì affabilità è cortesia. Ottimi gli spaghetti alle vongole, e la frittura di pesce,alla napoletana,anticipati da diversi antipasti. Rapporto qualità prezzo eccezionale! Da rivedere "
"ui_bubble_rating bubble_50","Festa pensione collega","Per caso siamo capitati in questo locale per festeggiare il pensionamento di un collega, l'abbiamo scelto giusto per la vicinanza a lavoro, ma con nostro sommo stupore abbiamo scoperto un una trattoria anche se in zona periferica assolutamente di qualità scelta di pietanze, qualità materia prima, accoglienza familiare e simpatia. Tirando le somme top.Sicuramente ritorneremo con le rispettive famiglie. Complimenti allo schef."
"ui_bubble_rating bubble_50","Tra le migliori di Napoli e dintorni ","Locale semplice e confortevole trattamento cordiale e familiare piatti prelibati e ad altissimo livello prezzo medio basso cosa volete di più?Se proprio si vuol trovare un neo ma piccolo piccolo la zona non proprio elegante ma merita una visita o anche molte altre buon appetito "
"ui_bubble_rating bubble_50","Promosso a pieni voti","La mia ragazza ha un allergia a qualsiasi tipo di piccante,lo staff ha fatto di tutto per accontentarci,facendo un sughetto a parte solo per lei.Staff cordiale e simpaticoLocation semplice ma accogliente,piatti abbondanti con prezzi modici,che dire,tutto molto buono,dall antipasto al dolceConsigliato per chi vuole mangiare bene e genuino con prodotti freschi e con un budget alla portata di tuttiRinnovo i miei complimentiAlla prossima !!!"
"ui_bubble_rating bubble_40","Cordialità casalinga","Cucina casalinga, grande cortesia, gentilezza e cordialità.Locale semplice e genuino.La titolare sorridente ed affabile."
"ui_bubble_rating bubble_50","quotidiano","tutti i giorni ho rapporti con la trattoria ....sono cordiali pazienti e disponibilissimi mangio spesso del pesce alla piastra e risotto di mare: sono AL BACIO...appena potete fateci un salto ne vale la pena ...e buon appetito"
"ui_bubble_rating bubble_50","Che domenica fantastica"," Dopo una passeggiata x il mercato cosa ci mancava un buon pranzo e dove si va .....Grazie anche x avermi fatto fare ancora bella figura con gli amici "
"ui_bubble_rating bubble_40","Promosso...ma non a pieni voti","Il ristorante si trova in una zona non molto carina ma le ottime recensioni ci invogliano a provare.  Non appena entrati possiamo appurare la estrema gentilezza nell'accoglienza, il menù presenta vasta scelta a prezzi super onesti! Proviamo gli spaghetti alle vongole, ottimi, e una grigliata di pesce '× 2... dalle foto mostrate da altri clienti avevo visto belle grigliate con calamari e polipetti mentre quella che ci viene portata è piuttosto triste e  misera composta da un trancetto di tonno, di salmone e pesce spada (quest'ultimo non molto buono). Alle mie rimostranze sulla quantità x2 ci hanno proposto di aggiungere due gamberoni (altri 5 euro)...Il tiramisù fatto in casa, buonissimo...in generale lo consiglio ma non prenderei la grigliata "
"ui_bubble_rating bubble_50","A pranzo con romanisti ","Sera ieri sono stato a mangiare in compagnia con alcune persone di Roma e non credevo a ciò che dicevano dopo pranzato e io i complimenti li faccio allo staff della trattoria x la bella figura fatta e i miei amici di Roma vogliono ritornarci a mangiare "
"ui_bubble_rating bubble_30","domenica a pranzo, un pò di confusione in cucina","Il posto dove si trova non è dei migliori....ma il locale merita di essere provato. Le ottime recensioni parlano da sole...All'interno tavoli molto ben apparecchiati, l'atmosfera è simpatica, personale molto cortese e professionale, buono il servizio e il cibo in generale è discreto. Attesa un pò troppo lunga fra le varie portate. Buoni i cannelloni, decisamente migliorabili i paccheri con zucchine e salsiccia, ottime la provola piastrata e la parmigiana. Ad ottimo livello il polpettone, mentre la salsiccia imperiale (???) lascia un pò perplessi. Contorni nella norma, buoni i dolci.Il menù andrebbe migliorato nella presentazione oltre che specificando un pò meglio gli ingredienti dei piatti con nomi della casa. (es. la Salsiccia Imperiale)"
