"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Cena di natale top!! ","Per caso tramite the fork vengo a conoscenza della trattoria le NONNERIE... E decido di provare per la cena di Natale del nostro reparto!!! Semplicemente fantastico... Pasta fatta in loco, antipasti buonissimi e molto vari... Devo dire veramente eccezionale!Provare per credere!Ah... Cosa da non sottovalutare: i ragazzi che ci lavorano sono il top!! "
"ui_bubble_rating bubble_20","Si può trovare di meglio","Locale grazioso, senza possibilità di parcheggio, poco capiente, ma ben messo e pulito. Il locale è per clienti del posto è per pause pranzo. In caso di affollamento, come nel nostro caso, c'è da aspettare parecchio. Noi abbiamo aspettato dall'ordine circa un'ora !! Piatti con pasta fatta in casa (buona) ma dal gusto complessivo non eccezionale. Genovese molto pesante, pasta al tartufo senza sapore. Giudizio complessivo negativo sia per il servizio e l'attesa spropositata, sia per il gusto dei piatti."
"ui_bubble_rating bubble_40","Pause pranzo","Durante la settimana mi capita spesso di passare la pausa pranzo presso questa trattoria del Rione , che offre un Menù di tutto rispetto, alla modica cifra di 9 euro. Qualità eccelsa della pasta , sempre fresca, e dei secondi che giornalmente propone la cucina.Locale piccolo ed accogliente , gestito da uno Staff preparato e gentile.P.s è consigliata la prenotazione."
"ui_bubble_rating bubble_40","Cucina genuina ","Ristorantino dotato di pochi tavoli,rustico e accogliente. Si respira la giusta atmosfera. Piatti genuini, abbondanti e di qualità. Niente da dire sul cibo, si mangia bene. Unica pecca il vino, ci è stato servito non proprio freddo al punto giusto. Prezzo nella media. "
"ui_bubble_rating bubble_40","Un posticino delizioso","Sono stata a pranzo in questa trattoria in zona ospedaliera suggeritami da amici. Il posto è veramente delizioso: sala piccola ma molto carino l’arredamento che la rende calda ed accogliente. Il personale molto gentile, il proprietario viene personalmente al tavolo per assicurarsi che tutto sia a posto e per chiacchierare con gli ospiti sulle pietanze ordinate. Il fritto è ottimo, asciutto e leggero; il pesce è freschissimo; la pasta molto buona; le porzioni sono abbondanti. Il conto è in linea con quanto mangiato. Unico appunto forse è sulla genovese, trovata un po’ saporita di sale. Ci ritornerò comunque per provare altro, perché le proposte del menu le ho trovate molto originali e sono stata molto indecisa su cosa ordinare perché avrei voluto provare tutto! E poi il posto è veramente carino! Consigliato! "
"ui_bubble_rating bubble_30","Non all'altezza delle aspettative","Ho pranzato in questo ristorante in cerca di un piatto veloce e genuino, mia moglie ci era venuta altre volte ed aveva mangiato bene. Stavolta non sono stato fortunato e, a parte dei disguidi sull'ordinazione non gestiti con professionalità, i due piatti non mi hanno entusiasmato. Prezzi modici"
"ui_bubble_rating bubble_40","Una sorpresa!","Locale con pochi tavoli molto accogliente e pulito. Il proprietario che serve e consiglia in modo garbato e competente. Tutto buono e genuino dai particolari antipasti ai dolci... se proprio devo trovare una pecca direi di incrementare la lista dei vini. Per tutto il resto consigliatissimo!"
"ui_bubble_rating bubble_40","Ottima cena","Locale caratteristico e curato, personale attento e disponibile. Ottimi piatti e buon vino. Da consigliare veramente!"
"ui_bubble_rating bubble_50","Sempre più buono ","Piccola trattoria al Rione Alto, prenotazione quasi obbligatoria, locale caratteristico ed accogliente. Sono specializzati in pasta (gestiscono un pastificio a fianco da oltre 20 anni), il menù cambia sempre, a pranzo di domenica abbiamo preso: un fritto misto molto saporito e dalla frittura leggerissima, poi degli ziti fritti, tipo candele da bagnare nel ragù in una simpatica tazza, anche questi buoni. Per primo delle ruote con zucca e salsiccia, cremosi, saporiti ed abbondanti e poi una finta pizza fritta di pasta con cicoli e ricotta coperta da ragù, buona ed interessante. Per dolce 1 tiramisù in vasetto ed 1 fetta di torta. Totale con acqua 45 euro. Personale cordiale, prezzo corretto. Consigliato"
