"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Onesti sotto tutti i punti di vista","Sono stata spesso a Napoli e questa è stata una piacevole scoperta. Ristorante piccolo, semplice ma curato. Personale cordiale e preparato. Cucina partenopea da 10 e lode e prezzi più che giusti. Buona carta dei vini, lasciatevi consigliare su tutto, non resterete delusi.Tornerò sicuramente"
"ui_bubble_rating bubble_50","Un posto speciale in una città speciale","Sono stata a Napoli un paio di volte e ho mangiato in tantissimi posti, da quelli più noti ad altri meno e devo dire che non sono quasi mai uscita insoddisfatta. Questo per dire che a Napoli si mangia bene ovunque però, ci sono dei posti speciali, uno di questi è la Trattoria Nannì. In realtà mi era stata segnalata d una persona che scrisse un articolo in merito così ho deciso di andarci. Trovarla non è stato facile, essendo un vicoletto della più nota Via Toledo, ma dopo un pò di avanti e indietro finalmente ci sono riuscita. Il locale è piuttosto semplice, due sale tinteggiate color ocra con parecchi omaggi alla città di Napoli come il grande quadro che raffigura il Vesuvio o il balconcino con i panni stesi tipici dei Quartieri Spagnoli o del Rione Sanità. Il ragazzo che si avvicina al tavolo credo faccia parte della famiglia che gestisce questo piccolo gioiello, se non erro si chiama Gino. Gentilissimo con quel bel modo di fare che solo i napoletani hanno ci illustra il menu del giorno eh già, perché qui il menu cambia continuamente a seconda della stagionalità del prodotto e questa è una cosa che mi è molto piaciuta perché io non amo mangiare cose che non siano di stagione. Assieme alla mia amica abbiamo optato per l'antipasto della casa e la famosa pasta alle patate con provola che mi avevano detto essere leggendaria. L'antipasto era ottimo e abbondante, composto da alcuni classici della tradizione napoletana come le mozzarelline di bufala, il polpo alla Luciana ma anche altri tipi di pesce presentati in modi diversi. Tutto ottimo e freschissimo. Passiamo alla pasta alla provola che merita un discorso a parte anzi no un encomio perché signori io non credo di averne mai mangiato una più buona. Bella cremosa con questa provola leggermente affumicata, e i tocchetti di pancetta che ne esaltavano il sapore, non potete capire, dovete precipitarvi a provarla. Dopo siamo passate direttamente al caffè perché la pasta è davvero sostanziosa e non c'era posto nemmeno per il dolce. Il signore che ci ha servito ci ha gentilmente offerto il limoncello. Consiglio a tutti questo posticino, alta qualità delle materie prime che sono tutte a km 0 e si sente al palato, servizio perfetto e personale davvero gentile. I prezzi sono assolutamente onesti azzardo a dire onestissimi per la qualità del cibo che viene offerto. Ovviamente prossima volta che tornerò a Napoli sarà il primo posto in cui andrò a mangiare perché voglio provare anche altre pietanze. Più che consigliato!"
"ui_bubble_rating bubble_50","Piacevole sorpresa","Piacevole sorpresa, ottima trattoria locale non molto grande per cui è preferibile prenotare; ottimo servizio, ottima la cucina, prezzi convenienti. Da consigliare assolutamente."
"ui_bubble_rating bubble_40","Prenotate prima e sognate poi!","Dopo aver prenotato (requisito fondamentale!!!) lasciatevi sedurre da una cucina degna della storia e della ricchezza della cucina napoletana!Paste e patate superba!Spaghetti alla Luciana eccellenti.I paccheri ripieni una vera delizia!Il ragazzo in sala ed il padre in cucina formano una squadra eccezionale e simpatica e contribuiscono in ogni modo ad una piacevole sosta.BRAVI!!!!!"
"ui_bubble_rating bubble_50","Sentirsi a casa","Ho scelto questa trattoria qui su TripAdvisor,mai scelta fu così azzeccata!Oltre alla gentilezza,ti fanno sentire a casa.Consiglio polipo alla Luciana,Alici fritte divine,baccalà super e sbriciolona con ricotta e cioccolato incantevole!Prezzi nella media,trattoria centralissima,mi raccomando prenotate!"
"ui_bubble_rating bubble_50","Pranzo coi fiocchi","Trattoria trovata all'ultimo momento, il che aggiunge ancora più soddisfazione per l'ottima riuscita del pranzo! Il locale si presenta molto bene e l'accoglienza è stata impeccabile. Abbiamo pagato poco e mangiato tanto e benissimo, dagli antipasti al dolce. Tanto pesce ottimo, ma anche i piatti di terra non sono da meno, come ad esempio la pasta e patate con provola. Insomma: grande pranzo, ottimo servizio, conto tutt'altro che salato. Cosa si può chiedere di più?"
"ui_bubble_rating bubble_40","Intimo e ottimo cibo!","Locale molto carino e accogliente gestore simpatico e che ci sa fare.Abbiamo mangiato primi e secondi di pesce molto buoni spendendo anche poco. Unica pecca tavolo vicino alla porta ingresso un po' freddino...Consigliato!!! Bravi."
"ui_bubble_rating bubble_40","una buona prima volta","Oggi sono stata x la prima volta in questa trattoria. Nel cuore della mia Napoli. POsto molto accogliente. Ho mangiato una buona pasta e patate, un buon baccalà fritto ed un buon dolce. personale molto cortese . Ci ritornerò sicuramente presto"
"ui_bubble_rating bubble_50","Una ottima esperienza","Abbiamo cercato con insistenza di cenare in questo ristorante vicino a via Toledo. Dopo aver scoperto che il giorno precedente era chiuso per mancanza di pesce fresco. Il locale è piccolino ma caldo e accogliente. Abbiamo gustato pasta e pesce (buona scelta e discreta carta dei vini). Siamo stati sodfisfattissimi per la solerzia e la simpatia, oltre che per la bontà. Abbiamo visitato altre trattorie nei dintorni ma questa si distingue. Da ritornare!!"
