"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Cordialità e buon cibo","Non era facile trovare posto in una trattoria tipica nel weekend del 25 aprile ma cercando tra i vicoli l'abbiamo trovata e siamo rimasti soddisfatti.Staff giovane e gentile, piatti tipici in giusta quantità serviti in un clima tipico da trattoria.Prezzi nella media.Consigliato"
"ui_bubble_rating bubble_50","Ottimo!!!! ","Piccolo locale in una trasversale della centrale via Toledo. Una vera sorpresa. Cominciamo con ottime Polpettine Terra da Concetta per proseguire con Ravioli Caprese delicatissimi e buonissimi. Ma gli Scialatielli ai frutti di mare sono l'apice della cena, eccezzionali!! Si chiude con un tiramisù esagerato... Peccato essere pieni e non avere spazio per altro. Complimenti allo staff. Ragazzi giovani, gentili e cordiali. Serata perfetta"
"ui_bubble_rating bubble_40","Buono","Basandosi sulle recensioni e i consigli dei nostri amici del posto,abbiamo scelto questo location.abbiamo gradito tutto,servizio e qualità"
"ui_bubble_rating bubble_50","Molto bene.....bravi","In gita a Napoli, l'ultima sera abbiamo cercato un ristorante x mangiare pesce...,grazie alle recensioni abbiamo trovato questo ristorante piccolo ma molto carino e gestito da persone molto professionali e simpatiche....il cibo tutto ottimo....vale la pena andarci...complimenti ragazzi!!!!!Ps. Grazie x il caffè "
"ui_bubble_rating bubble_50","Sempre il top","Siamo approdati in questo locale per le buone recensioni e nn si è smentito per nulla Locale pulito camerieri cordiali cucina stellare ottimo servizio qualità e prezzo il risotto eccezionale da ritornarci "
"ui_bubble_rating bubble_20","Da rivedere","Mi sono fidata delle recensioni lasciate precedentemente perché molte erano positive...quando vado fuori non pretendo di trovare posti dove si mangia stra bene perché non è facile,ma mangiare NORMALE.Alzo le mani sulla cortesia e la gentilezza di tutti,ma i primi presi e consigliati dai camerieri come piatti eccellenti non sono niente di che..il prezzo è basso questo è vero ma noi visitatori non dovremmo enfatizzarla più di tanto.Non ci tornerei."
"ui_bubble_rating bubble_40","Tipico ","Siamo stati in questa trattoria tipica,Il cibo è buono e casereccio lo staff gentile.Consigliata la prenotazione "
"ui_bubble_rating bubble_50","qualità , pulizia & cortesia","Ci sono stato il giorno della befana (ieri) con il pienone ma nonostante ciò siamo stati seguiti e trattati dal personale con attenzione e cortesia . Ottimi poi gli antipasti ed i primi piatti presi . Meritano una ottima recensione in quanto al centro di Napoli ormai sono tanti i posti dove si mangia ma la qualità scarseggia !"
"ui_bubble_rating bubble_50","Bella esperienza","Ci è stato suggerito il locale e con piacere abbiamo confermato ciò che ci è stato detto..si mangia bene e a un ottimo prezzo..inoltre ci è stato offerto dolce e ammazzacaffè. Consigliato!"
"ui_bubble_rating bubble_50","Rustico","Per cena ci fermiamo in questa trattoria che ci ispira già dall’esterno.Il personale è cordialissimo ed efficace e le pietanze gustosissime.Prezzi modesti #abbuffatevi"
"ui_bubble_rating bubble_50","Trattoria delle 7 meraviglie","... Cibo ottimo pesce buono ed abbondante e prezzi economici...Simpatici e cordiali i camerieri consigliatissimo"
"ui_bubble_rating bubble_30","Piacevole cena","Cena X 4, personale gentile, locale caratteristico nei quartieri spagnoli, ottimi scialatielli, tagliere buono dovrebbe essere più abbondante, ottimi i dolci, prezzi nella media di locali simili"
