"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Top player","Si mangia bene,sempre. Buoni gli antipasti,ottima la pasta e fagioli( ma già lo sapevamo) ,grigliata di pesce che mantiene le attese.Prezzo nella norma"
"ui_bubble_rating bubble_40","Ottimo ristorante","Visitato per cena grazie a consigli ricevuti in reception dell’hotel. Consiglio estremamente corretto, ottima qualità dei cibi, velocità del servizio buona. Naturalmente si sta un po’ stretti all’interno in quanto il locale è decisamente piccolo ma questo non può certo influire sull’ottimo rapporto qualità prezzo. Da provare"
"ui_bubble_rating bubble_50","PRANZARE IN FAMIGLIA","Ogni volta che vado a Napoli non posso mancare il mio appuntamento con la Trattoria antica capri. Ogni volta ti sembra di pranzare o cenare in famiglia. Trattoria senza tante pretese ma ambiente veramente familiare. Ottimo il loro piatto di punta: la pasta e fagioli con i frutti di mare...mi ricorda tanto quella della mamma e le coccole....Ottimo il rapporto qualità prezzo."
"ui_bubble_rating bubble_50","Cucina Napoletana DOC.","Durante il soggiorno a Napoli, su consiglio di amici, abbiamo cenato presso Trattoria e Pizzeria Antica Capri … l'ambiente è piccolo, i tavoli sono contati, l'ambiente è il tipico locale di Napoli e la cucina direi veramente eccezionale. Abbiamo iniziato con una serie di antipasti locali per assaporare il vero gusto Napoletano …. nulla da eccepire ! a seguire una pasta fatta in casa con moscardini e per chiudere non si poteva non prendere il Babbà ! Accoglienza ottima, locale pulito, servizio professionale, una cena davvero ottima per riportare a casa uno splendido ricordo della cucina Napoletana. Tassativa la prenotazione anche con qualche giorno di anticipo ! Da provare …"
"ui_bubble_rating bubble_50","una visita partenopea","se visiti la splendida Napoli e ti trovi in Via Toledo,non puoi saltare il cibo offerto da questa meraviglia di trattoria,posto piccolo pochi coperti ma cibo eccezionale servitocon garbo e simpatia dai gestori e collaboratori.Se sicuro vuoi mangiare ti convieneprenotare , prezzi allineati alla qualita' del cibo e quantita'. Non ti pentirai della scelta."
"ui_bubble_rating bubble_40","Befana in Trattoria","Oggi in occasione della Festa dell’Epifania con la mia famiglia siamo andati a pranzo all’Antica Trattoria Capri.Cosa posso dirvi, Trattoria tipica napoletana, accoglienza immediatamente familiare, ottimi ed abbondantissimi antipasti, primi piatti all’altezza delle migliori attese, servizio cortese semplice e molto efficace ed efficiente. Cosa poter dire di meglio.Alla fine il conto assolutamente adeguato a tutto quanto avuto sino a quel momento.Torneremo sicuramente e consiglio spassionatamente a chiunque pensasse di andarci di non perdere l’occasione.Complimenti e grazie di tutto."
"ui_bubble_rating bubble_30","Che caduta dalla recensione del 2014","Recensito 19 luglio 2014Un ottimo motivo per tornare a Napolimia moglie ed io abbiamo pranzato all'antica capri il 7 luglio.Come già capitato in un'altro ristorante di napoli viste le porzioni enormi abbiamo premesso al cameriere (propietario) che a noi piaceva degustare un pranzo completo ma con porzioni umane.Nell'attesa della mitica pasta e fagioli del pescatore cotta in una pentola di terracotta ricoperta con pasta di pizza (indimenticabile) ci sono state portate bruschettine con pomodoro, inoltre il personale che data l'ora pranzava accanto a noi ci ha fatto assaggiare delle alici fritte molto buone e ad un 'altro tavolo ha allungato un piatto di cozze di scoglio alla marinara. Abbiamo poi mangiato su consiglio del proprietario un polipo in umido , super e delle verdure grigliate stupende. Anche qui come in un altro locale dei quartieri spagnoli l'atmosfera e molto familiare si conversa con vicini di tavolo e con il personale come se si fosse in una grande famiglia riuniti a pranzo.Ritorneremo sicuramenteR0sa & Francesco VeronaRECENSIONE del 29/12/2018ritornato a visitare questa trattoria che mi aveva entusiasmato(vedi recensione sopra) sono rimasto profondamente deluso dall'atmosfera (non c'era più nulla della familiarità, della cordialità della napolitanità, se si può usare questo termine), dalla pienezza del locale (i tavoli erano talmente ravvicinati e affollati che la cameriera stessa era in difficoltà a servire i clienti). Non ho particolari appunti da fare sul cibo, ma il desiderio di fare più coperti possibili, secondo me ha influito sulla tipicità e sulla cucina di questa storica trattoria.Peccato....il turismo talvolta se gestito solo in vista dell'immediato guadagno...può rovinare anche le cose più belle....."
"ui_bubble_rating bubble_40","Una bellissima sorpresa","Nella zona dei quartieri spagnoli a Napoli, trattoria tipica, ambiente piccolo ma accogliente e pulito. Piatti della tradizione napoletana fatti con cura, buona qualità e prezzi bassi. Buono anche il vino. Da Provare"
"ui_bubble_rating bubble_50","Che dire: si mangia benissimo. Pesce fresco e totale disponibilità del titolare nel cercare di soddisfare il cliente!!","Ambiente familiare. Tipica trattoria a gestione familiare. Piatti cucinati al momento con prodotto freschissimo!!"
