"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Risotterrato ottima","Abbiamo preso due risotti (zucca e provola uno, l’altro salsiccia e funghi) ottimi e porzioni abbondanti, come secondo tagliata di carne, altrettanto buona. Ottimo rapporto qualità/prezzo. Simpaticissimi Jason e Rita! Tornarci è obbligatorio."
"ui_bubble_rating bubble_50","Ottimo!","Assolutamente da provare! Risotto con funghi e salsiccia buonissimo. Siamo rimasti piacevolmente sorpresi anche dal secondo, una buonissima tagliata di manzo con verdure e anche il tortino al cioccolato era ottimo"
"ui_bubble_rating bubble_10","Delusione","Ci eravamo già stati l’anno scorso e ci era piaciuto, ma stavolta siamo rimasti delusi: risotto già cotto in precedenza, slegato dai condimenti e secco. Ci sono arrivati prima i risotti e poi l’antipasto perché “la cameriera aveva dimenticato di mandare la comanda dell’antipasto” (no, semplicemente i primi erano già fatti). Prezzi altissimi, tavoli così attaccati che non ci si riesce nemmeno a sedere, zero privacy. Il giorno dopo la cena siamo stati stomacati e nauseati per molte ore. Mai più."
"ui_bubble_rating bubble_50","Cena speciale ","Locale moderno e accogliente offre una vasta scelta di risotti e secondi piatti. Abbiamo scelto un risotto verde e uno norvegese, entrambi molto buoni e abbondanti nelle porzioni. Tortino al cioccolato approvato. Servizio veloce, simpatico e attento (Jason e Daniela in particolare).Prezzi onestissimi."
"ui_bubble_rating bubble_50","Ottimo ristorante","Ottimo ristorante, puoi mangiare ottimi risotti e tanti altri piatti. Un ringraziamento speciale a tt i camerieri, e a Jason che ci accontenta sempre"
"ui_bubble_rating bubble_50","Una befana da valù","Abbiamo deciso di trascorrere una befana un po’ diversa così abbiamo prenotato da Valù, che dire tutto eccellente. Si inizia con il personale molto gentile, in particolare Jason molto simpatico e disponibile. Consigliato!!!"
"ui_bubble_rating bubble_50","Un vero piacere per il palato e per la compagnia!","Sono stata a pranzo in questo ristornate con mia madre, conoscevamo già lo storico locale dei quartieri spagnoli, ma abitando al vomero abbiamo deciso di andare da quest’altro. Bhe ottima scelta! I risotti buonissimi , quelli melanzane e provola una delizia , ma a parte la cucina una nota va fatta soprattutto per jason, un cameriere adorabile , cortese ma vivace , non mancherà di essere amichevole e farvi sorridere più di una volta durante il vostro pasto!"
"ui_bubble_rating bubble_50","Risotto TOP","Arrivati su indicazione di una conoscente, abbiamo deciso di provarlo in un freddo pomeriggio di gennaio . Direi assolutamente promosso : risotto ai 4 formaggi ottimo , tempi rapidi, servizio cortese e veloce ( bravo Jeson!) , menu’ del giorno dal prezzo interessante. Insomma da ritornarci e consigliato a chi ancora non lo conosce . Approvato ! "
"ui_bubble_rating bubble_50","Risotti e risate","Risotti squisiti, ingredienti genuini. Lista dei vini varia. Ambiente sobrio...personale cordiale...e poi c'è Jason che serve ai tavoli non solo pietanze ma anche tanta allegria. Grazie. Torneremo per l'ennesima volta :)"
"ui_bubble_rating bubble_50","Mio compleanno","Pranzo veloce e buono. Cameriere jason molto gentile e simpatico.ottimo qualità e prezzo è da ritornare ancora."
"ui_bubble_rating bubble_50","Facciamo un risottino","Altro che risottino, è un piatto di eccellenza, ottima cucina, abbiamo assaggiato vari ricette dal menù, sia a pranzo che a cena. Bella accoglienza e disponibilità con i bambini. Lo consiglio per ogni età per gustare dell'ottimo riso."
"ui_bubble_rating bubble_20","Carissimo","Sono cliente da sempre e dico che i prezzi a mio avviso sono arrivati alle stelle. Onestamente dico che la qualità c'è per carità tutto buonissimo ma a livello di prezzi non ci siamo proprio . Un antipasto di verdura in 3 , 3 risotti , 1 patatina in 3 e na bottiglia di vino più di 100 euro . Ma la cosa più grave sono i prezzi dei dolci e degli amari , 4 euro un diro di amaro del capo. La qualità c' è ma rapporto qualità prezzo pessimo. Servizio al tavolo da rivedere."
"ui_bubble_rating bubble_40"," Ottima risotteria e buon vino ","Ho trovato questa risotteria davvero ottima. Bello il locale , ottima l'accoglienza ed il servizio. Abbondantissima la scelta dei vini. Il tutto per me veramente ottimo. Bravissimi"
"ui_bubble_rating bubble_20","Cena ","Se è specializzato in risotti bisogna rivedere o specializzazione o la serata in cui sono stato io perché non è andata bene. Riso scondito. Personale cortese e disponibile "
"ui_bubble_rating bubble_50","Jason star","Atmosfera accogliente, cibo buonissimo e servizio ottimo !! I risotti sono ovviamente il piatto forte, ma anche il resto molto buono. Quello che vince è sicuramente il servizio, Jason ha fatto la differenza!! Decisamente da provare ancora e ancora! "
"ui_bubble_rating bubble_50","Buon onomastico ","Locale molto accogliente,risotti molto buoni, e antipasti gustosi... ci ritorneremo sicuramente era da tempo che volevamo andare in questo locale e devo dire che ne è valsa la pena! CONSIGLIO"
