"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_20","Aspettative disattese ","Colpito dalle ottime recensioni decido di pranzare qui con la mia compagna. Innanzitutto da ristorante stellato come pane non me ne si può portare a tavola un solo tipo. Come primo ho preso un normalissimo ragù e sinceramente a Napoli con molto meno se ne trovano di più buoni."
"ui_bubble_rating bubble_40","Un altro tassello nel mosaico del mangiar bene ed oltre i consueti stereotipi a Napoli centro","Locale minimal ma ben curato, intimo, cibo di qualità assoluta e magistralmente cucinato, dalle tante amuse-bouche fino a dolci e piccola pasticceria. Servizio con qualche sbavatura: i camerieri a volte si sono accavallati nel richiedere più volte circa il prosieguo della nostra cena, dando seguito a quanto richiesto solo alla terza volta. Parcheggio comodo a pochissimi metri. Conto nella norma per un locale di questa categoria."
"ui_bubble_rating bubble_20","Cenone di capodanno, da non ripetere","Abbiamo prenotato questo ristorante per capodanno. Cibo buono, quindi lo chef si meriterebbe una migliore recensione, ma nell’insieme il ristorante non merita sicuramente una stella Michelin, in quanto:- Servizio non adeguato. Mancano proprio le basi di qualsiasi ristorante: appena seduti ci viene data la lista dei vini, poi nessuno ci chiede più nulla e ci servono i 3 piccoli aperitivi da mangiare previsti dal menù. Continuamo a non avere nulla da bere, neanche l’acqua. Quando finalmente se ne accorgono, ci portano la lista di acqua ed aperitivi, ma ben tardi.- Lista di vini di cui il meno caro a 70€, ciò non avviene neanche nei ristoranti con 3 stelle Michelin- Nessuna presentazione dei piatti, a parte il primo- Allo scoccare della mezzanotte, in mezzo al ristorante di fronte a tutti, si stappano la bottiglia e brindano senza offrirci nulla e senza garantire la prosecuzione del servizio al cliente- Conto finale senza che figuri nello scontrino l’acconto pagato in anticipo: figura 360€, invece abbiamo pagato 468€. Assolutamente troppo caro!Comunque i piatti semplici ed il menù armonico nel suo insieme mi sono piaciuti molto, a parte il piatto col tartufo inesistente (probabilmente non di buona qualità o vecchio) ed il dessert un po’ sottotono.Allego foto di menù e conto."
"ui_bubble_rating bubble_50","La verità sta nelle cose semplici","Il bello di questo ristorante è la voglia di coccolare i propri clienti con un Menù raffinato ma non troppo impegnativo. Piccoli assaggi nei tempi di attesa e servizio al tavolo curato e non invadente. Il design interno appaga l’occhio anche se da architetto impertinente avrei qualche appunto da fare. La cordialità è di casa e ci tornerei volentieri. Davvero una piacevole serata."
"ui_bubble_rating bubble_50","Ottima cucina partenopea, ingredienti superlativi.","*** Locale ***Situato in posizione collinare, non è particolarmente centrale, ma ciò lo rende più intimo, in quanto esterno rispetto alle usuali rotte turistiche. Le sale da pranzo sono ampie, arredate secondo un gusto moderno ma sobrio, senza eccessive ostentazioni. I colori dell'arredamento e dei parati seguono le sfumature del grigio, mise en place impeccabile.*** Servizio ***Professionale ma non distaccato, capace al momento di una battuta ma nel contempo di consigliare. I piatti vengono introdotti succintamente, in maniera chiara. Aspetto da non sottovalutare nella ristorazione stellata.*** Cibo e vino *** Amuse-bouche molto graditi: mozzarella su crema di pomodoro e gambero con friarielli un omaggio alla migliore tradizione partenopea, fatta di incredibili ingredienti esaltati nella loro semplicità, grissini alle alghe inconsueti ma piacevoli.Antipasto: uovo pochè con tartufo nero, alice e topinambur. Suggestioni terra-mare in un piatto molto complesso, dove ingredienti altamente caraterizzati sono stati fusi con maestria.Primo piatto: linguine con scorfano, scarola, olive nere e cappri. Forti riferimenti alla tradizione napoletana delle scarole in un primo semplicemente magistrale, imperniato su una cottura perfettamente centrata e il gusto vegetale, astringente ma elegantissimo delle scarole. Nulla da eccepire.Secondo: pescato del giorno all'acqua pazza con tapioca e nocciole. Pelle croccante e un gusto delicato che esalta il sapore del pesce, senza aggiunte inopportune. Un piatto che emana una classicità senza tempo.Dolce: Cremoso al cioccolato con biscotto all'amaretto e crema inglese alla vaniglia. Pura golosità, nella quale il cioccolato emerge sovrano. Un dolce dove i riferimenti a Napoli sono meno presenti, ma dove la sensualità emerge evidente.L'abbinamento con i vini molto azzeccato, focalizzato su etichette locali o prossime, meno battute dalle carte enologiche dell'alta ristorazione, piccole gemme a tiratura limitata che meritano di emergere, soprattutto se abbinate a una cucina di chiara impronta partenopea.Aspetto conto difficile da dirimere, come ogni volta che si assaporano le pietanze di un ristorante elencato nella rossa. A mio parere le emozioni suscitate dalle pietanze sono state forti, l'abbinamento ai vini innovativo e centrato. Assolutamente da scoprire."
"ui_bubble_rating bubble_50","Bella esperienza","Design del locale molto basic, ma accogliente.Il cibo tutto ottimo, non ho preferito l'uovo poke, ma soltanto per il sapore molto deciso e particolare, quindi se amate sapori del genere penso vi piaccia.Ho ordinato la Palamita che ho adorato, sapore molto delicato, e le altre cose tutte super buone, anche l'idea degli intermezzi, piccoli assaggi offerti da loro... li ho adorati.Lo staff è stato molto accogliente, spiegavano i piatti e avevano molti accorgimenti.E' stata una bellissima esperienza culinaria."
"ui_bubble_rating bubble_50","Un gran bel mangiare","Ho mangiato in questo ristorante per una cena di lavoro e devo dire che ho trovato tutto perfetto: il cibo, il servizio, la cura al cliente, il posto, tutte cose non scontate per un ristorante oggi, dove molti si improvvisano o propongono fuffa dietro grandi scenari. Complimenti veramente!! Andare per credere."
"ui_bubble_rating bubble_40","Buon livello ma...","Ottimo livello ma il locale è un pò decentrato e ed è molto rumoroso. Da una stella ci aspettavamo qualcosa di piu"
"ui_bubble_rating bubble_50","l'eccellenza","Il migliore ristorante di Napoli! Un’atmosfera elegante ed al contempo semplice, grande raffinatezza nel servizio, personale attento, di classe e competente. Abbiamo scelto il menù di degustazione, con due antipasti, un primo, un secondo e dessert, con prevalenza pesce ed ogni preparazione era meglio dell’altra, nemmeno un’incertezza, tutto superbamente eccellente, cottura del pesce delicata, abbinamenti perfetti, presentazione dei piatti deliziosa. In più, quali gentili omaggi dello chef, tre benvenuti, un intermezzo e nel finale, due piccoli squisiti dessert. Cantina vino ricca e raccontata con competenza, passione e simpatia dal bravo sommelier. Complimenti, siete una vera eccellenza! Torneremo, con grande piacere, presto "
