"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_10","Baraonda senza educazione","Entriamo in 10, ci viene detto che il tavolo era pronto, scendiamo nella sala, ma non era vero e ci fanno aspettare quasi 30 min, ci accomodiamo, prendiamo l'ordine, e ci siamo serviti da soli, nel senso che ci sono stati dati solo dei piattini bagnati, abbiamo dovuto asciugarli da soli, e abbiamo dovuto cercare tovaglioli e posate nella panadora, arrivano le bibite (sbagliate) una volta fatto notare ci viene detto dalla cameriera (scostumata e arrogante) che era impossibile e posa le bibite sul tavolo, antipasti ok, i panini arrivano, chi sbagliago, chi con carne cruda, chi completamente gelato, in tutto questo sempre la cameriera scostumata, mentre spazzava a terra, prendeva i nostri piatti, una serata pessima il servizio peggio ancora. Eravamo 10 colleghi per sfortuna del locale 10 persona tra maitre e responsabili, l'unica nota positiva un cameriere (chiaramente per rimediare all'arroganza della ragazza) si scusa e facciamo 4 chiacchiere con lui"
"ui_bubble_rating bubble_50","Ottimo!","Il locale e molto carino e ha un cibo di buona qualità, e oltretutto i prezzi sono molto abbordabili. Piatti in abbondanza e non poca roba come in altri posti. Veramente ottimo."
"ui_bubble_rating bubble_30","Pub comodo e sfizzioso","Posto frequentato più volte, comodo per il parcheggio in zona (adiacente ospedale S. Bono), servizio efficiente e veloce, buone birre, panini e crostoni saporiti. Varie stuzzicherie disponibili per accompagnare il pasto. Trattasi sempre di un Pub, quindi non aspettatevi il ristorante raffinato, ma resta uno dei migliori. D'estate mette i tavoli all'esterno, coperti da gazebi, molto comodi quando fa caldo."
"ui_bubble_rating bubble_40","Molto buono","Bel locale , ben tenuto . Servizio rapido e cortese. Panini molto buoni . Personalmente ho apprezzato molto la tipologia di pane . Propone una vasta scelta di birre. Il prezzo , a differenza di altri, è consono all'offerta. Da ritornarci."
"ui_bubble_rating bubble_50","Ottimo ","Il locale è ottimo per tutto, i panini e il servizio etc... i panini sono davvero buoni.Il locale è buono anche per delle feste e delle riunioni... anche per una cena in famiglia...Il locale da inoltre la possibilità di vedere la partita del Napoli ( se gioca )..."
"ui_bubble_rating bubble_50","Buonissimo","Pub notevole, prodotti di qualità, personale cortese....davvero ottimo!!!!!Scoperto per caso ,torniamo sempre volentieri per una serata tranquilla e un buon panino"
"ui_bubble_rating bubble_20","credevo meglio","sono stata con amici ma nulla di che patate fresche moscie e cibo congelato , hamburgher di chianina ancora freddo dentro e liquori annacquati prezzo nella media titolare gomorroide e staff lo stesso!!"
"ui_bubble_rating bubble_50","Il pub che cercavo.....","Complimenti al proprietario Alfonso De Masi per aver creato il pub ideale, che sinceramente al Vomero mancava. Cibo ottimo, sale ariose, luminose e accoglienti, non buie ed anguste come la maggior parte. Gli allegri addobbi natalizi creano una calda atmosfera ed un personale attento e premuroso accoglie tutti con grande simpatia senza farti sentire un numero. Cioccolatino finale e una selezione di meravigliosi liquorini che offre la casa sono stati la ciliegina sulla torta."
"ui_bubble_rating bubble_40","Ottimo","La carne è ottima, io in particolare ho preso hamburger ripieno con funghi, buonissimo. I camerieri molto simpatici, da provare il liquore a cioccolato."
