"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Cena con amici deliziosa","Sono Venuto in compagnia di amici ed abbiamo assaporato la vera cucina tipica napoletana, con la simpatia e disponibilità del proprietario,abbiamo mangiato divinamente. Assolutamente consigliato."
"ui_bubble_rating bubble_50","Cena di gruppo","Cucina squisita e casareccia Prezzi bassi e proprietario molto disponibile e simpaticoCi ritornerò sicuramente"
"ui_bubble_rating bubble_20","Vongole alla sabbia e poca simpatia","Siamo arrivati al ristorante a pomeriggio inoltrato, consapevoli che avremmo potuto trovare la cucina chiusa. Invece ci hanno fatto accomodare frettolosamente e fatto ordinare velocemente, nonostante dopo 15 minuti abbiano fatto sedere un'altra coppia. Il locale è carino ed il menù interessante, anche se poco vario e non propriamente economico. Abbiamo preso un antipasto di gusci che si è rivelato pressoché immangiabile perché le vongole erano piene di sabbia. Lo abbiamo fatto notare al titolare il quale ha fato un'espressione sorpresa senza scusarsi, né tanto meno chiedere se volevamo qualcos'altro. Il resto dei piatti era ben cucinato, la ragazza in sala carina, il titolare brusco e per niente affabile. Poco soddisfatti, visto anche il conto piuttosto salato rispetto a quanto mangiato e bevuto."
"ui_bubble_rating bubble_50","Ottima cucina ","Ristorante pulito, mangiare veramente squisito, da provare. Proprietario simpatico. Se siete in zona entrate. Prezzi onesti"
"ui_bubble_rating bubble_50","Uno squisito angolo di cucina a Mergellina","Abbiamo trovato questa trattoria seguendo le indicazioni di Tripadvisor: abbiamo fatto benissimo a fidarci.Prodotti genuini, porzioni generosissime e molto buone.L'ambiente è informale e familiare ed è stata una sosta assolutamente felice."
"ui_bubble_rating bubble_10","Gpf","Dalle recensioni pensavamo di trovare un locale tipico napoletano e non i soliti ristoranti.Ambiente freddo e non adatto a mangiare. Qualità molto scadente anche se la cuoca ha il suo meglio.Piatti con poco sapore.Alla cassa il pos “guasto” e la ricevuta a dicembre era solo la n.74 ???????"
"ui_bubble_rating bubble_50","Locale dove mangiare una ottima cucina tradizionale ","...la voglia di tornare a mangiare gli ottimi gnocchi alla Sorrentina è tanta ..erano deliziosi oltre che le porzioni super abbondanti ..il sugo era squisito . Abbiamo anche ordinato delle scaloppine con contorni friarelli e melanzane, carne tenera e ben cucinata, per finire non potete non mangiare le fantastiche crocche di patate ...davvero inimitabili ..cucina tradizionale a prezzo più che contenuto ..abbiamo pagato 32 euro ..soldi ben spesi ..lo consiglio davvero .. "
"ui_bubble_rating bubble_40","Consigliato ","E tutto vero!!Il cibo e tutto buono e ben cucinato con leVecchie tradizioni.Locale storico che tramanda da generazione in generazione l’arte del semplice cibo ma fatto bene e di qualità "
"ui_bubble_rating bubble_40","Soddisfatti ","Ultima sera in quel di Napoli. Si esce per cenare, in zona Mergellina notiamo questo locale che incuriosisce. Bene, si entra, ci accomodiamo in questa trattoria casalinga. Di solito in queste location non serve leggere la carta/menù. Così è stato, splendide persone che gestiscono il tutto, dalla cucina al servizio al tavolo. Per cui ci lasciamo consigliare da Salvatore. Un assaggio di antipasti per poi passare ai primi, gli spaghetti alle telline e gli gnocchi alla Sorrentina veramente buoni. Salsicce con friarielli squisite. Caffè ed ammazza caffè. Il tutto preparato al momento con materia prima molto fresca. Complimenti e grazie a Voi tutti. "
"ui_bubble_rating bubble_50","Ottimo rapporto qualità prezzo","Ottima Accoglienza..cucina davvero molto buona a partire dall'antipasto fino al dolce tutto perfetto, ma soprattutto nella qualità!! Lo consiglio vivamente"
"ui_bubble_rating bubble_50","Famiglia","Da Salvatore titolare della Trattoria vini e cucina via Piedigrotta 56 ottime pietanze,clima familiare e tutti prodotti freschi...,.. semplicità e buon gusto complimenti allo chef. 5 stelle solo per buon gustai ed intenditori ritorneremo consiglio a tutti e poi mi direte....."
"ui_bubble_rating bubble_40","Buono, mi piace","trattoria tipicamente napoletana ...posto difficile da raggiungere a piedi ... consigliabile metro piuttosto che macchina (abbiamo trovato parcheggio dopo 1 ora ) ... si consiglia prenotazione perche veramente piccolo ... abbiamo preso tutto a base di mare ... tutto cucinato molto bene .... unica pecca il servizio che è un poco lento ... per il resto tutto ok"
"ui_bubble_rating bubble_40","ottimo rapporto prezzo-qualità","Ci siamo fatti consigliare dal proprietario, Salvatore, ed abbiamo apprezzato molto sia gli antipasti che i primi, oltre ad una fantastica cotoletta panata. Cucina casalinga, come facevano le nostre mamme..."
"ui_bubble_rating bubble_40","Semplicità e Bontà ","Cena buonissima anche se cucina semplice e senza fronzoli. Piatti tipici della cucina napoletana curati bene e pieni di gusto. Consigliatissimo."
"ui_bubble_rating bubble_50","Napoli è questa! <U+0001F499>","Cercavo Napoli... qui ho trovato tutto! Sapori, accoglienza, sorrisi, buon cibo, qualità... non è stato solo un pranzo ma una vera e propria esperienza!Grazie di cuore, a prestissimo!!!"
"ui_bubble_rating bubble_50","Forza Napoli!!!","Proprio quello che cercavo come cibo e come accoglienza... e se lo dice uno juventino vuol dire che è vero!!! <U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F>"
"ui_bubble_rating bubble_50","Napoletanità","Ieri ho pranzato in questa trattoria, non posso che confermare le recensioni che esaltano questo locale; i proprietari, gentilissimi ci hanno deliziati con i piatti a base di frutti di mare e pesce azzurro freschissimo accompagnato da verdure cotte dal sapore di una volta. Tornerò sicuramente in questa trattoria dove più che alla forma si bada alla sostanza."
