"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Può andar bene","Ci sono dei posti in giro per il mondo dove a pelle ti aspetti qualcosa in più, ma le impressioni molte volte stridono con i fatti. Location carina e comoda, nel cuore del Vomero, con un servizio un po disorganizzato, lento direi. Prezzi tutto sommato bassi considerando un po tutto."
"ui_bubble_rating bubble_20","Recensioni ingannevoli","Sono stata più volte in questo ristorante x valutarlo, la conclusione è stata sempre di delusione. Ambiente un po' angusto, personale che o ti sta con gli occhi puntati addosso oppure ti ignora.La qualità del cibo non l'ho trovata apprezzabile ma solo passabile in compenso i prezzi sono troppo alti in confronto a quello che offre. Scartato. Ormai non ci vado più. "
"ui_bubble_rating bubble_50","Zenbu non si smentisce mai","Ormai sono mesi che frequento questo locale, insieme ad amici e famiglia, e la qualità resta sempre il loro punto forte, ed è ciò che più li caratterizza rispetto agli altri! Ogni volta ci sentiamo sempre più a casa, in quanto i ragazzi in sala e i proprietari si mostrano sempre gentili e disponibili, creando un ambiente gioviale, ma al tempo stesso riservato ed intimo.Lo consiglio a tutti quelli che amano mangiare giapponese e vogliono provare specialità nuove, ma anche a quelli che si trovano a provarlo per la prima volta!"
"ui_bubble_rating bubble_10","Si consiglia di non chiedere lo scontrino!","AMBIENTE:molto piccolo e arredo un po’ eccessivo.CIBO: qualità media,avevamo chiesto un misto che però è stato poco misto...CONTO:ci arriva questo scontrino non fiscale,dopo aver pagato, nell’attesa dello scontrino che avevamo richiesto, la cameriera scompare...Richiedendo nuovamente lo scontrino la cameriera ci dice che l’avevano buttato, e che non potevano mettere le mani nel cestino per riprendermelo... Avendo bisogno dello scontrino, mi viene detto di passare il giorno successivo oppure di attendere. Attendiamo circa 30 minuti, infine mi viene dato lo scontrino di un altro tavolo, come potete vedere dalle foto...A voi i commenti."
"ui_bubble_rating bubble_10","E lo scontrino?","Il posto è molto piccolo, quasi angusto, con arredamenti un po kitch con un divanone corollato di brillanti. I prezzi sono molto molto alti per una qualità del sushi non eccellente. Abbiamo chiesto un set misto per 2 persone, ma sostanzialmente non c'era molta varietà. Alla fine abbiamo chiesto la fattura e abbiamo dovuto aspettare 35 minuti per averla..."
"ui_bubble_rating bubble_30","Ottimo cibo ma...","La qualità del cibo e la preparazione non si discutono, ma se si vuole tenere un livello di prezzi COSI' ALTO, occorre adeguare anche la struttura ed il servizio:- tavoli attaccati gli uni agli altri, tanto che sembra quasi di cenare tutti insieme- bagni a dir poco fatiscenti e non aggiungo altro- servizio non all'altezza: il vino che resta in fresco nella vasca col ghiaccio, non può prevedere che si aspetti 5 minuti ogni volta che si ha voglia di bere!"
"ui_bubble_rating bubble_30","Bello ma...","Bel locale, curato e di design. Cibo buono, non superlativo ma...ad un tavolo con 4 persone due vengono servite in tempi adeguati e due a fine pasto dei precedenti e solo dopo un sollecito. Oltre al cibo non bisogna dimenticare il servizio ed i suoi tempi! Un po’ di organizzazione non guasterebbe ..."
"ui_bubble_rating bubble_10","Pandora 13","è una delusione infinita le prenotazioni non sono rispettate prenotano per telefono e sul sito e sono piu' persone a prenotare per cui si crea una confusione che nulla ha a che vedere con la falsa bella atmosfera che uno passando vicino al locale crede di sentire .Dato che si genera confusione col metodo della prenotazione multipla ti accompagnano ,quando non hanno tavoli disponibili, al piano superiore del bar adiacente un luogo buio e maleodorante e quando si libera il tavolo ti chiamano.Trovo questa abitudine di cattivo gusto;certo non rilassante ed accogliente;sul cibo piatti modesti nella media diciamo pure che, per fortuna c'è di meglio!!!!"
"ui_bubble_rating bubble_30","Mah!","Non all’altezza delle recensioni...piatti modesti che non mi hanno colpito particolarmente ne per qualità che per presentazione (c’è di meglio a Napoli) caro anche se magari giustificato in parte dalla zona dove si trova, devo dire che per me cavalca solo la moda del sushi bar...e non nel migliore dei modi "
"ui_bubble_rating bubble_40","Da provare, ottima qualità!","Poche parole per descrivere questo locale, piccolo ma accogliente. Qualità delle materie prime molto buona, servizio buono ma a tratti assente. Cibo davvero buono, preparazioni fresche e fantasiose. Carta dei vini l'unica nota stonata. Per il resto lo consiglio vivamente, superiore a molti altri locali del genere a Napoli. Provatelo, non ve ne pentirete."
"ui_bubble_rating bubble_50","La qualità regna sovrana","Il locale dispone di pochissimi tavoli, quindi consiglio vivamente la prenotazione. Gli spazi sono ben studiati e seppur ambiente piccolo è tutto ottimizzato per poter trascorrere una cena rilassante. La qualità della materia prima è indiscutibile, ma non è da meno la cortesia dello staff. Impeccabili nelle descrizioni delle portate e premurosi che il tutto stia andando nel migliore dei modo. Molto buono anche il rapporto qualità / prezzo sul quale ero scettico prima di entrare. Consigliato"
"ui_bubble_rating bubble_50","Ottima cena","Ieri sera a cena, con una coppia di amici. Ci siamo lasciati guidare da Genny, il proprietario. Esperienza positivissima. Crudi, rivisitazioni, fusion. Soddisfattissimi. Materia prima eccellente. Interpretazioni dello Chef indovinate. Prezzo in linea per 4 persone data la qualità del cibo. Torniamo presto. Consigliatissimo. "
"ui_bubble_rating bubble_30","Apparenza ?","Localino nel centro del vomero, molto piccolo, con 6-7 tavoli, obbligatoria la prenotazione anche durante la settimana.Prima impressione molto positiva, cameriera cortese, una volta seduti però, ci rendiamo subito conto della mancanza di pulizia, tavolo sporco, bacchette sporche, bicchieri sporchi, insomma dovendo mangiare del crudo ti aspetteresti il massimo dell’igiene anche dal contesto.Una volta ordinato, le pietanze risultano molto buone, con un ottimo impiattamento.Nota negativa la mancanza una volta ordinato del cameriere.Il conto è molto salato.Peccato"
"ui_bubble_rating bubble_50","Per me il miglior sushi di Napoli!","Sono napoletana e mi piace molto il sushi per cui ho girato parecchio. Ma da quando ho provato Zenbu non l'ho mai più abbandonato!!! Ci torno spessissimo e molto volentieri anche perchè offrono continue novità, sempre ottime! Il ristorante si trova nel cuore del Vomero, non ha molti tavoli e l'ambiente è caldo e accogliente. Il personale cordialissimo e anche il proprietario Genny è sempre gentilissimo ed in grado di offrire ottimi consigli su cosa scegliere. Il sushi è a dir poco sublime...il pesce è sempre freschissimo, i piatti sofisticati e originali.Giusto il rapporto qualità/prezzo.Straconsigliato!"
