"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Eccellente sarebbe un'offesa ","il titolo dice tutto,pizzette meravigliosamente squisite le ho provate quasi tutte mai mangiate cosi buone la Signora ops signorina gentilissima ... che aspettate andateci ........a prestissimo"
"ui_bubble_rating bubble_50","Eccellente.","Dopo una lunga assenza ho ritrovato, oggi, un fermo pizza ancora a livelli altissimi. Preso d'assalto, complice anche il periodo natalizio, non ne ha risentito in termini di qualità. Pizze cotto in forno elettrico eccellenti, porzioni enormi a prezzi, direi, più che modici. Vasta offerta di birre varie in bottiglia. Servizio take away anche se è possibile fermarsi a consumare su uno degli appoggi presenti all'interno e all'esterno del locale. UNA CONFERMA."
"ui_bubble_rating bubble_40","RISTRUTTURATO E' PIU' ACCOGLIENTE","Ho ritrovato la location, a seguito della ristrutturazione, più luminosa ed accogliente anche con la creazione di una vetrata che dà sulla strada laterale. Le pizze a taglio e da asporto, sempre “ calde “ , hanno una grande varietà di gusti, tutti appetitosi e si ha solo l’imbarazzo della scelta : abbiamo “ provato “ ( in più volte ), oltre alla pizza margherita classica, la pizza con wurstel e patatine ,quella con salcicce e patate inoltre quella siciliana ( margherita, melenzane, fiordilatte e parmigiano ), od anche con crochet e prosciutto cotto; ma che dire di quella con salcicce e friarielli, o anche con zucca e gorgonzola ed infine quella con crema di funghi porcini. Ma occorrerà tornare più volte per gustare anche altre specialità che, l’esperto cuoco sforna con invidiabile fantasia. Prezzi veramente competitivi.Personale gentile e disponibile."
"ui_bubble_rating bubble_10","Pizza buona, ma devi essere fortunato se riesci a mangiare","Focacce molto buone, il servizio inesistente. Dopo 15 minuti di fila hanno detto che le Pizze erano finite senza neanche scusarsi, anzi, infastidendosi dellaMeraviglia di chi era li a perdere tempo come me. MAI PIÚ"
"ui_bubble_rating bubble_40","Ottimo ","Focaccia , diversa quindi dalla pizza napoletana, perché cotta in forno elettrico, più alta e soffice, e variamente condita. C è limite solo alla fantasia per i tanti gusti e abbinamenti proposti, ottima quella bianca con patate. Vendita anche di bevande e birra. Tutto rigorosamente da asporto a prezzi modici, spesso tanta folla. "
"ui_bubble_rating bubble_50","Ottima scoperta ","Mamma mia, che buone le pizzette di Fermo Pizza. Dimensioni super, sapore eccezionale, abbinamenti azzeccati.Grandiosa quella alla nduja"
"ui_bubble_rating bubble_40","Ottima focaccia","Ottima focacceria, sono stato sia a pranzo che a cena. Tranci molto grandi ad un prezzo giusto, scelta di gusti molto ampia anche se non sempre si trovano tutti. Dispongono anche di varie birre. Consigliatissima "
"ui_bubble_rating bubble_50","La fine del mondo","Dico solo : la fine del mondo!! Wrustel e patatine e patate e salsiccia sono qualcosa di indescrivilmente buono.. "
"ui_bubble_rating bubble_50","Spettacolare","Personale cordiale pizza al taglio buonissima vasta scelta tutte le specialità sono buonissime grande scelta echebper le bevande"
