"name","Cucina","Servizio","QualitaPrezzo","Atmosfera","Means"
"1","Martoranello",45,43,46,45,44.75
"2","RistoranteCohiba",44,42,45,45,44
"3","PizzeriaMannarea",43,41,43,46,43.25
"4","Foodie",42,41,43,43,42.25
"5","TrattoriaIMaceri",42,40,43,43,42
"6","NeroSublime",42,41,41,43,41.75
"7","CaffeBarrieraCavour",42,40,42,42,41.5
"8","l'isoladellapizza",42,41,41,42,41.5
"9","LaMuccigna",42,40,41,43,41.5
"10","MicamatPiadineria",42,40,41,43,41.5
"11","RistoranteAlBinario27",42,40,42,42,41.5
"12","Yoshiko",41,41,42,42,41.5
"13","LaPiadinadiStefanoeMascia",42,39,42,42,41.25
"14","Scottadito",41,40,42,42,41.25
"15","Yako",40,40,43,42,41.25
"16","AgriturismoCàDecio",41,39,41,43,41
"17","AgriturismoHaziendaDonfra",41,40,41,42,41
"18","Altamarea",41,40,42,41,41
"19","LaStalla",41,39,42,42,41
"20","OsteriaCarpineta",40,40,41,43,41
"21","PIOTTOpizzaepanzerotto",41,39,42,42,41
"22","AgriturismoIFilaridiCasalbono",41,39,41,42,40.75
"23","AmericaGraffiti",41,39,41,42,40.75
"24","Ilrifugio",41,39,41,42,40.75
"25","OsteriaMalatesta",41,39,42,41,40.75
"26","RistorantePiccolissimo",41,39,41,42,40.75
"27","Sasaral",41,39,41,42,40.75
"28","SfizidiPuglia",40,39,42,42,40.75
"29","AgriturismoIFilarini",40,39,41,42,40.5
"30","Bombonera",40,40,41,41,40.5
"31","ChianìBurgheria",40,39,41,42,40.5
"32","ChioscodelSavio",41,38,40,43,40.5
"33","LaPiadinadelChiosco",41,39,40,42,40.5
"34","RistoranteCa'adPancot",40,39,41,42,40.5
"35","RistorantePizzeriaFuoriporta",40,39,41,42,40.5
"36","RistorantePizzeriaTrePapi",40,39,42,41,40.5
"37","Spiaggia23",40,39,40,43,40.5
"38","TrattoriaAcquarola",40,39,41,42,40.5
"39","acquaefarina",40,39,40,42,40.25
"40","Mastrobirraio",40,39,41,41,40.25
"41","RistoranteDaLucio",40,39,40,42,40.25
"42","RistorantePizzeriaGuttaperga",40,39,41,41,40.25
"43","AgriturismoLaValledeiConti",40,38,40,42,40
"44","Albizzi",40,38,41,41,40
"45","LaFonderiadaGas",40,38,41,41,40
"46","Languorino",40,38,41,41,40
"47","Osteriadegliusignoli",40,38,41,41,40
"48","PiadineriailPosticino",40,38,40,42,40
"49","QbioCesena",40,38,40,42,40
"50","VillaVillacolleAgriturismo",40,38,40,42,40
"51","Lapannocchia",39,38,42,40,39.75
"52","MikoSushi",40,38,39,42,39.75
"53","OsteriaMichiletta",40,38,40,41,39.75
"54","OsteriaS",40,38,40,41,39.75
"55","RistoranteCerina-Pizzeria",39,38,40,42,39.75
"56","RistoranteQuelCastellodiDiegaro",40,38,40,41,39.75
"57","TodoMundoRestauranteBrasiliero",40,39,40,40,39.75
"58","CASAMADIElanuovacasadiPappaReale",40,38,40,40,39.5
"59","IlCapriccio",40,38,40,40,39.5
"60","IlCucinarioOsteria",39,38,40,41,39.5
"61","LaMeridiana",39,37,41,41,39.5
"62","OsteriaCenè",42,37,40,39,39.5
"63","OsteriadelFabbrolo",38,38,41,41,39.5
"64","RistorantePizzeriaGattoMatto",39,37,41,41,39.5
"65","TriPataca",39,38,39,42,39.5
"66","AlCaminetto",39,37,40,41,39.25
"67","DaGhigo",39,38,40,40,39.25
"68","RestaurantandPizzaLaGreppia",39,38,40,40,39.25
"69","RistorantePitto",37,38,42,40,39.25
"70","DoniniPerLaGolaRistorante",39,37,39,41,39
"71","IlRistorantinodiRebecca",39,37,39,41,39
"72","OsteriadelLampione",38,38,41,39,39
"73","PizzeriaIlPortico",39,37,40,40,39
"74","Toki-Sushi",39,37,39,41,39
"75","CaffeZampano'",39,38,41,37,38.75
"76","IGirasoli",39,36,39,41,38.75
"77","Napizz",39,37,39,40,38.75
"78","PizzeriaPontevecchio",38,37,39,41,38.75
"79","Agricola",39,37,38,40,38.5
"80","DaAdis",37,38,38,41,38.5
"81","IlCaminettoLizzano",37,38,38,41,38.5
"82","Maccanone704",38,37,39,40,38.5
"83","OsteriaDell'Eremo",38,37,39,40,38.5
"84","DaBaldoRistorantePizzeria",37,36,40,40,38.25
"85","LaRocca-PizzeriaRistorante",38,36,39,40,38.25
"86","PizzeriaDaNeo",37,36,39,41,38.25
"87","Butterfly-JapaneseRestaurant",38,37,38,39,38
"88","IlRugantinoRistorantePizzeria",39,36,38,39,38
"89","LaCantera",38,37,38,39,38
"90","Lucullo",38,36,39,39,38
"91","RistoranteThailandeseCesena",37,36,40,39,38
"92","AgriturismoVillaMamidaNadia",37,36,38,40,37.75
"93","DrogheriaMaisonLulú",38,36,38,39,37.75
"94","RistoranteLeScuderie",38,36,39,38,37.75
"95","SakuraAsianFusionRestaurant",37,36,38,40,37.75
"96","BrodinoPastificio",37,35,37,40,37.25
"97","VineriadelPopolo",38,36,37,38,37.25
"98","Anita",36,35,37,39,36.75
"99","NewAsia",36,34,35,37,35.5
"100","OsteriadeiGladiatori",36,33,33,39,35.25
