"name","Cucina","Servizio","QualitaPrezzo","Atmosfera","Means"
"1","L'EbbrezzadiNoe",44,42,43,44,43.25
"2","LeOfficineBistrot",43,42,43,44,43
"3","Pescheriadinapoli",43,41,43,44,42.75
"4","B-Factory",42,41,43,44,42.5
"5","Ieri,Oggi,DomaniTrattoria-Pizzeria",42,41,43,43,42.25
"6","LeCantinedeiPetrone",42,41,43,43,42.25
"7","TavernettaColauri",42,41,43,43,42.25
"8","Veritas",42,41,43,43,42.25
"9","Al53",42,41,42,43,42
"10","iDDujeScugnizzi",41,41,43,43,42
"11","LaScottona",42,40,43,43,42
"12","Pescherialosqualo",42,41,42,43,42
"13","TrattoriaNannì",42,41,43,42,42
"14","L'Ostricaio",42,40,42,43,41.75
"15","Panamar",42,41,42,42,41.75
"16","PizzeriaSandropizzettata",41,40,43,43,41.75
"17","RistoranteAmiciMiei",42,40,42,43,41.75
"18","HachiRistoranteGiapponese",42,40,41,43,41.5
"19","LaCampagnola-Pizzeria&Trattoria",41,40,42,43,41.5
"20","LaCantinadeiLazzari",41,40,42,43,41.5
"21","OsteriaL'Angolino",42,40,42,42,41.5
"22","Ristorantinodell'Avvocato",42,40,41,43,41.5
"23","TrattoriadelGolfo",41,40,42,43,41.5
"24","TrattoriaPizzeriaLaLazzara",41,40,43,42,41.5
"25","TrattoriaSperanzella",42,40,42,42,41.5
"26","Valù",41,40,42,43,41.5
"27","'ATavernaDòRè",41,39,43,42,41.25
"28","'OSushi",41,40,41,43,41.25
"29","HanamiSushiRestaurant",41,40,42,42,41.25
"30","HonzenJapaneseRestaurant",42,40,41,42,41.25
"31","LaTavernaaSantaChiara",41,40,42,42,41.25
"32","PizzaeContorni",40,40,42,43,41.25
"33","TrattoriaePizzeria'OVesuvio",41,40,42,42,41.25
"34","ViktoriaPlatz",42,39,41,43,41.25
"35","'AFigliad''aMaruzzara",40,40,42,42,41
"36","A'CucinaRaCasaMia",40,40,42,42,41
"37","JohnnyTakeUe'NAPOLI",40,40,41,43,41
"38","LaLocandadeiBorboni",41,40,41,42,41
"39","PalazzoPetrucciRistorante",41,40,41,42,41
"40","PubLo",42,39,41,42,41
"41","RistorantePizzeriaDalSoldino",41,39,42,42,41
"42","DaDonato",41,39,41,42,40.75
"43","JorudanSushi",41,39,41,42,40.75
"44","OsteriaIlGobbetto",41,39,42,41,40.75
"45","PizzeriadelPopolo",40,39,41,43,40.75
"46","FriggiPescheriae'Masaniello",41,39,40,42,40.5
"47","IlComandante",41,39,40,42,40.5
"48","LocandadelCerriglio",41,39,41,41,40.5
"49","TrattoriaPizzeriaNardones",40,39,42,41,40.5
"50","Ecomesara'",40,39,41,41,40.25
"51","PizzeriaGaetanoGenovesi",40,38,40,43,40.25
"52","ZiaRosi",40,39,41,41,40.25
"53","allReviews",40,38,40,42,40
"54","AntichiSaporiPartenopei",40,38,41,41,40
"55","Crudore",39,39,40,42,40
"56","PizzeriadaGaetano",39,38,40,43,40
"57","TrattoriaePizzeriaAnticaCapri",41,38,40,41,40
"58","CantinadelGallo",40,38,40,41,39.75
"59","Decumano31",39,38,40,42,39.75
"60","JuicyLucyPub",40,38,40,41,39.75
"61","MuuMuuzzarellaLounge",40,38,40,41,39.75
"62","Pizzeria'Ntretella",39,38,40,42,39.75
"63","PizzeriaStaritaaMaterdei",40,38,39,42,39.75
"64","RossopomodoroNapoliviaPartenope",39,38,40,42,39.75
"65","IlMiracolodeiPesci",40,38,40,40,39.5
"66","PescheriaAzzurra",40,38,39,41,39.5
"67","PizzeriaDaAttilio",39,38,40,41,39.5
"68","Tandem",40,38,40,40,39.5
"69","PizzeriaNapoliInBocca",39,37,39,41,39
"70","AgriBraceriaDiFattoriaCarpineto",39,37,38,40,38.5
"71","LaMasardona",38,37,38,41,38.5
"72","Sorbillo",39,36,37,41,38.25
"73","L'AnticaPizzeriadaMichele",37,34,35,39,36.25
"74","AnticaPizzaFrittaDaZiaEsterinaSorbillo",36,34,35,39,36
"75","AnticoFornodelleSfogliatelleCaldeFratelliAttanasio",37,33,34,39,35.75
